"BehaviorSpace results (NetLogo 6.2.0)"
"MultipleContactNeutralMigrat.nlogo"
"BirthSelection_pf06_hpf3-59_dd1-3_lambda2"
"05/19/2021 12:22:49:963 -0300"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","99","0","99"
"[run number]","prob-frag","birth-rate-birds","birds-dispersal-distance","Video","migration-rate-birds","birds-behavior","habitat-patch-size","death-rate-birds","max-birds-species","initial-population","Deforestation-at-time","end-time","replacement-rate","Migration0-at-deforestation","[step]","birds-at-deforestation","calc-number-of-species","calc-shannon-diversity","count birds"
"1","0.6","2","1.1","false","0.001","BirthSelection","3","1","100","0","300","1600","0.3","true","1600","3064","18","2.5093056717088285","2013"
"2","0.6","2","1.1","false","0.001","BirthSelection","3","1","100","0","300","1600","0.3","true","1600","3084","15","2.399817925361061","2037"
"3","0.6","2","1.1","false","0.001","BirthSelection","3","1","100","0","300","1600","0.3","true","1600","3099","16","2.419559732637802","2108"
"4","0.6","2","1.1","false","0.001","BirthSelection","3","1","100","0","300","1600","0.3","true","1600","3071","19","2.5266203252276345","2110"
"5","0.6","2","1.1","false","0.001","BirthSelection","3","1","100","0","300","1600","0.3","true","1600","3140","20","2.5702034036141974","2000"
"24","0.6","2","1.2","false","0.001","BirthSelection","3","1","100","0","300","1600","0.3","true","1600","3067","17","2.4267562473047435","2778"
"23","0.6","2","1.2","false","0.001","BirthSelection","3","1","100","0","300","1600","0.3","true","1600","3079","13","2.2393919425186573","2919"
"22","0.6","2","1.2","false","0.001","BirthSelection","3","1","100","0","300","1600","0.3","true","1600","3103","22","2.513591738860919","2853"
"21","0.6","2","1.2","false","0.001","BirthSelection","3","1","100","0","300","1600","0.3","true","1600","3142","17","2.2992726979412526","2775"
"25","0.6","2","1.2","false","0.001","BirthSelection","3","1","100","0","300","1600","0.3","true","1600","3084","18","2.535804484720442","2867"
"8","0.6","2","1.1","false","0.001","BirthSelection","9","1","100","0","300","1600","0.3","true","1600","3080","10","2.0479523195750122","3193"
"9","0.6","2","1.1","false","0.001","BirthSelection","9","1","100","0","300","1600","0.3","true","1600","3083","13","2.3609230119973446","3278"
"6","0.6","2","1.1","false","0.001","BirthSelection","9","1","100","0","300","1600","0.3","true","1600","3109","13","2.324929484091361","3278"
"10","0.6","2","1.1","false","0.001","BirthSelection","9","1","100","0","300","1600","0.3","true","1600","3104","12","2.2067546017476634","3285"
"7","0.6","2","1.1","false","0.001","BirthSelection","9","1","100","0","300","1600","0.3","true","1600","3072","15","2.541777169804703","3256"
"26","0.6","2","1.2","false","0.001","BirthSelection","9","1","100","0","300","1600","0.3","true","1600","3138","13","2.3297945525851915","3343"
"30","0.6","2","1.2","false","0.001","BirthSelection","9","1","100","0","300","1600","0.3","true","1600","3106","14","2.4126870441965806","3274"
"28","0.6","2","1.2","false","0.001","BirthSelection","9","1","100","0","300","1600","0.3","true","1600","3055","11","2.271705041091068","3252"
"27","0.6","2","1.2","false","0.001","BirthSelection","9","1","100","0","300","1600","0.3","true","1600","3077","13","2.2241951484105624","3346"
"29","0.6","2","1.2","false","0.001","BirthSelection","9","1","100","0","300","1600","0.3","true","1600","3066","16","2.51684358078242","3265"
"13","0.6","2","1.1","false","0.001","BirthSelection","29","1","100","0","300","1600","0.3","true","1600","3062","10","1.8780016676173121","3328"
"18","0.6","2","1.1","false","0.001","BirthSelection","61","1","100","0","300","1600","0.3","true","1600","3316","8","1.9009936424608624","3388"
"15","0.6","2","1.1","false","0.001","BirthSelection","29","1","100","0","300","1600","0.3","true","1600","3082","7","1.6956207674855674","3362"
"12","0.6","2","1.1","false","0.001","BirthSelection","29","1","100","0","300","1600","0.3","true","1600","3025","7","1.5626088285339086","3376"
"14","0.6","2","1.1","false","0.001","BirthSelection","29","1","100","0","300","1600","0.3","true","1600","3060","9","1.8961495229558067","3427"
"11","0.6","2","1.1","false","0.001","BirthSelection","29","1","100","0","300","1600","0.3","true","1600","3091","9","1.7852829964250776","3470"
"17","0.6","2","1.1","false","0.001","BirthSelection","61","1","100","0","300","1600","0.3","true","1600","3316","9","1.747193532410828","3477"
"19","0.6","2","1.1","false","0.001","BirthSelection","61","1","100","0","300","1600","0.3","true","1600","3320","6","1.6819881977320883","3408"
"20","0.6","2","1.1","false","0.001","BirthSelection","61","1","100","0","300","1600","0.3","true","1600","3278","7","1.6051359062043042","3408"
"16","0.6","2","1.1","false","0.001","BirthSelection","61","1","100","0","300","1600","0.3","true","1600","3317","9","1.7535696447559626","3432"
"39","0.6","2","1.2","false","0.001","BirthSelection","61","1","100","0","300","1600","0.3","true","1600","3326","6","1.6671424740616185","3473"
"40","0.6","2","1.2","false","0.001","BirthSelection","61","1","100","0","300","1600","0.3","true","1600","3342","7","1.5310513733430116","3484"
"43","0.6","2","1.5","false","0.001","BirthSelection","3","1","100","0","300","1600","0.3","true","1600","3189","11","1.98802105832132","3207"
"32","0.6","2","1.2","false","0.001","BirthSelection","29","1","100","0","300","1600","0.3","true","1600","3041","9","2.1224571347135113","3438"
"42","0.6","2","1.5","false","0.001","BirthSelection","3","1","100","0","300","1600","0.3","true","1600","3160","11","2.103842027793976","3153"
"45","0.6","2","1.5","false","0.001","BirthSelection","3","1","100","0","300","1600","0.3","true","1600","3193","10","2.143900719064209","3235"
"37","0.6","2","1.2","false","0.001","BirthSelection","61","1","100","0","300","1600","0.3","true","1600","3316","4","1.2877715183059464","3399"
"31","0.6","2","1.2","false","0.001","BirthSelection","29","1","100","0","300","1600","0.3","true","1600","3117","10","1.6690397429987573","3496"
"44","0.6","2","1.5","false","0.001","BirthSelection","3","1","100","0","300","1600","0.3","true","1600","3165","9","2.0277065741520413","3249"
"35","0.6","2","1.2","false","0.001","BirthSelection","29","1","100","0","300","1600","0.3","true","1600","3117","10","1.8669764834327296","3365"
"41","0.6","2","1.5","false","0.001","BirthSelection","3","1","100","0","300","1600","0.3","true","1600","3233","9","2.033959844358715","3287"
"33","0.6","2","1.2","false","0.001","BirthSelection","29","1","100","0","300","1600","0.3","true","1600","3124","10","1.9665446960737587","3363"
"38","0.6","2","1.2","false","0.001","BirthSelection","61","1","100","0","300","1600","0.3","true","1600","3326","7","1.791385990999846","3464"
"36","0.6","2","1.2","false","0.001","BirthSelection","61","1","100","0","300","1600","0.3","true","1600","3268","9","1.9757599882844654","3429"
"34","0.6","2","1.2","false","0.001","BirthSelection","29","1","100","0","300","1600","0.3","true","1600","3074","10","2.2166567023562704","3387"
"46","0.6","2","1.5","false","0.001","BirthSelection","9","1","100","0","300","1600","0.3","true","1600","3207","9","1.9812717965258828","3470"
"47","0.6","2","1.5","false","0.001","BirthSelection","9","1","100","0","300","1600","0.3","true","1600","3179","12","2.282831857713915","3386"
"48","0.6","2","1.5","false","0.001","BirthSelection","9","1","100","0","300","1600","0.3","true","1600","3178","8","1.8410705177320013","3415"
"49","0.6","2","1.5","false","0.001","BirthSelection","9","1","100","0","300","1600","0.3","true","1600","3185","12","2.240133789243039","3465"
"50","0.6","2","1.5","false","0.001","BirthSelection","9","1","100","0","300","1600","0.3","true","1600","3191","8","1.8779501181786407","3405"
"51","0.6","2","1.5","false","0.001","BirthSelection","29","1","100","0","300","1600","0.3","true","1600","3154","6","1.508642884180536","3511"
"52","0.6","2","1.5","false","0.001","BirthSelection","29","1","100","0","300","1600","0.3","true","1600","3208","5","1.0163491981708266","3511"
"53","0.6","2","1.5","false","0.001","BirthSelection","29","1","100","0","300","1600","0.3","true","1600","3177","4","1.1850661729750473","3559"
"54","0.6","2","1.5","false","0.001","BirthSelection","29","1","100","0","300","1600","0.3","true","1600","3255","5","1.5684697136643817","3497"
"56","0.6","2","1.5","false","0.001","BirthSelection","61","1","100","0","300","1600","0.3","true","1600","3401","8","1.9616082465635687","3521"
"55","0.6","2","1.5","false","0.001","BirthSelection","29","1","100","0","300","1600","0.3","true","1600","3243","8","1.8049227776154821","3540"
"57","0.6","2","1.5","false","0.001","BirthSelection","61","1","100","0","300","1600","0.3","true","1600","3424","10","2.029273752961783","3521"
"58","0.6","2","1.5","false","0.001","BirthSelection","61","1","100","0","300","1600","0.3","true","1600","3412","7","1.7354201598532555","3537"
"59","0.6","2","1.5","false","0.001","BirthSelection","61","1","100","0","300","1600","0.3","true","1600","3405","9","1.7946676513000703","3503"
"60","0.6","2","1.5","false","0.001","BirthSelection","61","1","100","0","300","1600","0.3","true","1600","3347","8","1.7698546610519628","3573"
"61","0.6","2","2","false","0.001","BirthSelection","3","1","100","0","300","1600","0.3","true","1600","3260","5","1.3015825702078185","3328"
"63","0.6","2","2","false","0.001","BirthSelection","3","1","100","0","300","1600","0.3","true","1600","3262","7","1.4181755301048589","3442"
"64","0.6","2","2","false","0.001","BirthSelection","3","1","100","0","300","1600","0.3","true","1600","3307","7","1.519504029014546","3410"
"62","0.6","2","2","false","0.001","BirthSelection","3","1","100","0","300","1600","0.3","true","1600","3282","6","1.3155417188152807","3412"
"65","0.6","2","2","false","0.001","BirthSelection","3","1","100","0","300","1600","0.3","true","1600","3282","7","0.9273362061753724","3402"
"68","0.6","2","2","false","0.001","BirthSelection","9","1","100","0","300","1600","0.3","true","1600","3267","8","1.7646716246697354","3498"
"66","0.6","2","2","false","0.001","BirthSelection","9","1","100","0","300","1600","0.3","true","1600","3285","8","1.5143251914002733","3599"
