"BehaviorSpace results (NetLogo 6.2.0)"
"MultipleContactNeutralMigrat.nlogo"
"Hierarchical_pf06_hpf3-59_dd1-3_lambda2"
"05/19/2021 12:52:32:654 -0300"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","99","0","99"
"[run number]","prob-frag","birth-rate-birds","birds-dispersal-distance","Video","migration-rate-birds","birds-behavior","habitat-patch-size","death-rate-birds","max-birds-species","initial-population","Deforestation-at-time","end-time","replacement-rate","Migration0-at-deforestation","[step]","birds-at-deforestation","calc-number-of-species","calc-shannon-diversity","count birds"
"5","0.6","2","1.1","false","0.001","Hierarchical","3","1","100","0","300","1600","0.3","true","1600","1378","0","0","0"
"4","0.6","2","1.1","false","0.001","Hierarchical","3","1","100","0","300","1600","0.3","true","1600","1354","0","0","0"
"3","0.6","2","1.1","false","0.001","Hierarchical","3","1","100","0","300","1600","0.3","true","1600","1298","0","0","0"
"2","0.6","2","1.1","false","0.001","Hierarchical","3","1","100","0","300","1600","0.3","true","1600","1362","0","0","0"
"1","0.6","2","1.1","false","0.001","Hierarchical","3","1","100","0","300","1600","0.3","true","1600","1307","0","0","0"
"22","0.6","2","1.2","false","0.001","Hierarchical","3","1","100","0","300","1600","0.3","true","1600","1481","0","0","0"
"25","0.6","2","1.2","false","0.001","Hierarchical","3","1","100","0","300","1600","0.3","true","1600","1438","0","0","0"
"23","0.6","2","1.2","false","0.001","Hierarchical","3","1","100","0","300","1600","0.3","true","1600","1521","0","0","0"
"24","0.6","2","1.2","false","0.001","Hierarchical","3","1","100","0","300","1600","0.3","true","1600","1484","0","0","0"
"21","0.6","2","1.2","false","0.001","Hierarchical","3","1","100","0","300","1600","0.3","true","1600","1610","0","0","0"
"8","0.6","2","1.1","false","0.001","Hierarchical","9","1","100","0","300","1600","0.3","true","1600","1379","8","1.9836618906880021","268"
"9","0.6","2","1.1","false","0.001","Hierarchical","9","1","100","0","300","1600","0.3","true","1600","1371","7","1.758097127636923","187"
"10","0.6","2","1.1","false","0.001","Hierarchical","9","1","100","0","300","1600","0.3","true","1600","1401","8","2.0367188676862233","308"
"6","0.6","2","1.1","false","0.001","Hierarchical","9","1","100","0","300","1600","0.3","true","1600","1330","6","1.6770971319102914","315"
"43","0.6","2","1.5","false","0.001","Hierarchical","3","1","100","0","300","1600","0.3","true","1600","1608","0","0","0"
"41","0.6","2","1.5","false","0.001","Hierarchical","3","1","100","0","300","1600","0.3","true","1600","1681","0","0","0"
"7","0.6","2","1.1","false","0.001","Hierarchical","9","1","100","0","300","1600","0.3","true","1600","1436","10","2.2085082393528377","327"
"44","0.6","2","1.5","false","0.001","Hierarchical","3","1","100","0","300","1600","0.3","true","1600","1661","0","0","0"
"42","0.6","2","1.5","false","0.001","Hierarchical","3","1","100","0","300","1600","0.3","true","1600","1642","0","0","0"
"45","0.6","2","1.5","false","0.001","Hierarchical","3","1","100","0","300","1600","0.3","true","1600","1722","0","0","0"
"27","0.6","2","1.2","false","0.001","Hierarchical","9","1","100","0","300","1600","0.3","true","1600","1529","11","2.0825333200528067","521"
"28","0.6","2","1.2","false","0.001","Hierarchical","9","1","100","0","300","1600","0.3","true","1600","1420","15","2.621898817960067","643"
"26","0.6","2","1.2","false","0.001","Hierarchical","9","1","100","0","300","1600","0.3","true","1600","1489","11","2.28928597677569","689"
"29","0.6","2","1.2","false","0.001","Hierarchical","9","1","100","0","300","1600","0.3","true","1600","1439","11","2.3370987728823898","464"
"30","0.6","2","1.2","false","0.001","Hierarchical","9","1","100","0","300","1600","0.3","true","1600","1506","10","1.9846794159519354","579"
"11","0.6","2","1.1","false","0.001","Hierarchical","29","1","100","0","300","1600","0.3","true","1600","1267","6","1.6188830961618397","1422"
"13","0.6","2","1.1","false","0.001","Hierarchical","29","1","100","0","300","1600","0.3","true","1600","1393","4","1.3807123543028994","1389"
"12","0.6","2","1.1","false","0.001","Hierarchical","29","1","100","0","300","1600","0.3","true","1600","1374","3","1.0203596521566","1346"
"14","0.6","2","1.1","false","0.001","Hierarchical","29","1","100","0","300","1600","0.3","true","1600","1475","5","1.39121045889954","1345"
"15","0.6","2","1.1","false","0.001","Hierarchical","29","1","100","0","300","1600","0.3","true","1600","1396","5","1.294491572442741","1363"
"17","0.6","2","1.1","false","0.001","Hierarchical","61","1","100","0","300","1600","0.3","true","1600","1414","4","0.8945968273433478","1492"
"16","0.6","2","1.1","false","0.001","Hierarchical","61","1","100","0","300","1600","0.3","true","1600","1334","7","1.192499910213743","1509"
"19","0.6","2","1.1","false","0.001","Hierarchical","61","1","100","0","300","1600","0.3","true","1600","1356","5","0.958149786999845","1443"
"20","0.6","2","1.1","false","0.001","Hierarchical","61","1","100","0","300","1600","0.3","true","1600","1466","5","0.867180781669959","1447"
