[run number],birds-dispersal-distance,habitat-patch-size,birth-rate-birds,world-width,world-height,initial-population,max-birds-species,death-rate-birds,migration-rate-birds,Video,prob-frag,Deforestation-at-time,end-time,Migration0-at-deforestation,deforestation-type,birds-behavior,replacement-rate,random-seed,[step],birds-at-deforestation,calc-number-of-species,calc-shannon-diversity,count birds,mean-free-path,find-cluster-sizes,siminputrow
1,1.1,3,1.7,199,199,0,100,1,1e-4,FALSE,0.6,200,1500,FALSE,regular,Hierarchical,0.3,-891693967,1500,325,0,0,0,[1.276 1.285],[16 16 16 17 16 17 16 16 16 16 16 17 16 16 16 17 16 16 16 17 16 34 16 16 16 17 16 16 16 16 16 16 16 17 16 16 16 17 17 16 18 16 17 16 16 16 16 16 17 17 16 17 18 18 18 16 17 16 17 16 17 16 16 16 16 16 16 16 16 16 16 17 16 16 18 17 17 16 16 1 16 16 16 16 16 16 17 16 16 16 16 17 18 16 17 17 16 16 16 16 16 16 17 16 17 16 17 17 16 16 16 17 17 17 16 16 16 16 16 16 16 17 16 16 16 16 17 16 17 16 16 16 16 16 16 16 16 16 18 17 16 16 18 16 17 16 17 16 18 16 17 16 16 16 17 18 16 17 16 16 16 16 16 16 16 16 17 16 17 19 16 16 16 17 16 17 16 16 16 17 16 17 16 16 16 16 16 16 16 16 16 16 16 18 16 17 16 16 16 16 16 17 17 16 17 16 17 17 1 17 17 1 16 16 17 16 16 18 18 16 17 16 16 16 16 16 17 18 16 16 16 16 16 16 16 16 16 17 16 16 17 16 20 16 17 17 16 16 17 17 16 16 16 16 16 17 16 17 16 16 17 17 17 17 18 16 17 17 16 16 17 18 16 16 16 16 16 16 17 16 16 16 16 16 16 19 17 16 16 18 17 16 16 16 16 17 17 19 17 16 16 16 16 16 16 17 16 16 16 17 16 16 18 16 16 17 17 17 16 16 16 16 16 16 18 17 17 16 16 16 16 19 16 16 16 16 16 17 16 16 17 16 16 16 16 18 16 16 17 16 16 16 17 16 16 18 16 17 16 17 16 17 16 17 16 16 17 16 17 16 16 16 16 16 16 35 16 16 16 17 16 18 16 17 17 16 17 16 16 16 16 16 16 16 16 16 17 17 16 16 16 16 16 17 17 16 16 16 16 18 16 17 16 17 16 17 16 17 16 16 16 16 16 16 16 16 16 16 18 16 17 16 16 16 17 16 1 16 16 16 16 16 16 17 16 16 16 17 16 17 16 16 16 19 16 16 17 16 17 17 16 16 17 17 16 16 16 16 16 16 18 16 17 16 17 17 16 17 16 16 16 17 17 17 16 16 16 16 16 16 17 16 17 16 16 16 17 17 18 16 16 18 17 16 16 16 16 16 16 16 16 16 16 16 16 16 16 17 16 18 16 16 17 16 17 17 17 16 16 17 16 17 17 16 16 17 16 16 34 16 17 1 16 17 16 18 17 16 16 17 17 16 17 17 16 17 16 17 16 16 16 16 16 16 17 17 16 18 16 16 16 16 17 17 1 17 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 17 16 16 18 16 17 19 16 18 16 16 16 17 17 16 17 16 1 16 17 16 18 16 17 17 17 17 16 16 17 16 17 17 18 17 16 16 16 18 16 16 16 17 17 16 16 17 16 16 16 18 16 16 16 1 17 16 16 16 16 18 17 19 16 16 17 16 16 16 17 16 16 16 17 16 17 16 17 18 16 16 17 17 16 16 16 16 16 17 16 16 16 16 16 17 16 17 16 16 1 16 16 16 16 18 1 17 16 17 17 18 16 1 16 16 16 16 17 16 16 16 16 18 17 17 16 16 16 18 16 18 17 17 17 16 16 17 16 16 16 17 17 17 16 16 16 17 16 16 16 16 16 16 17 16 17 16 17 16 16 16 16 16 16 17 35 1 16 16 16 16 16 17 16 18 16 16 16 16 17 17 16 16 17 17 17 16 16 16 19 16 16 16 17 16 17 17 16 1 16 16 16 16 17 16 16 17 16 17 16 16 16 17 17 16 17 16 16 16 16 16 16 16 16 16 16 17 16 17 16 16 17 18 16 16 16 1 16 16 17 16 16 16 16 16 1 18 16 16 16 16 16 16 16 17 17 16 16 16 17 16 17 16 16 16 16 16 16 16 16 16 16 16 16 16 17 17 18 17 17 16 16 16 16 16 16 17 16 16 16 16 16 16 16 17 16 17 17 16 16 16 16 17 17 16 17 17 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 17 1 1 16 16 1 16 16 16 16 17 16 16 17 17 16 17 16 1 1 17 16 16 16 16 16 17 17 16 16 16 16 16 16 16 16 16 17 16 16 1 16 16 16 16 17 16 16 1 16 16 17 1 16 1 16 1 1 16 1 16 16 1 18 1 16 1 16 16 17 17 1 1 1 16 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],1
1,1.2,3,1.7,199,199,0,100,1,1e-4,FALSE,0.6,200,1500,FALSE,regular,Hierarchical,0.3,-891693967,1500,687,2,0.6108643020548935,10,[1.266 1.285],[16 16 16 16 16 17 16 16 16 17 16 16 17 16 17 17 16 16 16 16 16 17 18 16 17 16 16 17 17 17 16 16 16 16 16 16 16 17 16 17 16 16 17 17 16 17 34 17 16 16 17 17 16 16 16 17 16 16 16 17 17 16 16 17 16 16 16 16 16 17 16 18 16 16 16 17 17 16 17 16 16 16 18 17 18 16 18 17 16 17 16 17 16 16 16 17 16 16 17 16 17 18 16 16 16 16 16 17 16 16 16 17 17 18 17 17 16 16 16 16 16 17 16 16 17 17 16 17 16 16 17 16 16 16 16 16 17 16 16 18 18 16 16 16 16 17 18 16 16 16 16 17 16 17 17 16 16 34 17 16 16 16 16 17 17 18 17 16 16 17 17 17 16 17 17 16 16 16 16 17 16 17 17 16 16 16 16 18 16 16 17 18 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 17 16 16 16 17 16 16 17 16 16 16 16 17 1 17 16 16 17 17 17 16 16 16 17 16 17 17 16 16 16 17 16 16 17 16 16 16 16 16 16 16 16 1 16 16 16 16 17 17 17 16 16 17 17 17 16 16 16 16 17 16 16 16 18 16 16 16 16 17 16 16 16 16 16 16 17 17 16 17 16 18 18 16 17 16 16 19 17 16 16 16 16 16 16 16 16 17 16 17 16 17 16 16 17 16 16 16 16 16 16 16 16 16 16 16 16 17 17 16 16 17 17 16 1 17 19 17 16 16 16 16 17 16 16 16 18 17 16 16 17 16 18 16 16 16 16 16 16 17 16 16 16 16 17 16 17 16 16 17 16 16 16 16 16 17 16 16 18 16 16 16 17 16 16 16 18 17 16 16 16 16 16 16 16 16 16 16 16 16 17 16 17 17 16 17 16 17 17 16 16 16 17 16 16 18 16 17 16 16 17 18 16 16 16 17 18 17 18 16 16 16 16 16 17 18 17 16 16 16 17 16 16 16 17 16 16 16 16 16 16 16 16 17 16 17 17 17 17 16 16 16 16 16 16 16 18 16 16 17 16 16 17 16 16 16 17 16 18 17 16 16 16 16 17 16 16 16 16 16 16 17 17 17 16 16 16 16 17 16 17 16 16 17 16 16 16 17 16 16 16 16 16 16 17 16 16 17 16 16 16 16 17 16 17 18 17 16 18 16 16 17 16 16 16 16 18 16 16 17 1 16 17 16 17 16 16 16 16 16 16 18 16 18 16 16 16 16 16 16 16 16 16 17 17 17 16 16 19 17 17 16 17 16 16 18 16 16 16 16 16 16 16 16 16 16 17 16 18 16 16 16 16 16 16 17 16 16 16 16 17 16 16 17 18 16 16 16 16 16 17 16 16 17 16 17 17 17 17 16 1 16 16 17 16 16 16 17 17 16 17 16 16 18 18 16 16 18 16 16 16 16 17 17 16 19 16 16 17 17 16 16 16 16 17 17 16 16 16 16 16 16 16 16 18 16 17 16 17 16 16 16 16 17 17 16 17 16 16 16 16 16 16 17 16 18 18 16 16 16 18 18 16 16 16 17 18 17 17 16 17 16 16 17 17 16 16 16 16 16 16 17 17 16 17 16 16 16 16 17 16 1 16 16 16 16 16 17 16 16 16 17 17 16 16 18 16 16 16 16 16 16 16 17 17 17 19 16 16 18 16 16 16 16 16 17 17 16 16 17 16 16 16 16 17 16 16 16 17 17 18 16 16 16 16 16 17 16 16 16 17 16 16 16 17 16 17 17 17 16 16 16 17 16 16 16 17 16 16 16 16 16 17 16 16 16 17 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 17 16 16 16 17 17 16 17 16 16 17 16 17 16 16 16 17 16 17 16 17 16 17 16 17 16 16 16 16 16 16 16 16 17 16 17 16 17 16 16 16 17 17 17 17 16 17 16 16 16 1 16 17 18 17 16 16 16 16 16 16 16 16 16 16 16 17 16 17 16 16 16 16 16 16 17 16 16 18 16 16 16 16 16 16 16 16 16 17 1 16 1 18 17 17 16 16 16 16 16 1 16 16 17 16 17 16 17 16 16 16 16 16 18 16 16 16 17 16 1 16 16 17 16 16 16 16 16 16 1 16 1 17 1 16 17 17 16 1 16 1 1 1 16 1 17 17 1 1 1 16 1 1 1 16 17 16 16 16 1 16 17 17 1 1 1 16 16 1 1 16 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],2
1,1.5,3,1.7,199,199,0,100,1,1e-4,FALSE,0.6,200,1500,FALSE,regular,Hierarchical,0.3,-891693967,1500,3258,3,0.8092054732283176,19,[1.251 1.279],[16 16 17 17 16 18 17 16 16 16 17 16 16 16 16 17 17 16 16 17 16 16 16 16 17 17 17 18 16 16 16 16 16 16 16 16 16 16 16 16 18 16 16 16 16 18 16 16 16 17 17 16 16 17 16 16 16 17 16 16 17 16 17 16 17 17 18 16 17 16 1 16 16 16 16 16 17 17 16 17 16 19 16 17 16 16 16 17 18 16 16 17 16 18 17 16 16 17 16 16 16 17 16 16 1 18 17 16 16 16 16 16 17 16 16 18 16 16 16 17 34 17 16 16 16 17 16 16 17 16 16 17 16 17 16 16 16 16 16 16 16 17 16 16 16 17 16 16 16 16 17 17 17 17 17 16 16 17 16 17 16 17 16 16 16 16 16 17 16 16 17 16 16 17 17 16 16 18 17 16 16 17 18 16 16 16 16 16 17 16 18 16 16 17 17 16 16 16 16 16 17 16 17 17 16 17 17 16 17 16 16 17 16 17 16 16 16 16 17 17 16 16 16 16 17 17 16 16 17 16 16 17 16 17 16 16 16 16 16 16 16 17 17 16 16 16 17 16 17 17 16 17 17 16 16 16 17 17 17 21 16 17 18 17 18 16 16 16 16 16 16 17 16 17 16 17 16 16 16 16 16 17 17 16 18 16 16 17 16 16 16 16 16 17 16 16 16 16 16 16 16 17 16 16 16 16 17 17 16 16 17 16 16 17 17 17 17 16 16 16 16 16 16 16 16 16 16 17 17 16 16 17 16 17 16 16 16 17 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 1 17 17 16 17 16 17 16 17 17 16 17 16 16 16 16 16 16 16 16 17 16 16 16 18 16 16 17 17 16 16 16 16 16 17 16 16 16 16 1 17 16 16 16 16 16 18 16 16 18 17 16 16 18 17 16 16 16 16 16 16 16 16 16 16 16 16 17 16 17 16 17 16 16 16 16 16 17 16 17 16 17 16 16 16 16 17 17 17 16 16 16 16 18 16 16 16 17 16 16 16 16 16 17 17 16 16 16 18 16 16 16 16 16 16 16 16 16 16 16 18 17 18 16 17 16 16 16 17 16 17 16 16 16 16 17 16 16 16 16 16 17 18 16 16 17 17 16 18 16 16 16 16 16 16 16 16 16 16 34 16 16 16 18 17 17 16 17 17 16 16 16 17 16 17 17 17 17 16 16 16 17 16 16 16 17 16 17 16 16 17 17 17 16 17 16 18 16 16 16 16 18 16 17 17 16 16 17 16 16 17 17 16 17 16 1 16 18 16 16 16 18 17 16 16 16 17 16 17 16 16 16 16 16 16 16 16 16 16 16 16 17 17 17 16 17 16 16 16 16 17 16 16 17 16 16 16 16 16 17 17 16 18 16 16 18 18 17 16 16 16 16 16 16 16 16 17 16 17 16 17 16 17 16 16 16 16 16 16 16 17 17 16 16 16 16 17 16 17 17 16 16 17 16 16 16 16 17 16 16 16 16 16 16 18 16 16 16 16 18 16 16 16 16 16 16 16 16 16 18 16 16 16 16 16 16 17 17 16 16 16 16 17 17 16 16 16 18 16 17 16 17 16 16 16 16 16 17 16 17 17 16 16 17 1 17 16 16 16 17 16 16 17 16 17 16 17 17 16 16 17 17 16 17 18 16 16 16 16 17 17 16 17 16 17 16 18 16 16 16 16 16 17 16 16 16 17 16 16 16 16 16 16 18 16 16 18 17 17 16 17 16 17 17 16 16 18 16 17 17 16 16 17 17 16 16 16 16 16 1 16 17 16 16 16 16 16 16 16 17 16 16 16 16 16 16 17 16 16 18 16 16 17 17 1 16 16 16 16 1 18 16 17 16 16 18 16 17 16 16 16 16 17 16 17 17 16 18 16 17 17 16 16 16 16 17 16 16 16 17 16 16 16 16 16 16 16 16 16 17 17 16 16 16 16 17 16 16 17 16 16 17 19 17 16 16 16 17 16 18 16 1 17 16 16 16 16 16 16 16 17 17 16 1 16 16 17 16 16 16 16 17 17 16 16 16 16 16 16 17 16 17 16 16 16 16 17 16 17 16 16 16 16 1 16 16 16 1 17 17 1 16 16 17 1 17 16 16 16 16 17 17 17 16 17 1 16 16 17 1 16 16 16 16 16 17 16 16 18 17 17 1 16 1 16 16 16 16 16 17 17 1 1 16 1 16 16 17 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],3
1,2,3,1.7,199,199,0,100,1,1e-4,FALSE,0.6,200,1500,FALSE,regular,Hierarchical,0.3,-891693967,1500,5690,2,0.6791932659915256,12,[1.254 1.286],[16 16 16 16 16 16 16 16 16 16 16 18 17 17 16 16 16 17 16 17 16 17 17 16 16 16 17 16 16 16 16 17 16 17 16 17 16 16 16 17 16 17 16 17 16 16 16 16 16 16 16 16 16 17 16 17 16 17 18 16 16 17 16 16 17 17 16 16 17 17 16 16 17 1 16 17 16 17 16 16 18 17 18 16 17 17 16 17 17 17 16 16 17 16 18 16 16 17 16 17 17 35 16 16 16 16 16 17 16 16 16 16 17 16 16 17 16 16 16 16 16 16 16 16 16 16 16 17 17 16 17 16 16 16 16 18 17 17 16 16 16 16 16 17 17 16 17 16 16 17 17 17 16 16 16 16 16 16 17 17 16 17 17 16 16 17 35 16 16 17 16 18 19 16 16 17 17 16 19 16 18 18 17 17 16 17 16 16 16 16 17 17 16 16 17 18 17 16 16 16 16 16 17 16 16 16 17 16 16 16 16 16 16 16 16 16 16 16 16 17 17 18 16 18 16 16 16 16 1 16 16 16 16 16 16 16 16 16 16 17 16 16 16 16 17 17 16 16 16 18 17 1 16 17 16 16 16 16 16 17 16 16 17 18 16 16 16 16 16 18 16 16 18 16 16 17 18 16 18 17 16 17 16 16 16 17 17 16 17 16 17 16 17 16 16 16 16 17 17 16 16 16 16 16 17 16 17 18 17 16 16 16 18 17 16 16 16 16 16 17 17 16 16 17 16 17 17 17 16 16 16 16 17 16 17 16 16 16 16 16 16 16 16 17 16 16 18 16 16 16 16 18 16 17 16 16 16 16 16 16 16 16 16 16 16 16 16 17 17 17 16 16 16 18 17 17 16 16 17 16 16 16 17 16 16 16 17 16 17 16 16 16 17 17 17 16 16 16 16 16 16 16 17 16 16 17 16 17 17 17 16 16 17 16 16 16 17 17 16 17 16 16 17 16 17 16 16 17 16 16 19 16 16 16 16 16 16 17 17 16 16 16 16 17 16 16 17 16 16 17 16 16 16 16 16 16 16 17 16 16 16 16 17 16 17 16 17 16 16 17 17 1 16 16 16 16 17 16 17 18 16 16 16 17 16 16 17 16 17 16 16 17 16 17 17 17 16 17 16 16 16 16 16 16 16 16 16 16 16 16 16 16 17 16 1 16 16 17 17 16 16 16 17 16 18 16 16 17 16 17 16 16 16 16 16 16 16 16 16 16 17 16 16 16 16 17 17 16 16 17 16 17 16 17 16 16 16 17 16 17 17 16 16 16 16 18 16 16 16 16 16 16 17 16 17 16 17 17 16 16 17 17 16 16 16 17 17 16 16 16 17 17 17 16 17 16 16 16 16 16 16 17 16 16 16 16 16 17 17 1 17 16 16 1 17 16 16 17 17 18 16 16 16 16 17 17 18 16 1 17 18 18 17 16 17 16 17 16 16 16 16 16 18 17 16 16 17 16 17 16 16 16 17 17 17 16 16 16 17 16 16 16 16 16 1 16 16 17 16 1 16 16 16 16 18 16 16 18 16 16 17 17 17 2 16 16 17 16 17 17 16 16 16 16 17 17 16 16 17 16 17 16 16 17 16 17 17 16 16 16 16 16 17 16 16 16 16 17 16 17 18 17 16 16 16 18 17 16 16 16 17 16 17 16 16 17 17 16 16 18 16 16 16 16 17 16 16 16 16 18 1 17 16 16 17 16 16 18 16 18 16 16 17 16 17 16 17 16 17 16 17 16 16 16 2 16 16 16 16 17 16 16 16 16 17 16 16 16 17 17 16 16 17 17 17 17 17 17 16 16 1 17 16 16 17 18 17 18 16 16 17 17 17 16 16 1 16 17 16 16 17 17 16 16 16 16 16 17 16 16 16 16 16 16 16 16 17 16 16 16 16 17 16 16 16 17 18 16 16 17 17 16 16 16 16 16 16 16 16 16 17 16 16 16 17 18 16 16 1 17 16 17 17 16 16 16 17 16 16 17 16 16 16 16 16 16 16 17 16 16 17 17 17 16 16 17 16 16 16 16 16 16 2 16 16 16 1 16 17 16 16 17 17 16 1 16 16 17 16 16 16 16 17 16 16 16 17 16 16 16 17 18 16 16 16 16 18 17 17 17 17 16 16 16 17 16 16 17 17 16 17 16 16 17 16 1 17 16 16 1 16 16 16 17 1 17 16 1 16 16 17 16 16 18 16 16 16 16 16 1 16 1 16 1 16 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],4
1,3,3,1.7,199,199,0,100,1,1e-4,FALSE,0.6,200,1500,FALSE,regular,Hierarchical,0.3,-891693967,1500,5848,1,0,4,[1.266 1.3],[16 17 16 16 16 16 16 16 16 16 16 16 17 16 16 16 16 16 16 16 16 16 16 17 16 17 16 16 16 16 16 16 17 16 16 16 16 16 16 17 17 16 17 17 16 16 16 17 16 16 17 17 17 16 16 16 16 17 17 19 16 17 16 16 16 16 16 18 16 16 16 17 18 16 16 16 16 17 17 16 16 16 17 17 17 16 16 18 18 16 16 16 17 16 16 16 16 16 16 16 17 17 16 16 17 16 17 16 17 16 16 16 17 16 18 16 16 17 17 16 16 16 16 16 17 16 16 17 16 16 16 16 16 18 16 17 18 16 16 17 16 16 17 16 17 16 16 16 16 18 16 17 16 16 16 16 16 17 16 34 17 16 16 16 17 16 16 16 17 16 16 16 16 16 16 16 16 19 17 17 16 16 17 16 16 16 16 16 16 16 16 16 17 18 17 17 16 16 16 16 16 16 16 16 17 18 16 17 16 17 16 16 17 17 17 16 16 16 18 17 16 16 16 16 17 16 16 16 17 16 17 17 16 17 16 16 16 18 16 16 16 18 17 16 16 18 17 16 16 16 16 18 16 16 17 16 16 16 17 16 16 16 16 16 16 18 16 17 17 17 16 16 17 16 16 16 17 16 17 17 16 16 17 16 16 16 16 16 20 16 16 16 16 16 16 17 17 16 17 36 16 17 16 16 17 16 16 16 16 17 18 16 16 16 16 16 16 16 17 16 16 16 16 16 16 16 17 16 17 16 17 16 16 16 17 16 16 16 17 16 17 16 16 16 17 16 17 16 16 17 16 16 16 17 17 17 17 17 17 16 16 16 16 16 17 35 16 16 17 16 16 17 16 16 16 16 17 16 16 16 16 16 16 16 16 16 17 16 16 16 16 17 16 16 16 18 16 17 16 16 16 16 17 17 16 17 16 17 17 18 16 16 17 16 16 17 16 17 16 17 17 16 16 17 17 16 16 17 16 16 16 16 16 16 16 17 17 16 17 16 16 17 16 16 17 16 16 16 16 16 16 16 16 16 16 16 17 16 16 16 16 16 16 16 16 16 17 16 16 16 18 16 16 16 19 16 17 17 17 16 16 18 16 16 16 16 18 16 16 16 16 16 16 16 17 16 16 16 16 16 17 17 18 16 16 16 17 16 16 16 16 16 17 16 16 16 16 16 16 16 16 16 16 16 16 16 18 16 16 16 16 17 16 16 16 19 17 17 16 16 16 17 16 17 16 16 18 17 16 17 16 16 16 16 17 16 16 16 16 16 17 16 17 16 16 16 16 16 16 17 16 16 16 16 1 18 16 16 16 16 17 16 17 16 17 16 17 16 16 17 16 16 17 16 17 16 17 16 17 16 16 16 16 17 16 17 16 16 16 16 16 17 17 16 16 17 17 18 17 17 16 16 17 16 16 16 16 16 16 17 17 16 18 18 16 16 16 16 16 17 16 16 16 16 17 18 16 16 16 17 16 16 1 16 16 17 18 16 16 16 16 16 16 16 17 16 16 17 16 16 16 16 16 16 16 1 16 16 17 17 18 17 17 16 16 19 16 16 17 16 18 17 16 16 16 16 16 16 17 17 16 16 17 17 16 16 16 17 16 16 17 16 16 16 18 16 17 16 16 16 16 18 16 18 19 16 18 16 18 16 17 17 18 16 16 16 16 16 16 17 17 16 18 16 16 17 16 16 18 17 18 17 17 16 16 16 16 17 16 19 16 17 17 16 16 16 17 16 16 17 17 18 16 16 16 16 16 16 17 17 16 16 16 16 16 16 16 17 16 17 16 16 16 16 17 16 16 16 17 17 17 16 17 17 16 17 16 17 17 17 16 16 17 1 16 16 17 17 16 16 16 16 16 16 16 16 17 17 16 16 16 16 17 16 17 16 17 16 16 17 17 16 16 16 18 16 16 17 16 1 17 16 17 17 17 16 17 16 16 16 16 16 17 16 16 1 16 17 16 17 16 17 16 16 17 16 17 16 1 16 16 16 16 16 17 16 1 16 16 17 16 16 16 16 16 16 1 18 16 16 16 17 16 1 17 16 16 16 16 16 1 16 16 16 16 17 1 16 17 16 16 17 1 16 16 16 16 18 16 16 16 16 1 1 16 16 16 16 17 16 16 1 17 17 17 17 16 18 16 16 17 17 16 16 16 16 17 16 16 17 16 1 16 17 1 16 1 16 1 18 17 16 1 1 1 16 17 16 1 1 17 16 1 1 1 1 16 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],5
1,1.1,9,1.7,199,199,0,100,1,1e-4,FALSE,0.6,200,1500,FALSE,regular,Hierarchical,0.3,-891693967,1500,292,6,1.1748564009492557,46,[2.215 2.28],[115 111 114 105 114 112 105 110 112 109 106 107 105 107 107 106 111 113 105 105 113 110 118 111 112 108 103 109 109 104 106 114 108 110 108 115 111 108 111 108 108 109 107 112 110 114 115 108 110 109 114 111 114 114 114 116 107 112 106 106 109 110 115 112 112 109 113 109 109 114 110 113 108 107 109 113 113 112 109 105 112 112 104 105 113 105 106 110 112 108 110 106 109 117 104 109 116 107 110 106 110 103 109 111 108 114 108 110 107 108 113 106 108 109 108 110 110 109 107 107 114 1 108 108 110 102 111 107 109 108 1 106 111 110 111 109 111 104 113 110 112 1 107 107 110 111 116 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],6
1,1.2,9,1.7,199,199,0,100,1,1e-4,FALSE,0.6,200,1500,FALSE,regular,Hierarchical,0.3,-891693967,1500,595,12,2.2414254675562204,127,[2.292 2.284],[111 110 110 109 109 117 113 107 109 110 110 114 111 103 104 113 106 107 104 109 118 107 117 112 110 115 110 114 112 109 107 113 108 111 108 111 113 109 104 110 108 106 110 107 112 105 110 112 107 115 109 121 113 108 109 111 108 114 113 107 110 106 112 109 107 112 112 113 106 109 111 108 107 106 103 109 110 111 104 109 108 111 108 111 105 112 107 107 107 109 108 112 108 111 109 109 111 107 112 110 109 107 110 106 109 112 107 112 113 111 104 111 112 1 109 110 109 109 113 111 108 109 112 107 108 109 110 107 107 113 106 109 106 104 110 108 106 108 1 110 109 110 108 110 1 106 104 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],7
1,1.5,9,1.7,199,199,0,100,1,1e-4,FALSE,0.6,200,1500,FALSE,regular,Hierarchical,0.3,-891693967,1500,3213,19,2.758777304790253,390,[2.201 2.3],[110 107 110 113 108 107 108 112 109 110 105 108 111 113 109 109 105 112 113 111 114 105 110 113 108 113 105 109 106 109 111 112 110 105 110 110 114 108 110 112 112 110 105 116 107 111 107 108 110 110 108 109 108 106 106 107 111 108 103 105 105 107 109 107 107 119 113 112 109 109 111 107 116 106 113 105 109 110 115 109 108 111 109 107 111 108 109 109 107 112 105 108 111 113 109 108 1 107 116 114 108 110 110 109 108 112 109 107 106 119 108 112 109 112 108 107 112 105 110 109 112 114 107 110 113 110 104 108 110 105 114 109 107 113 110 114 106 108 108 110 111 111 106 107 111 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],8
1,2,9,1.7,199,199,0,100,1,1e-4,FALSE,0.6,200,1500,FALSE,regular,Hierarchical,0.3,-891693967,1500,5206,28,2.463553797345441,2137,[2.203 2.323],[117 109 106 107 110 114 114 107 108 108 112 110 109 109 110 113 107 109 106 106 109 111 111 107 108 112 113 109 112 106 110 109 111 110 108 108 108 108 109 115 114 113 105 104 105 110 112 109 109 113 110 106 107 108 112 116 110 114 109 108 108 109 115 110 107 107 107 109 115 104 1 110 109 105 109 109 108 108 111 111 115 113 109 105 112 108 110 108 110 112 115 114 1 108 111 112 110 110 113 108 109 107 111 108 110 104 107 107 112 111 109 112 110 107 109 112 107 108 108 110 108 108 110 111 107 106 112 107 109 106 111 109 106 106 107 113 110 107 111 110 108 115 106 112 112 105 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],9
1,3,9,1.7,199,199,0,100,1,1e-4,FALSE,0.6,200,1500,FALSE,regular,Hierarchical,0.3,-891693967,1500,5472,12,1.647060042267511,2300,[2.207 2.281],[114 113 111 111 110 108 108 110 105 110 106 105 112 109 113 110 109 115 110 108 108 111 109 110 109 106 107 107 117 110 106 114 111 109 108 106 107 110 109 109 109 109 1 108 109 115 116 109 114 110 109 113 109 109 115 110 111 107 112 117 107 109 104 107 109 115 112 115 108 108 116 112 1 110 105 112 109 107 113 106 103 108 110 120 111 108 105 106 110 110 1 1 112 106 112 109 105 109 107 107 107 108 107 112 107 110 109 114 102 106 111 110 106 110 110 110 111 109 104 106 109 110 110 110 109 107 113 114 106 114 109 112 107 105 108 109 113 1 109 109 109 108 105 1 109 111 113 1 108 105 110 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],10
