"BehaviorSpace results (NetLogo 6.2.0)"
"MultipleContactNeutralMigrat.nlogo"
"BirthSelection_pf06_hpf3-59_dd1-3"
"05/15/2021 13:26:17:352 -0300"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","99","0","99"
"[run number]","prob-frag","birth-rate-birds","birds-dispersal-distance","Video","migration-rate-birds","birds-behavior","habitat-patch-size","death-rate-birds","max-birds-species","initial-population","Deforestation-at-time","replacement-rate","[step]","birds-at-deforestation","calc-number-of-species","calc-shannon-diversity","count birds"
"3","0.6","4","1.1","false","0.001","BirthSelection","3","1","100","0","200","0.3","1500","3373","18","2.2910102508278882","3630"
"2","0.6","4","1.1","false","0.001","BirthSelection","3","1","100","0","200","0.3","1500","3410","18","2.3230396793930392","3594"
"5","0.6","4","1.1","false","0.001","BirthSelection","3","1","100","0","200","0.3","1500","3374","24","2.532109015559419","3574"
"4","0.6","4","1.1","false","0.001","BirthSelection","3","1","100","0","200","0.3","1500","3398","21","2.3349014998412865","3631"
"1","0.6","4","1.1","false","0.001","BirthSelection","3","1","100","0","200","0.3","1500","3406","19","2.4334313461561807","3650"
"24","0.6","4","1.2","false","0.001","BirthSelection","3","1","100","0","200","0.3","1500","3408","20","2.449854594884581","3643"
"22","0.6","4","1.2","false","0.001","BirthSelection","3","1","100","0","200","0.3","1500","3431","20","2.5526260642571845","3624"
"8","0.6","4","1.1","false","0.001","BirthSelection","9","1","100","0","200","0.3","1500","3378","19","2.288812780322425","3741"
"25","0.6","4","1.2","false","0.001","BirthSelection","3","1","100","0","200","0.3","1500","3438","17","2.242394095596862","3636"
"9","0.6","4","1.1","false","0.001","BirthSelection","9","1","100","0","200","0.3","1500","3419","14","2.109522405378834","3692"
"23","0.6","4","1.2","false","0.001","BirthSelection","3","1","100","0","200","0.3","1500","3414","17","2.397986676469525","3638"
"21","0.6","4","1.2","false","0.001","BirthSelection","3","1","100","0","200","0.3","1500","3409","20","2.5908653749759396","3669"
"6","0.6","4","1.1","false","0.001","BirthSelection","9","1","100","0","200","0.3","1500","3381","14","2.463011694282157","3698"
"10","0.6","4","1.1","false","0.001","BirthSelection","9","1","100","0","200","0.3","1500","3385","18","2.3492759739685654","3700"
"7","0.6","4","1.1","false","0.001","BirthSelection","9","1","100","0","200","0.3","1500","3397","11","1.9989054742520067","3693"
"28","0.6","4","1.2","false","0.001","BirthSelection","9","1","100","0","200","0.3","1500","3396","18","2.5130846275059433","3716"
"26","0.6","4","1.2","false","0.001","BirthSelection","9","1","100","0","200","0.3","1500","3435","12","2.108174960111063","3744"
"29","0.6","4","1.2","false","0.001","BirthSelection","9","1","100","0","200","0.3","1500","3388","15","2.395300839010932","3705"
"18","0.6","4","1.1","false","0.001","BirthSelection","61","1","100","0","200","0.3","1500","3626","11","1.825106079139704","3754"
"27","0.6","4","1.2","false","0.001","BirthSelection","9","1","100","0","200","0.3","1500","3389","13","2.2271232563477876","3718"
"13","0.6","4","1.1","false","0.001","BirthSelection","29","1","100","0","200","0.3","1500","3420","12","2.1348612872274724","3784"
"15","0.6","4","1.1","false","0.001","BirthSelection","29","1","100","0","200","0.3","1500","3401","15","2.197209441728743","3755"
"12","0.6","4","1.1","false","0.001","BirthSelection","29","1","100","0","200","0.3","1500","3393","12","2.30795208540767","3764"
"33","0.6","4","1.2","false","0.001","BirthSelection","29","1","100","0","200","0.3","1500","3418","15","2.064473167078032","3778"
"30","0.6","4","1.2","false","0.001","BirthSelection","9","1","100","0","200","0.3","1500","3427","11","2.1284237753134825","3722"
"11","0.6","4","1.1","false","0.001","BirthSelection","29","1","100","0","200","0.3","1500","3414","15","2.274508577591565","3765"
"17","0.6","4","1.1","false","0.001","BirthSelection","61","1","100","0","200","0.3","1500","3649","12","2.062578827139261","3757"
"20","0.6","4","1.1","false","0.001","BirthSelection","61","1","100","0","200","0.3","1500","3630","10","1.6855678192510575","3792"
"16","0.6","4","1.1","false","0.001","BirthSelection","61","1","100","0","200","0.3","1500","3630","12","1.5693834032879255","3776"
"19","0.6","4","1.1","false","0.001","BirthSelection","61","1","100","0","200","0.3","1500","3663","11","1.7914534341351136","3739"
"34","0.6","4","1.2","false","0.001","BirthSelection","29","1","100","0","200","0.3","1500","3406","14","1.7318303199925547","3780"
"36","0.6","4","1.2","false","0.001","BirthSelection","61","1","100","0","200","0.3","1500","3607","9","1.6840547248779363","3764"
"39","0.6","4","1.2","false","0.001","BirthSelection","61","1","100","0","200","0.3","1500","3638","11","1.8365751305730635","3779"
"40","0.6","4","1.2","false","0.001","BirthSelection","61","1","100","0","200","0.3","1500","3626","8","1.7774565683951777","3754"
