"BehaviorSpace results (NetLogo 6.2.0)"
"MultipleContactNeutralMigrat.nlogo"
"BirthSelection_pf06_hpf3-59_dd1-3_lambda2"
"05/15/2021 19:13:07:604 -0300"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","99","0","99"
"[run number]","prob-frag","birth-rate-birds","birds-dispersal-distance","Video","migration-rate-birds","birds-behavior","habitat-patch-size","death-rate-birds","max-birds-species","initial-population","Deforestation-at-time","end-time","replacement-rate","[step]","birds-at-deforestation","calc-number-of-species","calc-shannon-diversity","count birds"
"3","0.6","2","1.1","false","0.001","BirthSelection","3","1","100","0","300","1600","0.3","1600","3118","41","3.088925527194256","2093"
"5","0.6","2","1.1","false","0.001","BirthSelection","3","1","100","0","300","1600","0.3","1600","3077","36","3.0816306836679863","1987"
"1","0.6","2","1.1","false","0.001","BirthSelection","3","1","100","0","300","1600","0.3","1600","3099","28","2.59056564726787","2178"
"4","0.6","2","1.1","false","0.001","BirthSelection","3","1","100","0","300","1600","0.3","1600","3055","34","2.8420590919057727","2200"
"2","0.6","2","1.1","false","0.001","BirthSelection","3","1","100","0","300","1600","0.3","1600","3144","35","2.859996714111982","2131"
"23","0.6","2","1.2","false","0.001","BirthSelection","3","1","100","0","300","1600","0.3","1600","3117","27","2.384646490518043","2854"
"21","0.6","2","1.2","false","0.001","BirthSelection","3","1","100","0","300","1600","0.3","1600","3093","40","2.9568012378981323","2937"
"25","0.6","2","1.2","false","0.001","BirthSelection","3","1","100","0","300","1600","0.3","1600","3109","32","2.7996944240753954","2818"
"24","0.6","2","1.2","false","0.001","BirthSelection","3","1","100","0","300","1600","0.3","1600","3128","41","2.9511637749438524","2902"
"22","0.6","2","1.2","false","0.001","BirthSelection","3","1","100","0","300","1600","0.3","1600","3131","27","2.7722810830869213","2896"
"7","0.6","2","1.1","false","0.001","BirthSelection","9","1","100","0","300","1600","0.3","1600","3091","18","2.4682782586755287","3223"
"8","0.6","2","1.1","false","0.001","BirthSelection","9","1","100","0","300","1600","0.3","1600","3094","23","2.7561019231616863","3289"
"10","0.6","2","1.1","false","0.001","BirthSelection","9","1","100","0","300","1600","0.3","1600","3093","19","2.6058319921267823","3226"
"6","0.6","2","1.1","false","0.001","BirthSelection","9","1","100","0","300","1600","0.3","1600","3105","21","2.6851580802673136","3278"
"9","0.6","2","1.1","false","0.001","BirthSelection","9","1","100","0","300","1600","0.3","1600","3126","18","2.576302909509385","3195"
"29","0.6","2","1.2","false","0.001","BirthSelection","9","1","100","0","300","1600","0.3","1600","3086","21","2.6447492871949088","3354"
"26","0.6","2","1.2","false","0.001","BirthSelection","9","1","100","0","300","1600","0.3","1600","3082","19","2.592449193975891","3272"
"27","0.6","2","1.2","false","0.001","BirthSelection","9","1","100","0","300","1600","0.3","1600","3070","15","2.361776369714544","3314"
"28","0.6","2","1.2","false","0.001","BirthSelection","9","1","100","0","300","1600","0.3","1600","3100","16","2.3464620066559316","3281"
"30","0.6","2","1.2","false","0.001","BirthSelection","9","1","100","0","300","1600","0.3","1600","3124","19","2.6238873067536","3336"
"15","0.6","2","1.1","false","0.001","BirthSelection","29","1","100","0","300","1600","0.3","1600","3071","13","1.845609756909078","3369"
"17","0.6","2","1.1","false","0.001","BirthSelection","61","1","100","0","300","1600","0.3","1600","3322","15","2.2027088340509797","3407"
"13","0.6","2","1.1","false","0.001","BirthSelection","29","1","100","0","300","1600","0.3","1600","3026","14","2.002333901135886","3392"
"40","0.6","2","1.2","false","0.001","BirthSelection","61","1","100","0","300","1600","0.3","1600","3289","9","1.7268646870739193","3460"
"18","0.6","2","1.1","false","0.001","BirthSelection","61","1","100","0","300","1600","0.3","1600","3304","16","2.1307907474106322","3387"
"11","0.6","2","1.1","false","0.001","BirthSelection","29","1","100","0","300","1600","0.3","1600","3086","17","2.334273641271351","3380"
"14","0.6","2","1.1","false","0.001","BirthSelection","29","1","100","0","300","1600","0.3","1600","3130","18","2.247477927425752","3364"
"19","0.6","2","1.1","false","0.001","BirthSelection","61","1","100","0","300","1600","0.3","1600","3278","8","1.5645278137226273","3454"
"12","0.6","2","1.1","false","0.001","BirthSelection","29","1","100","0","300","1600","0.3","1600","3090","14","1.6344956884869413","3341"
"16","0.6","2","1.1","false","0.001","BirthSelection","61","1","100","0","300","1600","0.3","1600","3252","12","1.9924384742105195","3424"
