"BehaviorSpace results (NetLogo 6.2.0)"
"MultipleContactNeutralMigrat.nlogo"
"Hierarchical_pf06_hpf3-59_dd1-3"
"05/15/2021 14:23:48:118 -0300"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","99","0","99"
"[run number]","prob-frag","birth-rate-birds","birds-dispersal-distance","Video","migration-rate-birds","birds-behavior","habitat-patch-size","death-rate-birds","max-birds-species","initial-population","Deforestation-at-time","replacement-rate","[step]","birds-at-deforestation","calc-number-of-species","calc-shannon-diversity","count birds"
"1","0.6","4","1.1","false","0.001","Hierarchical","3","1","100","0","200","0.3","1500","2634","31","2.718947836924044","1314"
"5","0.6","4","1.1","false","0.001","Hierarchical","3","1","100","0","200","0.3","1500","2689","40","3.083214891643133","1308"
"3","0.6","4","1.1","false","0.001","Hierarchical","3","1","100","0","200","0.3","1500","2629","36","3.0576169119722","1276"
"4","0.6","4","1.1","false","0.001","Hierarchical","3","1","100","0","200","0.3","1500","2686","31","2.87165195212425","1256"
"2","0.6","4","1.1","false","0.001","Hierarchical","3","1","100","0","200","0.3","1500","2727","39","3.0631028893748162","1303"
"25","0.6","4","1.2","false","0.001","Hierarchical","3","1","100","0","200","0.3","1500","2704","42","3.152792408762344","1479"
"22","0.6","4","1.2","false","0.001","Hierarchical","3","1","100","0","200","0.3","1500","2788","41","3.15421623799031","1430"
"21","0.6","4","1.2","false","0.001","Hierarchical","3","1","100","0","200","0.3","1500","2696","32","2.178169156033873","1525"
"23","0.6","4","1.2","false","0.001","Hierarchical","3","1","100","0","200","0.3","1500","2699","31","2.6728536859299625","1482"
"24","0.6","4","1.2","false","0.001","Hierarchical","3","1","100","0","200","0.3","1500","2716","33","2.7612163329774555","1623"
"41","0.6","4","1.5","false","0.001","Hierarchical","3","1","100","0","200","0.3","1500","2696","20","1.669691875823974","2132"
"45","0.6","4","1.5","false","0.001","Hierarchical","3","1","100","0","200","0.3","1500","2708","21","1.7447324151127892","2223"
"43","0.6","4","1.5","false","0.001","Hierarchical","3","1","100","0","200","0.3","1500","2673","18","2.06855211005259","2230"
"42","0.6","4","1.5","false","0.001","Hierarchical","3","1","100","0","200","0.3","1500","2746","19","1.7261452942966258","2199"
"44","0.6","4","1.5","false","0.001","Hierarchical","3","1","100","0","200","0.3","1500","2721","22","1.8685764003425098","2272"
"8","0.6","4","1.1","false","0.001","Hierarchical","9","1","100","0","200","0.3","1500","2708","14","1.9523383202953273","2637"
"7","0.6","4","1.1","false","0.001","Hierarchical","9","1","100","0","200","0.3","1500","2680","17","2.0785771583039137","2668"
"10","0.6","4","1.1","false","0.001","Hierarchical","9","1","100","0","200","0.3","1500","2672","19","2.422644784743879","2731"
"6","0.6","4","1.1","false","0.001","Hierarchical","9","1","100","0","200","0.3","1500","2698","20","2.4657504672809987","2684"
"9","0.6","4","1.1","false","0.001","Hierarchical","9","1","100","0","200","0.3","1500","2691","17","2.0875614464847607","2721"
"30","0.6","4","1.2","false","0.001","Hierarchical","9","1","100","0","200","0.3","1500","2688","22","2.4976655407400985","2726"
"27","0.6","4","1.2","false","0.001","Hierarchical","9","1","100","0","200","0.3","1500","2672","17","2.190137628462218","2686"
"28","0.6","4","1.2","false","0.001","Hierarchical","9","1","100","0","200","0.3","1500","2711","16","2.4788130656147693","2632"
"26","0.6","4","1.2","false","0.001","Hierarchical","9","1","100","0","200","0.3","1500","2671","25","2.653928479326016","2641"
"29","0.6","4","1.2","false","0.001","Hierarchical","9","1","100","0","200","0.3","1500","2683","14","2.0660081794785703","2761"
"12","0.6","4","1.1","false","0.001","Hierarchical","29","1","100","0","200","0.3","1500","2738","9","1.0720127485722626","2909"
"19","0.6","4","1.1","false","0.001","Hierarchical","61","1","100","0","200","0.3","1500","2848","10","0.6494724937633817","2943"
"14","0.6","4","1.1","false","0.001","Hierarchical","29","1","100","0","200","0.3","1500","2743","7","1.0969270336580532","2926"
"15","0.6","4","1.1","false","0.001","Hierarchical","29","1","100","0","200","0.3","1500","2710","10","1.3704192033383071","2861"
"18","0.6","4","1.1","false","0.001","Hierarchical","61","1","100","0","200","0.3","1500","2881","6","0.46184595533850337","2934"
"11","0.6","4","1.1","false","0.001","Hierarchical","29","1","100","0","200","0.3","1500","2679","9","1.0816321670881341","2923"
"16","0.6","4","1.1","false","0.001","Hierarchical","61","1","100","0","200","0.3","1500","2885","12","1.1050264804047492","3004"
"34","0.6","4","1.2","false","0.001","Hierarchical","29","1","100","0","200","0.3","1500","2639","11","1.2792737766497526","2965"
"20","0.6","4","1.1","false","0.001","Hierarchical","61","1","100","0","200","0.3","1500","2893","9","1.1758473163693628","2973"
"13","0.6","4","1.1","false","0.001","Hierarchical","29","1","100","0","200","0.3","1500","2645","13","1.468118446521598","2927"
"35","0.6","4","1.2","false","0.001","Hierarchical","29","1","100","0","200","0.3","1500","2693","8","1.3338365964953387","2978"
"32","0.6","4","1.2","false","0.001","Hierarchical","29","1","100","0","200","0.3","1500","2689","9","1.3180258434796004","2970"
"33","0.6","4","1.2","false","0.001","Hierarchical","29","1","100","0","200","0.3","1500","2699","9","1.0945749685970925","2929"
"17","0.6","4","1.1","false","0.001","Hierarchical","61","1","100","0","200","0.3","1500","2824","8","0.8443294399174237","2961"
"31","0.6","4","1.2","false","0.001","Hierarchical","29","1","100","0","200","0.3","1500","2701","9","1.5449419883136848","2835"
"36","0.6","4","1.2","false","0.001","Hierarchical","61","1","100","0","200","0.3","1500","2904","9","0.9624561850281154","2894"
"39","0.6","4","1.2","false","0.001","Hierarchical","61","1","100","0","200","0.3","1500","2867","6","0.687819919329275","2943"
"48","0.6","4","1.5","false","0.001","Hierarchical","9","1","100","0","200","0.3","1500","2641","11","1.510919152541447","2656"
"37","0.6","4","1.2","false","0.001","Hierarchical","61","1","100","0","200","0.3","1500","2891","10","0.7869729924337769","2919"
"40","0.6","4","1.2","false","0.001","Hierarchical","61","1","100","0","200","0.3","1500","2911","8","1.0681081327604949","2980"
"46","0.6","4","1.5","false","0.001","Hierarchical","9","1","100","0","200","0.3","1500","2718","12","1.5830257031327597","2738"
"47","0.6","4","1.5","false","0.001","Hierarchical","9","1","100","0","200","0.3","1500","2688","13","1.9716885336005678","2702"
"38","0.6","4","1.2","false","0.001","Hierarchical","61","1","100","0","200","0.3","1500","2867","7","0.08080925749267644","2913"
"49","0.6","4","1.5","false","0.001","Hierarchical","9","1","100","0","200","0.3","1500","2739","10","1.8940626942050154","2704"
"50","0.6","4","1.5","false","0.001","Hierarchical","9","1","100","0","200","0.3","1500","2704","10","1.495127932110285","2667"
"51","0.6","4","1.5","false","0.001","Hierarchical","29","1","100","0","200","0.3","1500","2691","6","1.0707966216447722","2923"
"53","0.6","4","1.5","false","0.001","Hierarchical","29","1","100","0","200","0.3","1500","2739","10","1.3876494953800511","2935"
"52","0.6","4","1.5","false","0.001","Hierarchical","29","1","100","0","200","0.3","1500","2680","8","1.4084310506660482","2908"
"55","0.6","4","1.5","false","0.001","Hierarchical","29","1","100","0","200","0.3","1500","2704","12","1.3066481896897253","2884"
"54","0.6","4","1.5","false","0.001","Hierarchical","29","1","100","0","200","0.3","1500","2698","9","1.0501991730898268","2916"
"56","0.6","4","1.5","false","0.001","Hierarchical","61","1","100","0","200","0.3","1500","2870","4","0.6665135026485951","2942"
"57","0.6","4","1.5","false","0.001","Hierarchical","61","1","100","0","200","0.3","1500","2890","5","0.17264280739808993","2951"
"58","0.6","4","1.5","false","0.001","Hierarchical","61","1","100","0","200","0.3","1500","2950","4","0.021384162766519613","2949"
"62","0.6","4","2","false","0.001","Hierarchical","3","1","100","0","200","0.3","1500","2745","9","1.2594012579394362","2191"
"61","0.6","4","2","false","0.001","Hierarchical","3","1","100","0","200","0.3","1500","2710","8","0.42499414094093807","2213"
"64","0.6","4","2","false","0.001","Hierarchical","3","1","100","0","200","0.3","1500","2718","9","0.6315833959491309","2129"
"63","0.6","4","2","false","0.001","Hierarchical","3","1","100","0","200","0.3","1500","2738","9","0.5725256640956197","2116"
"65","0.6","4","2","false","0.001","Hierarchical","3","1","100","0","200","0.3","1500","2736","14","1.3949739094788232","2196"
"60","0.6","4","1.5","false","0.001","Hierarchical","61","1","100","0","200","0.3","1500","2909","9","0.20196290545429318","2924"
"59","0.6","4","1.5","false","0.001","Hierarchical","61","1","100","0","200","0.3","1500","2926","5","1.020149560201086","2971"
"67","0.6","4","2","false","0.001","Hierarchical","9","1","100","0","200","0.3","1500","2727","2","0.006145622269763445","2667"
"66","0.6","4","2","false","0.001","Hierarchical","9","1","100","0","200","0.3","1500","2739","5","0.671754572492753","2629"
"68","0.6","4","2","false","0.001","Hierarchical","9","1","100","0","200","0.3","1500","2654","9","1.0990133662933965","2730"
"69","0.6","4","2","false","0.001","Hierarchical","9","1","100","0","200","0.3","1500","2740","3","0.09642112997674404","2668"
"70","0.6","4","2","false","0.001","Hierarchical","9","1","100","0","200","0.3","1500","2668","5","0.053168492269872955","2667"
"72","0.6","4","2","false","0.001","Hierarchical","29","1","100","0","200","0.3","1500","2672","4","0.017019191918188938","2886"
"82","0.6","4","3","false","0.001","Hierarchical","3","1","100","0","200","0.3","1500","2710","7","0.8539515537080092","2094"
"74","0.6","4","2","false","0.001","Hierarchical","29","1","100","0","200","0.3","1500","2655","9","0.09825244465278657","2889"
"73","0.6","4","2","false","0.001","Hierarchical","29","1","100","0","200","0.3","1500","2697","4","0.028438963709660092","2871"
"85","0.6","4","3","false","0.001","Hierarchical","3","1","100","0","200","0.3","1500","2703","6","0.12134526873038662","2049"
"83","0.6","4","3","false","0.001","Hierarchical","3","1","100","0","200","0.3","1500","2706","7","0.5264581129273794","2100"
"75","0.6","4","2","false","0.001","Hierarchical","29","1","100","0","200","0.3","1500","2681","5","0.03457699777346006","2864"
"81","0.6","4","3","false","0.001","Hierarchical","3","1","100","0","200","0.3","1500","2696","7","0.10298548160225554","2111"
"71","0.6","4","2","false","0.001","Hierarchical","29","1","100","0","200","0.3","1500","2708","8","0.0755407122373214","2887"
"84","0.6","4","3","false","0.001","Hierarchical","3","1","100","0","200","0.3","1500","2673","3","0.011290545356041314","2186"
"76","0.6","4","2","false","0.001","Hierarchical","61","1","100","0","200","0.3","1500","2818","9","0.26671770179319937","2901"
"78","0.6","4","2","false","0.001","Hierarchical","61","1","100","0","200","0.3","1500","2862","8","0.12802975084094156","2888"
"77","0.6","4","2","false","0.001","Hierarchical","61","1","100","0","200","0.3","1500","2893","6","0.9417790242328361","2952"
"79","0.6","4","2","false","0.001","Hierarchical","61","1","100","0","200","0.3","1500","2874","5","0.14827010436062008","2981"
"80","0.6","4","2","false","0.001","Hierarchical","61","1","100","0","200","0.3","1500","2837","6","0.08197699005172177","2907"
"86","0.6","4","3","false","0.001","Hierarchical","9","1","100","0","200","0.3","1500","2691","3","0.009550736622921063","2644"
"89","0.6","4","3","false","0.001","Hierarchical","9","1","100","0","200","0.3","1500","2711","4","0.03741847127300954","2630"
"88","0.6","4","3","false","0.001","Hierarchical","9","1","100","0","200","0.3","1500","2673","4","0.10429635626071834","2574"
"87","0.6","4","3","false","0.001","Hierarchical","9","1","100","0","200","0.3","1500","2726","5","0.07822538547712957","2579"
"90","0.6","4","3","false","0.001","Hierarchical","9","1","100","0","200","0.3","1500","2714","5","0.04724083246241735","2601"
"94","0.6","4","3","false","0.001","Hierarchical","29","1","100","0","200","0.3","1500","2716","5","0.050649027146940376","2876"
"92","0.6","4","3","false","0.001","Hierarchical","29","1","100","0","200","0.3","1500","2693","7","0.032072456354304966","2806"
"93","0.6","4","3","false","0.001","Hierarchical","29","1","100","0","200","0.3","1500","2671","1","0","2792"
"95","0.6","4","3","false","0.001","Hierarchical","29","1","100","0","200","0.3","1500","2734","3","0.02132188347918568","2781"
"91","0.6","4","3","false","0.001","Hierarchical","29","1","100","0","200","0.3","1500","2689","3","0.02534136682645792","2868"
"96","0.6","4","3","false","0.001","Hierarchical","61","1","100","0","200","0.3","1500","2866","4","0.025033392357424453","2922"
"97","0.6","4","3","false","0.001","Hierarchical","61","1","100","0","200","0.3","1500","2948","5","0.03860536899435451","2881"
"98","0.6","4","3","false","0.001","Hierarchical","61","1","100","0","200","0.3","1500","2874","3","0.05726011744486066","2929"
"99","0.6","4","3","false","0.001","Hierarchical","61","1","100","0","200","0.3","1500","2915","8","0.0686800344113617","2998"
"100","0.6","4","3","false","0.001","Hierarchical","61","1","100","0","200","0.3","1500","2924","5","0.07485845783956752","2920"
