"BehaviorSpace results (NetLogo 6.2.0)"
"MultipleContactNeutralMigrat.nlogo"
"Hierarchical_pf06_hpf3-59_dd1-3_lambda2"
"05/15/2021 18:55:25:888 -0300"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","99","0","99"
"[run number]","prob-frag","birth-rate-birds","birds-dispersal-distance","Video","migration-rate-birds","birds-behavior","habitat-patch-size","death-rate-birds","max-birds-species","initial-population","Deforestation-at-time","end-time","replacement-rate","[step]","birds-at-deforestation","calc-number-of-species","calc-shannon-diversity","count birds"
"3","0.6","2","1.1","false","0.001","Hierarchical","3","1","100","0","300","1600","0.3","1600","1386","6","1.458895450407514","21"
"2","0.6","2","1.1","false","0.001","Hierarchical","3","1","100","0","300","1600","0.3","1600","1387","7","1.852716977298999","30"
"5","0.6","2","1.1","false","0.001","Hierarchical","3","1","100","0","300","1600","0.3","1600","1416","8","1.8693561458194672","29"
"1","0.6","2","1.1","false","0.001","Hierarchical","3","1","100","0","300","1600","0.3","1600","1371","11","2.290587004463164","47"
"4","0.6","2","1.1","false","0.001","Hierarchical","3","1","100","0","300","1600","0.3","1600","1487","7","1.8330019230795884","23"
"23","0.6","2","1.2","false","0.001","Hierarchical","3","1","100","0","300","1600","0.3","1600","1424","10","2.112016790428868","42"
"25","0.6","2","1.2","false","0.001","Hierarchical","3","1","100","0","300","1600","0.3","1600","1534","3","0.9556998911125343","7"
"21","0.6","2","1.2","false","0.001","Hierarchical","3","1","100","0","300","1600","0.3","1600","1500","8","2.0030837587952584","35"
"24","0.6","2","1.2","false","0.001","Hierarchical","3","1","100","0","300","1600","0.3","1600","1535","6","1.6656937036662838","23"
"22","0.6","2","1.2","false","0.001","Hierarchical","3","1","100","0","300","1600","0.3","1600","1501","3","0.9556998911125343","7"
"9","0.6","2","1.1","false","0.001","Hierarchical","9","1","100","0","300","1600","0.3","1600","1212","24","2.8783759389621393","434"
"6","0.6","2","1.1","false","0.001","Hierarchical","9","1","100","0","300","1600","0.3","1600","1314","21","2.5698238095455874","267"
"43","0.6","2","1.5","false","0.001","Hierarchical","3","1","100","0","300","1600","0.3","1600","1635","5","1.4413846447046488","28"
"44","0.6","2","1.5","false","0.001","Hierarchical","3","1","100","0","300","1600","0.3","1600","1693","8","1.8220234236081587","41"
"45","0.6","2","1.5","false","0.001","Hierarchical","3","1","100","0","300","1600","0.3","1600","1617","10","2.1626168306008795","34"
"41","0.6","2","1.5","false","0.001","Hierarchical","3","1","100","0","300","1600","0.3","1600","1671","8","1.792755218185984","41"
"7","0.6","2","1.1","false","0.001","Hierarchical","9","1","100","0","300","1600","0.3","1600","1397","27","3.0761407874056603","424"
"42","0.6","2","1.5","false","0.001","Hierarchical","3","1","100","0","300","1600","0.3","1600","1671","11","2.2353741051717404","52"
"10","0.6","2","1.1","false","0.001","Hierarchical","9","1","100","0","300","1600","0.3","1600","1489","26","2.915139845926338","558"
"8","0.6","2","1.1","false","0.001","Hierarchical","9","1","100","0","300","1600","0.3","1600","1377","29","3.080260600221533","541"
"28","0.6","2","1.2","false","0.001","Hierarchical","9","1","100","0","300","1600","0.3","1600","1401","28","2.9492867286636018","713"
"27","0.6","2","1.2","false","0.001","Hierarchical","9","1","100","0","300","1600","0.3","1600","1496","26","2.912788142122085","699"
"30","0.6","2","1.2","false","0.001","Hierarchical","9","1","100","0","300","1600","0.3","1600","1500","18","2.431773970924329","621"
"26","0.6","2","1.2","false","0.001","Hierarchical","9","1","100","0","300","1600","0.3","1600","1457","25","2.8219256020640957","806"
"29","0.6","2","1.2","false","0.001","Hierarchical","9","1","100","0","300","1600","0.3","1600","1595","23","2.740703868163443","973"
"15","0.6","2","1.1","false","0.001","Hierarchical","29","1","100","0","300","1600","0.3","1600","1159","19","2.1282387379895087","1402"
"14","0.6","2","1.1","false","0.001","Hierarchical","29","1","100","0","300","1600","0.3","1600","1341","20","2.066820940527045","1372"
"13","0.6","2","1.1","false","0.001","Hierarchical","29","1","100","0","300","1600","0.3","1600","1323","19","2.2506954546467446","1319"
"11","0.6","2","1.1","false","0.001","Hierarchical","29","1","100","0","300","1600","0.3","1600","1477","19","1.8769932302945433","1379"
"12","0.6","2","1.1","false","0.001","Hierarchical","29","1","100","0","300","1600","0.3","1600","1419","18","1.6410458589474404","1352"
"16","0.6","2","1.1","false","0.001","Hierarchical","61","1","100","0","300","1600","0.3","1600","1343","13","1.6550679427174746","1257"
"18","0.6","2","1.1","false","0.001","Hierarchical","61","1","100","0","300","1600","0.3","1600","1477","13","0.6005326346149635","1498"
"17","0.6","2","1.1","false","0.001","Hierarchical","61","1","100","0","300","1600","0.3","1600","1348","13","1.332209837696139","1454"
"20","0.6","2","1.1","false","0.001","Hierarchical","61","1","100","0","300","1600","0.3","1600","1476","15","0.6165478441485365","1492"
"34","0.6","2","1.2","false","0.001","Hierarchical","29","1","100","0","300","1600","0.3","1600","1474","17","1.4498327626777177","1540"
"19","0.6","2","1.1","false","0.001","Hierarchical","61","1","100","0","300","1600","0.3","1600","1513","22","2.102308093905747","1529"
"33","0.6","2","1.2","false","0.001","Hierarchical","29","1","100","0","300","1600","0.3","1600","1556","18","1.488567100973326","1444"
"32","0.6","2","1.2","false","0.001","Hierarchical","29","1","100","0","300","1600","0.3","1600","1489","22","2.0077568416685323","1487"
"35","0.6","2","1.2","false","0.001","Hierarchical","29","1","100","0","300","1600","0.3","1600","1486","18","1.5656065598317588","1388"
"31","0.6","2","1.2","false","0.001","Hierarchical","29","1","100","0","300","1600","0.3","1600","1470","21","1.9333112090056188","1488"
"40","0.6","2","1.2","false","0.001","Hierarchical","61","1","100","0","300","1600","0.3","1600","1570","11","0.46179602126376995","1572"
"36","0.6","2","1.2","false","0.001","Hierarchical","61","1","100","0","300","1600","0.3","1600","1527","13","1.299783051989724","1456"
"37","0.6","2","1.2","false","0.001","Hierarchical","61","1","100","0","300","1600","0.3","1600","1669","12","0.9007529079200051","1497"
"39","0.6","2","1.2","false","0.001","Hierarchical","61","1","100","0","300","1600","0.3","1600","1641","18","1.1056801595770795","1670"
"38","0.6","2","1.2","false","0.001","Hierarchical","61","1","100","0","300","1600","0.3","1600","1499","18","1.5099966799382585","1599"
"48","0.6","2","1.5","false","0.001","Hierarchical","9","1","100","0","300","1600","0.3","1600","1653","21","2.4367889941110543","1250"
"46","0.6","2","1.5","false","0.001","Hierarchical","9","1","100","0","300","1600","0.3","1600","1726","22","2.4434896501131687","1220"
"47","0.6","2","1.5","false","0.001","Hierarchical","9","1","100","0","300","1600","0.3","1600","1657","22","2.3702256834014386","1283"
"64","0.6","2","2","false","0.001","Hierarchical","3","1","100","0","300","1600","0.3","1600","1744","7","1.5755356577806845","37"
"65","0.6","2","2","false","0.001","Hierarchical","3","1","100","0","300","1600","0.3","1600","1748","11","2.0883592900300023","60"
"62","0.6","2","2","false","0.001","Hierarchical","3","1","100","0","300","1600","0.3","1600","1758","8","1.7478680974667573","21"
"61","0.6","2","2","false","0.001","Hierarchical","3","1","100","0","300","1600","0.3","1600","1776","9","1.9716340644890027","42"
"63","0.6","2","2","false","0.001","Hierarchical","3","1","100","0","300","1600","0.3","1600","1712","13","1.987615465180197","69"
"49","0.6","2","1.5","false","0.001","Hierarchical","9","1","100","0","300","1600","0.3","1600","1685","22","2.4648601363171045","1220"
"50","0.6","2","1.5","false","0.001","Hierarchical","9","1","100","0","300","1600","0.3","1600","1682","21","2.3365974679280246","1231"
"51","0.6","2","1.5","false","0.001","Hierarchical","29","1","100","0","300","1600","0.3","1600","1697","15","1.0738506121109144","1604"
"52","0.6","2","1.5","false","0.001","Hierarchical","29","1","100","0","300","1600","0.3","1600","1673","13","1.3375912012258557","1642"
"53","0.6","2","1.5","false","0.001","Hierarchical","29","1","100","0","300","1600","0.3","1600","1690","14","0.9306965730915987","1674"
"54","0.6","2","1.5","false","0.001","Hierarchical","29","1","100","0","300","1600","0.3","1600","1658","20","1.8821454121235537","1704"
"55","0.6","2","1.5","false","0.001","Hierarchical","29","1","100","0","300","1600","0.3","1600","1588","16","0.8544927384186486","1593"
"56","0.6","2","1.5","false","0.001","Hierarchical","61","1","100","0","300","1600","0.3","1600","1777","13","0.28068516966112095","1648"
"57","0.6","2","1.5","false","0.001","Hierarchical","61","1","100","0","300","1600","0.3","1600","1772","9","0.9000898262945847","1685"
"58","0.6","2","1.5","false","0.001","Hierarchical","61","1","100","0","300","1600","0.3","1600","1767","11","0.14438058582013139","1767"
"82","0.6","2","3","false","0.001","Hierarchical","3","1","100","0","300","1600","0.3","1600","1678","8","1.9315026166192335","30"
"81","0.6","2","3","false","0.001","Hierarchical","3","1","100","0","300","1600","0.3","1600","1829","7","1.7168194934220313","33"
"85","0.6","2","3","false","0.001","Hierarchical","3","1","100","0","300","1600","0.3","1600","1815","8","1.684483415601523","49"
"66","0.6","2","2","false","0.001","Hierarchical","9","1","100","0","300","1600","0.3","1600","1733","11","1.3979206461053997","1249"
"60","0.6","2","1.5","false","0.001","Hierarchical","61","1","100","0","300","1600","0.3","1600","1770","9","0.24838459666428428","1819"
"59","0.6","2","1.5","false","0.001","Hierarchical","61","1","100","0","300","1600","0.3","1600","1750","10","0.1262809744084127","1806"
"83","0.6","2","3","false","0.001","Hierarchical","3","1","100","0","300","1600","0.3","1600","1738","2","0.5623351446188083","8"
"67","0.6","2","2","false","0.001","Hierarchical","9","1","100","0","300","1600","0.3","1600","1717","15","1.3608591994155643","1289"
