"BehaviorSpace results (NetLogo 6.2.0)"
"MultipleContactNeutralMigrat.nlogo"
"NoSelection_pf06_hpf3-59_dd1-3"
"05/15/2021 13:56:00:912 -0300"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","99","0","99"
"[run number]","prob-frag","birth-rate-birds","birds-dispersal-distance","Video","migration-rate-birds","birds-behavior","habitat-patch-size","death-rate-birds","max-birds-species","initial-population","Deforestation-at-time","replacement-rate","[step]","birds-at-deforestation","calc-number-of-species","calc-shannon-diversity","count birds"
"3","0.6","4","1.1","false","0.001","NoSelection","3","1","100","0","200","0.3","1500","2722","40","3.2175219180158856","1255"
"5","0.6","4","1.1","false","0.001","NoSelection","3","1","100","0","200","0.3","1500","2660","37","3.111029215207734","1306"
"2","0.6","4","1.1","false","0.001","NoSelection","3","1","100","0","200","0.3","1500","2684","33","2.946212936653885","1325"
"25","0.6","4","1.2","false","0.001","NoSelection","3","1","100","0","200","0.3","1500","2671","40","3.1462557021931783","1416"
"1","0.6","4","1.1","false","0.001","NoSelection","3","1","100","0","200","0.3","1500","2718","39","3.1248154317601706","1287"
"4","0.6","4","1.1","false","0.001","NoSelection","3","1","100","0","200","0.3","1500","2656","31","2.754737216831937","1352"
"21","0.6","4","1.2","false","0.001","NoSelection","3","1","100","0","200","0.3","1500","2677","35","2.9583286400090043","1583"
"22","0.6","4","1.2","false","0.001","NoSelection","3","1","100","0","200","0.3","1500","2684","34","2.740494611598627","1591"
"23","0.6","4","1.2","false","0.001","NoSelection","3","1","100","0","200","0.3","1500","2691","32","2.7344230588610317","1578"
"24","0.6","4","1.2","false","0.001","NoSelection","3","1","100","0","200","0.3","1500","2699","36","2.969575434657161","1682"
"41","0.6","4","1.5","false","0.001","NoSelection","3","1","100","0","200","0.3","1500","2741","30","2.5348777092771924","2230"
"45","0.6","4","1.5","false","0.001","NoSelection","3","1","100","0","200","0.3","1500","2727","24","2.3411078593812564","2087"
"43","0.6","4","1.5","false","0.001","NoSelection","3","1","100","0","200","0.3","1500","2706","27","2.41587087589977","2213"
"44","0.6","4","1.5","false","0.001","NoSelection","3","1","100","0","200","0.3","1500","2718","34","2.777561755335722","2284"
"42","0.6","4","1.5","false","0.001","NoSelection","3","1","100","0","200","0.3","1500","2731","33","2.5608717657987414","2284"
"8","0.6","4","1.1","false","0.001","NoSelection","9","1","100","0","200","0.3","1500","2653","21","2.4179204217871897","2678"
"6","0.6","4","1.1","false","0.001","NoSelection","9","1","100","0","200","0.3","1500","2649","28","2.8923677599539133","2736"
"10","0.6","4","1.1","false","0.001","NoSelection","9","1","100","0","200","0.3","1500","2648","22","2.575017929646743","2714"
"9","0.6","4","1.1","false","0.001","NoSelection","9","1","100","0","200","0.3","1500","2627","25","2.6360330353500117","2688"
"7","0.6","4","1.1","false","0.001","NoSelection","9","1","100","0","200","0.3","1500","2749","25","2.6889907573356995","2660"
"29","0.6","4","1.2","false","0.001","NoSelection","9","1","100","0","200","0.3","1500","2711","27","2.589221326572482","2714"
"27","0.6","4","1.2","false","0.001","NoSelection","9","1","100","0","200","0.3","1500","2658","21","2.6647129717427456","2675"
"30","0.6","4","1.2","false","0.001","NoSelection","9","1","100","0","200","0.3","1500","2740","22","2.495655680443205","2691"
"14","0.6","4","1.1","false","0.001","NoSelection","29","1","100","0","200","0.3","1500","2690","19","2.138088355366743","2878"
"26","0.6","4","1.2","false","0.001","NoSelection","9","1","100","0","200","0.3","1500","2648","21","2.5162090320698423","2689"
"28","0.6","4","1.2","false","0.001","NoSelection","9","1","100","0","200","0.3","1500","2737","18","2.4942924234916903","2683"
"15","0.6","4","1.1","false","0.001","NoSelection","29","1","100","0","200","0.3","1500","2654","18","2.327274238936412","2950"
"20","0.6","4","1.1","false","0.001","NoSelection","61","1","100","0","200","0.3","1500","2912","16","1.713289802679867","2993"
"17","0.6","4","1.1","false","0.001","NoSelection","61","1","100","0","200","0.3","1500","2866","17","2.2850273289517595","2936"
"11","0.6","4","1.1","false","0.001","NoSelection","29","1","100","0","200","0.3","1500","2689","19","2.0518586603810807","2875"
"36","0.6","4","1.2","false","0.001","NoSelection","61","1","100","0","200","0.3","1500","2896","18","2.1607910902591367","2918"
"13","0.6","4","1.1","false","0.001","NoSelection","29","1","100","0","200","0.3","1500","2744","25","2.6083606516025206","2906"
"18","0.6","4","1.1","false","0.001","NoSelection","61","1","100","0","200","0.3","1500","2912","19","2.088128922518634","2900"
"16","0.6","4","1.1","false","0.001","NoSelection","61","1","100","0","200","0.3","1500","2881","16","1.8318707098059115","2922"
"12","0.6","4","1.1","false","0.001","NoSelection","29","1","100","0","200","0.3","1500","2716","21","2.386398259448457","2899"
"32","0.6","4","1.2","false","0.001","NoSelection","29","1","100","0","200","0.3","1500","2737","15","1.9042392764522944","2924"
"19","0.6","4","1.1","false","0.001","NoSelection","61","1","100","0","200","0.3","1500","2859","18","2.087095986984247","2985"
"34","0.6","4","1.2","false","0.001","NoSelection","29","1","100","0","200","0.3","1500","2680","24","2.3790249959208167","2943"
"39","0.6","4","1.2","false","0.001","NoSelection","61","1","100","0","200","0.3","1500","2882","16","2.259794149445849","2917"
"31","0.6","4","1.2","false","0.001","NoSelection","29","1","100","0","200","0.3","1500","2699","16","1.735555210817115","2931"
"46","0.6","4","1.5","false","0.001","NoSelection","9","1","100","0","200","0.3","1500","2672","19","2.604203732036326","2784"
"33","0.6","4","1.2","false","0.001","NoSelection","29","1","100","0","200","0.3","1500","2669","19","2.0982773920358726","2887"
"47","0.6","4","1.5","false","0.001","NoSelection","9","1","100","0","200","0.3","1500","2737","20","2.4083307177199957","2747"
"35","0.6","4","1.2","false","0.001","NoSelection","29","1","100","0","200","0.3","1500","2669","21","1.8906527919701615","2912"
"48","0.6","4","1.5","false","0.001","NoSelection","9","1","100","0","200","0.3","1500","2702","15","2.2984091356116063","2743"
"38","0.6","4","1.2","false","0.001","NoSelection","61","1","100","0","200","0.3","1500","2873","22","2.4100677506886887","2920"
"37","0.6","4","1.2","false","0.001","NoSelection","61","1","100","0","200","0.3","1500","2880","22","1.9525722015096494","2948"
"40","0.6","4","1.2","false","0.001","NoSelection","61","1","100","0","200","0.3","1500","3000","15","2.091005087854677","2951"
