"BehaviorSpace results (NetLogo 6.2.0)"
"MultipleContactNeutralMigrat.nlogo"
"NoSelection_pf06_hpf3-59_dd1-3_lambda2"
"05/15/2021 19:04:20:679 -0300"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","99","0","99"
"[run number]","prob-frag","birth-rate-birds","birds-dispersal-distance","Video","migration-rate-birds","birds-behavior","habitat-patch-size","death-rate-birds","max-birds-species","initial-population","Deforestation-at-time","end-time","replacement-rate","[step]","birds-at-deforestation","calc-number-of-species","calc-shannon-diversity","count birds"
"3","0.6","2","1.1","false","0.001","NoSelection","3","1","100","0","300","1600","0.3","1600","1431","7","1.800722737214794","27"
"2","0.6","2","1.1","false","0.001","NoSelection","3","1","100","0","300","1600","0.3","1600","1387","8","1.8316234775409082","31"
"5","0.6","2","1.1","false","0.001","NoSelection","3","1","100","0","300","1600","0.3","1600","1364","11","2.1257668215256267","47"
"1","0.6","2","1.1","false","0.001","NoSelection","3","1","100","0","300","1600","0.3","1600","1467","8","1.902014917829086","35"
"4","0.6","2","1.1","false","0.001","NoSelection","3","1","100","0","300","1600","0.3","1600","1328","5","1.5159720511803936","32"
"25","0.6","2","1.2","false","0.001","NoSelection","3","1","100","0","300","1600","0.3","1600","1461","8","1.984453589426854","26"
"21","0.6","2","1.2","false","0.001","NoSelection","3","1","100","0","300","1600","0.3","1600","1571","16","2.5242364692536263","42"
"22","0.6","2","1.2","false","0.001","NoSelection","3","1","100","0","300","1600","0.3","1600","1478","10","2.1776057946561216","29"
"23","0.6","2","1.2","false","0.001","NoSelection","3","1","100","0","300","1600","0.3","1600","1523","12","2.2732894964924233","40"
"24","0.6","2","1.2","false","0.001","NoSelection","3","1","100","0","300","1600","0.3","1600","1419","6","1.7721393884375283","14"
"6","0.6","2","1.1","false","0.001","NoSelection","9","1","100","0","300","1600","0.3","1600","1272","18","2.7761079537766467","471"
"10","0.6","2","1.1","false","0.001","NoSelection","9","1","100","0","300","1600","0.3","1600","1404","21","2.819235772571027","405"
"42","0.6","2","1.5","false","0.001","NoSelection","3","1","100","0","300","1600","0.3","1600","1640","14","2.421057471558901","45"
"7","0.6","2","1.1","false","0.001","NoSelection","9","1","100","0","300","1600","0.3","1600","1364","26","2.922464150372226","506"
"9","0.6","2","1.1","false","0.001","NoSelection","9","1","100","0","300","1600","0.3","1600","1437","26","2.97491105867705","473"
"44","0.6","2","1.5","false","0.001","NoSelection","3","1","100","0","300","1600","0.3","1600","1694","9","1.9248821123753383","32"
"41","0.6","2","1.5","false","0.001","NoSelection","3","1","100","0","300","1600","0.3","1600","1633","11","2.2256964034457583","46"
"8","0.6","2","1.1","false","0.001","NoSelection","9","1","100","0","300","1600","0.3","1600","1252","26","3.047792509387303","544"
"43","0.6","2","1.5","false","0.001","NoSelection","3","1","100","0","300","1600","0.3","1600","1676","8","1.905939761261633","45"
"45","0.6","2","1.5","false","0.001","NoSelection","3","1","100","0","300","1600","0.3","1600","1630","6","1.3372952378958223","19"
"27","0.6","2","1.2","false","0.001","NoSelection","9","1","100","0","300","1600","0.3","1600","1410","28","2.8981216791082365","748"
"28","0.6","2","1.2","false","0.001","NoSelection","9","1","100","0","300","1600","0.3","1600","1498","23","2.8465902152498357","765"
"29","0.6","2","1.2","false","0.001","NoSelection","9","1","100","0","300","1600","0.3","1600","1498","30","3.1341810766245533","695"
"26","0.6","2","1.2","false","0.001","NoSelection","9","1","100","0","300","1600","0.3","1600","1482","26","2.8676333603601356","567"
"30","0.6","2","1.2","false","0.001","NoSelection","9","1","100","0","300","1600","0.3","1600","1470","21","2.7152430041784417","584"
"12","0.6","2","1.1","false","0.001","NoSelection","29","1","100","0","300","1600","0.3","1600","1259","22","2.0904687614322044","1368"
"20","0.6","2","1.1","false","0.001","NoSelection","61","1","100","0","300","1600","0.3","1600","1205","23","2.310042100846012","1377"
"15","0.6","2","1.1","false","0.001","NoSelection","29","1","100","0","300","1600","0.3","1600","1412","28","2.2905138354106374","1456"
"11","0.6","2","1.1","false","0.001","NoSelection","29","1","100","0","300","1600","0.3","1600","1475","20","1.9266070656712713","1331"
"13","0.6","2","1.1","false","0.001","NoSelection","29","1","100","0","300","1600","0.3","1600","1422","29","2.313547926722014","1458"
"14","0.6","2","1.1","false","0.001","NoSelection","29","1","100","0","300","1600","0.3","1600","1326","19","2.2052942397014017","1382"
"18","0.6","2","1.1","false","0.001","NoSelection","61","1","100","0","300","1600","0.3","1600","1294","26","2.5339439953442295","1557"
"19","0.6","2","1.1","false","0.001","NoSelection","61","1","100","0","300","1600","0.3","1600","1279","21","1.9286323015379112","1483"
"17","0.6","2","1.1","false","0.001","NoSelection","61","1","100","0","300","1600","0.3","1600","1322","20","2.006181220110427","1542"
"16","0.6","2","1.1","false","0.001","NoSelection","61","1","100","0","300","1600","0.3","1600","1622","22","2.228409846514323","1446"
"32","0.6","2","1.2","false","0.001","NoSelection","29","1","100","0","300","1600","0.3","1600","1456","24","2.1994083080964977","1578"
"35","0.6","2","1.2","false","0.001","NoSelection","29","1","100","0","300","1600","0.3","1600","1483","27","2.229662636737932","1574"
"33","0.6","2","1.2","false","0.001","NoSelection","29","1","100","0","300","1600","0.3","1600","1498","21","2.1355339963661293","1431"
"31","0.6","2","1.2","false","0.001","NoSelection","29","1","100","0","300","1600","0.3","1600","1361","20","1.9942518958165367","1558"
"38","0.6","2","1.2","false","0.001","NoSelection","61","1","100","0","300","1600","0.3","1600","1526","24","2.0006394133371788","1664"
"34","0.6","2","1.2","false","0.001","NoSelection","29","1","100","0","300","1600","0.3","1600","1506","26","2.4460826596005756","1480"
"39","0.6","2","1.2","false","0.001","NoSelection","61","1","100","0","300","1600","0.3","1600","1589","22","1.9681898379842924","1587"
"40","0.6","2","1.2","false","0.001","NoSelection","61","1","100","0","300","1600","0.3","1600","1510","21","1.86325404357631","1470"
"37","0.6","2","1.2","false","0.001","NoSelection","61","1","100","0","300","1600","0.3","1600","1669","25","2.0093326286570226","1542"
"36","0.6","2","1.2","false","0.001","NoSelection","61","1","100","0","300","1600","0.3","1600","1520","21","1.356534612998351","1522"
"47","0.6","2","1.5","false","0.001","NoSelection","9","1","100","0","300","1600","0.3","1600","1664","22","2.5229337763929434","1286"
"48","0.6","2","1.5","false","0.001","NoSelection","9","1","100","0","300","1600","0.3","1600","1595","25","2.5183407875868613","1273"
"46","0.6","2","1.5","false","0.001","NoSelection","9","1","100","0","300","1600","0.3","1600","1732","23","2.6487664246590494","1190"
"61","0.6","2","2","false","0.001","NoSelection","3","1","100","0","300","1600","0.3","1600","1732","6","1.6778494529580075","36"
"63","0.6","2","2","false","0.001","NoSelection","3","1","100","0","300","1600","0.3","1600","1689","5","1.4915928137636691","31"
"65","0.6","2","2","false","0.001","NoSelection","3","1","100","0","300","1600","0.3","1600","1709","8","1.8636099190052386","35"
"64","0.6","2","2","false","0.001","NoSelection","3","1","100","0","300","1600","0.3","1600","1691","7","1.8087650268886841","26"
"62","0.6","2","2","false","0.001","NoSelection","3","1","100","0","300","1600","0.3","1600","1729","8","1.8942871583297876","25"
"49","0.6","2","1.5","false","0.001","NoSelection","9","1","100","0","300","1600","0.3","1600","1625","23","2.449835923019794","1214"
"50","0.6","2","1.5","false","0.001","NoSelection","9","1","100","0","300","1600","0.3","1600","1616","25","2.90818123388557","1209"
"51","0.6","2","1.5","false","0.001","NoSelection","29","1","100","0","300","1600","0.3","1600","1686","21","2.247132539858722","1680"
"52","0.6","2","1.5","false","0.001","NoSelection","29","1","100","0","300","1600","0.3","1600","1686","19","2.111456639683747","1573"
"53","0.6","2","1.5","false","0.001","NoSelection","29","1","100","0","300","1600","0.3","1600","1626","22","2.1726893683595034","1668"
"55","0.6","2","1.5","false","0.001","NoSelection","29","1","100","0","300","1600","0.3","1600","1728","23","2.5137549852025685","1637"
"54","0.6","2","1.5","false","0.001","NoSelection","29","1","100","0","300","1600","0.3","1600","1752","21","2.4009007474639383","1612"
"56","0.6","2","1.5","false","0.001","NoSelection","61","1","100","0","300","1600","0.3","1600","1779","13","1.6599844856623065","1637"
"57","0.6","2","1.5","false","0.001","NoSelection","61","1","100","0","300","1600","0.3","1600","1778","23","2.3002616516294263","1742"
"58","0.6","2","1.5","false","0.001","NoSelection","61","1","100","0","300","1600","0.3","1600","1694","23","1.9759253393514167","1697"
"82","0.6","2","3","false","0.001","NoSelection","3","1","100","0","300","1600","0.3","1600","1740","7","1.7385149957434607","37"
"81","0.6","2","3","false","0.001","NoSelection","3","1","100","0","300","1600","0.3","1600","1770","6","1.6488470716724797","14"
