"BehaviorSpace results (NetLogo 6.2.0)"
"MultipleContactNeutralMigrat.nlogo"
"NoHiBi_200_pf06_hpf3-61_dd1-3_lambda2_NoMigrat"
"05/24/2021 10:47:03:343 -0300"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","199","0","199"
"[run number]","world-width","world-height","prob-frag","birth-rate-birds","birds-dispersal-distance","Video","migration-rate-birds","birds-behavior","habitat-patch-size","death-rate-birds","max-birds-species","initial-population","Deforestation-at-time","end-time","replacement-rate","Migration0-at-deforestation","[step]","birds-at-deforestation","calc-number-of-species","calc-shannon-diversity","count birds"
"9","200","200","0.6","2","1.1","false","0.001","NoSelection","3","1","100","0","600","1900","0.3","true","1900","6081","0","0","0"
"10","200","200","0.6","2","1.1","false","0.001","NoSelection","3","1","100","0","600","1900","0.3","true","1900","6006","0","0","0"
"5","200","200","0.6","2","1.1","false","0.001","NoSelection","3","1","100","0","600","1900","0.3","true","1900","5955","0","0","0"
"8","200","200","0.6","2","1.1","false","0.001","NoSelection","3","1","100","0","600","1900","0.3","true","1900","5757","0","0","0"
"3","200","200","0.6","2","1.1","false","0.001","NoSelection","3","1","100","0","600","1900","0.3","true","1900","5939","0","0","0"
"7","200","200","0.6","2","1.1","false","0.001","NoSelection","3","1","100","0","600","1900","0.3","true","1900","5857","0","0","0"
"6","200","200","0.6","2","1.1","false","0.001","NoSelection","3","1","100","0","600","1900","0.3","true","1900","5994","0","0","0"
"4","200","200","0.6","2","1.1","false","0.001","NoSelection","3","1","100","0","600","1900","0.3","true","1900","5888","0","0","0"
"1","200","200","0.6","2","1.1","false","0.001","NoSelection","3","1","100","0","600","1900","0.3","true","1900","6000","0","0","0"
"2","200","200","0.6","2","1.1","false","0.001","NoSelection","3","1","100","0","600","1900","0.3","true","1900","5916","0","0","0"
"19","200","200","0.6","2","1.1","false","0.001","NoSelection","9","1","100","0","600","1900","0.3","true","1900","5539","19","2.6807361276760306","939"
"18","200","200","0.6","2","1.1","false","0.001","NoSelection","9","1","100","0","600","1900","0.3","true","1900","5459","19","2.7217719098726043","1034"
"12","200","200","0.6","2","1.1","false","0.001","NoSelection","9","1","100","0","600","1900","0.3","true","1900","5252","18","2.610032621413604","997"
"20","200","200","0.6","2","1.1","false","0.001","NoSelection","9","1","100","0","600","1900","0.3","true","1900","5584","23","2.960966244350331","977"
"13","200","200","0.6","2","1.1","false","0.001","NoSelection","9","1","100","0","600","1900","0.3","true","1900","5276","21","2.8729276232713623","917"
"14","200","200","0.6","2","1.1","false","0.001","NoSelection","9","1","100","0","600","1900","0.3","true","1900","5416","23","2.836129420024008","1222"
"16","200","200","0.6","2","1.1","false","0.001","NoSelection","9","1","100","0","600","1900","0.3","true","1900","5524","20","2.8345382962387484","826"
"17","200","200","0.6","2","1.1","false","0.001","NoSelection","9","1","100","0","600","1900","0.3","true","1900","5478","25","3.030261505328348","949"
"15","200","200","0.6","2","1.1","false","0.001","NoSelection","9","1","100","0","600","1900","0.3","true","1900","5826","18","2.754011341282598","895"
"11","200","200","0.6","2","1.1","false","0.001","NoSelection","9","1","100","0","600","1900","0.3","true","1900","5502","20","2.7388485251663583","1145"
"30","200","200","0.6","2","1.1","false","0.001","NoSelection","30","1","100","0","600","1900","0.3","true","1900","5682","22","2.871243193593553","5327"
"28","200","200","0.6","2","1.1","false","0.001","NoSelection","30","1","100","0","600","1900","0.3","true","1900","6042","23","2.819310609172873","5340"
"23","200","200","0.6","2","1.1","false","0.001","NoSelection","30","1","100","0","600","1900","0.3","true","1900","5936","14","2.4750882331226234","5316"
"22","200","200","0.6","2","1.1","false","0.001","NoSelection","30","1","100","0","600","1900","0.3","true","1900","5719","16","2.4247645383908734","5253"
"24","200","200","0.6","2","1.1","false","0.001","NoSelection","30","1","100","0","600","1900","0.3","true","1900","5876","22","2.8719062054815017","5210"
"21","200","200","0.6","2","1.1","false","0.001","NoSelection","30","1","100","0","600","1900","0.3","true","1900","6139","17","2.6158676069695064","5341"
"26","200","200","0.6","2","1.1","false","0.001","NoSelection","30","1","100","0","600","1900","0.3","true","1900","5908","23","2.908687044292265","5229"
"27","200","200","0.6","2","1.1","false","0.001","NoSelection","30","1","100","0","600","1900","0.3","true","1900","5991","19","2.644353196467814","5465"
"25","200","200","0.6","2","1.1","false","0.001","NoSelection","30","1","100","0","600","1900","0.3","true","1900","5872","26","2.990811948896129","5317"
"29","200","200","0.6","2","1.1","false","0.001","NoSelection","30","1","100","0","600","1900","0.3","true","1900","5839","21","2.605710626869496","5252"
"51","200","200","0.6","2","1.1","false","0.001","Hierarchical","3","1","100","0","600","1900","0.3","true","1900","6056","0","0","0"
"53","200","200","0.6","2","1.1","false","0.001","Hierarchical","3","1","100","0","600","1900","0.3","true","1900","5962","0","0","0"
"54","200","200","0.6","2","1.1","false","0.001","Hierarchical","3","1","100","0","600","1900","0.3","true","1900","5904","0","0","0"
"56","200","200","0.6","2","1.1","false","0.001","Hierarchical","3","1","100","0","600","1900","0.3","true","1900","6031","0","0","0"
"55","200","200","0.6","2","1.1","false","0.001","Hierarchical","3","1","100","0","600","1900","0.3","true","1900","5800","0","0","0"
"35","200","200","0.6","2","1.1","false","0.001","NoSelection","62","1","100","0","600","1900","0.3","true","1900","6217","11","2.1262276772155535","5998"
"52","200","200","0.6","2","1.1","false","0.001","Hierarchical","3","1","100","0","600","1900","0.3","true","1900","5824","0","0","0"
"34","200","200","0.6","2","1.1","false","0.001","NoSelection","62","1","100","0","600","1900","0.3","true","1900","6085","17","2.3606865892664333","5842"
"57","200","200","0.6","2","1.1","false","0.001","Hierarchical","3","1","100","0","600","1900","0.3","true","1900","5895","0","0","0"
"39","200","200","0.6","2","1.1","false","0.001","NoSelection","62","1","100","0","600","1900","0.3","true","1900","6468","16","2.4880001773292806","5498"
"58","200","200","0.6","2","1.1","false","0.001","Hierarchical","3","1","100","0","600","1900","0.3","true","1900","6041","0","0","0"
"38","200","200","0.6","2","1.1","false","0.001","NoSelection","62","1","100","0","600","1900","0.3","true","1900","6009","18","2.5805570168287226","5861"
"33","200","200","0.6","2","1.1","false","0.001","NoSelection","62","1","100","0","600","1900","0.3","true","1900","6120","16","2.5620434611901444","5681"
"31","200","200","0.6","2","1.1","false","0.001","NoSelection","62","1","100","0","600","1900","0.3","true","1900","6133","19","2.647750415716641","5779"
"32","200","200","0.6","2","1.1","false","0.001","NoSelection","62","1","100","0","600","1900","0.3","true","1900","5841","19","2.6442359241576865","5782"
"45","200","200","0.6","2","1.1","false","0.001","NoSelection","125","1","100","0","600","1900","0.3","true","1900","5944","16","2.4093149516008654","5655"
"40","200","200","0.6","2","1.1","false","0.001","NoSelection","62","1","100","0","600","1900","0.3","true","1900","6204","19","2.5964200858145614","5813"
"36","200","200","0.6","2","1.1","false","0.001","NoSelection","62","1","100","0","600","1900","0.3","true","1900","6099","16","2.6057068830051047","5756"
"44","200","200","0.6","2","1.1","false","0.001","NoSelection","125","1","100","0","600","1900","0.3","true","1900","5657","11","1.8054533116662217","6091"
"48","200","200","0.6","2","1.1","false","0.001","NoSelection","125","1","100","0","600","1900","0.3","true","1900","5818","13","2.119890928858124","5971"
"37","200","200","0.6","2","1.1","false","0.001","NoSelection","62","1","100","0","600","1900","0.3","true","1900","6349","16","2.403445938275028","5691"
"47","200","200","0.6","2","1.1","false","0.001","NoSelection","125","1","100","0","600","1900","0.3","true","1900","5965","15","2.383519750767015","5994"
"41","200","200","0.6","2","1.1","false","0.001","NoSelection","125","1","100","0","600","1900","0.3","true","1900","5939","10","2.0328835558215848","6035"
"46","200","200","0.6","2","1.1","false","0.001","NoSelection","125","1","100","0","600","1900","0.3","true","1900","5770","16","2.4463413132582206","5920"
"43","200","200","0.6","2","1.1","false","0.001","NoSelection","125","1","100","0","600","1900","0.3","true","1900","5910","12","2.2116092667713914","5985"
"59","200","200","0.6","2","1.1","false","0.001","Hierarchical","3","1","100","0","600","1900","0.3","true","1900","5817","0","0","0"
"42","200","200","0.6","2","1.1","false","0.001","NoSelection","125","1","100","0","600","1900","0.3","true","1900","6255","13","2.312029196990551","5934"
"60","200","200","0.6","2","1.1","false","0.001","Hierarchical","3","1","100","0","600","1900","0.3","true","1900","5679","0","0","0"
"61","200","200","0.6","2","1.1","false","0.001","Hierarchical","9","1","100","0","600","1900","0.3","true","1900","5638","21","2.936258649398922","995"
"63","200","200","0.6","2","1.1","false","0.001","Hierarchical","9","1","100","0","600","1900","0.3","true","1900","5344","15","2.4652768702145575","978"
"65","200","200","0.6","2","1.1","false","0.001","Hierarchical","9","1","100","0","600","1900","0.3","true","1900","5476","22","2.926749045424343","914"
"62","200","200","0.6","2","1.1","false","0.001","Hierarchical","9","1","100","0","600","1900","0.3","true","1900","5551","19","2.66301090165011","1178"
"64","200","200","0.6","2","1.1","false","0.001","Hierarchical","9","1","100","0","600","1900","0.3","true","1900","5317","14","2.4510467863320193","921"
"68","200","200","0.6","2","1.1","false","0.001","Hierarchical","9","1","100","0","600","1900","0.3","true","1900","5485","17","2.6635696791961525","929"
"66","200","200","0.6","2","1.1","false","0.001","Hierarchical","9","1","100","0","600","1900","0.3","true","1900","5577","23","2.8527741178784445","1190"
"67","200","200","0.6","2","1.1","false","0.001","Hierarchical","9","1","100","0","600","1900","0.3","true","1900","5490","19","2.8245545585386083","952"
"50","200","200","0.6","2","1.1","false","0.001","NoSelection","125","1","100","0","600","1900","0.3","true","1900","6024","18","2.539097744727515","5900"
"49","200","200","0.6","2","1.1","false","0.001","NoSelection","125","1","100","0","600","1900","0.3","true","1900","6217","13","2.160547035520579","6069"
"69","200","200","0.6","2","1.1","false","0.001","Hierarchical","9","1","100","0","600","1900","0.3","true","1900","5621","18","2.6252511132926655","1291"
"70","200","200","0.6","2","1.1","false","0.001","Hierarchical","9","1","100","0","600","1900","0.3","true","1900","5448","19","2.748598341692598","993"
"74","200","200","0.6","2","1.1","false","0.001","Hierarchical","30","1","100","0","600","1900","0.3","true","1900","5986","11","2.2526804624804746","5362"
"72","200","200","0.6","2","1.1","false","0.001","Hierarchical","30","1","100","0","600","1900","0.3","true","1900","5820","14","2.450096088607445","5213"
"71","200","200","0.6","2","1.1","false","0.001","Hierarchical","30","1","100","0","600","1900","0.3","true","1900","5868","13","2.2491691553864808","5394"
"73","200","200","0.6","2","1.1","false","0.001","Hierarchical","30","1","100","0","600","1900","0.3","true","1900","6074","14","2.2632829338534104","5549"
"75","200","200","0.6","2","1.1","false","0.001","Hierarchical","30","1","100","0","600","1900","0.3","true","1900","5888","11","2.229329672233706","5244"
"76","200","200","0.6","2","1.1","false","0.001","Hierarchical","30","1","100","0","600","1900","0.3","true","1900","6042","13","2.384453820049204","5176"
"77","200","200","0.6","2","1.1","false","0.001","Hierarchical","30","1","100","0","600","1900","0.3","true","1900","6085","12","2.218392841680227","5212"
"79","200","200","0.6","2","1.1","false","0.001","Hierarchical","30","1","100","0","600","1900","0.3","true","1900","6001","14","2.341397651409922","5341"
"78","200","200","0.6","2","1.1","false","0.001","Hierarchical","30","1","100","0","600","1900","0.3","true","1900","5857","14","2.440190975152252","5397"
"80","200","200","0.6","2","1.1","false","0.001","Hierarchical","30","1","100","0","600","1900","0.3","true","1900","6001","16","2.4749513047174183","5351"
"85","200","200","0.6","2","1.1","false","0.001","Hierarchical","62","1","100","0","600","1900","0.3","true","1900","5978","12","2.1297967372038817","5815"
"84","200","200","0.6","2","1.1","false","0.001","Hierarchical","62","1","100","0","600","1900","0.3","true","1900","6218","11","1.926582798954752","5719"
"82","200","200","0.6","2","1.1","false","0.001","Hierarchical","62","1","100","0","600","1900","0.3","true","1900","6197","9","1.882637073889186","6071"
"86","200","200","0.6","2","1.1","false","0.001","Hierarchical","62","1","100","0","600","1900","0.3","true","1900","6159","11","1.8515209800447148","5660"
"83","200","200","0.6","2","1.1","false","0.001","Hierarchical","62","1","100","0","600","1900","0.3","true","1900","5928","7","1.00838866170835","5597"
"90","200","200","0.6","2","1.1","false","0.001","Hierarchical","62","1","100","0","600","1900","0.3","true","1900","6368","12","2.17119757376164","5931"
"81","200","200","0.6","2","1.1","false","0.001","Hierarchical","62","1","100","0","600","1900","0.3","true","1900","6145","11","1.7860369425571787","5745"
"88","200","200","0.6","2","1.1","false","0.001","Hierarchical","62","1","100","0","600","1900","0.3","true","1900","6156","9","1.7059715415535373","5940"
"87","200","200","0.6","2","1.1","false","0.001","Hierarchical","62","1","100","0","600","1900","0.3","true","1900","6259","11","1.8456395944578585","5420"
"89","200","200","0.6","2","1.1","false","0.001","Hierarchical","62","1","100","0","600","1900","0.3","true","1900","6388","9","1.3712599255897615","5831"
"94","200","200","0.6","2","1.1","false","0.001","Hierarchical","125","1","100","0","600","1900","0.3","true","1900","5698","10","1.702369106232443","5931"
"91","200","200","0.6","2","1.1","false","0.001","Hierarchical","125","1","100","0","600","1900","0.3","true","1900","6334","6","1.3735157599037098","6032"
"95","200","200","0.6","2","1.1","false","0.001","Hierarchical","125","1","100","0","600","1900","0.3","true","1900","5973","8","1.5704299087766564","5825"
"93","200","200","0.6","2","1.1","false","0.001","Hierarchical","125","1","100","0","600","1900","0.3","true","1900","5975","9","1.8365419844179722","5844"
"97","200","200","0.6","2","1.1","false","0.001","Hierarchical","125","1","100","0","600","1900","0.3","true","1900","6079","8","1.7675505761734904","5937"
"99","200","200","0.6","2","1.1","false","0.001","Hierarchical","125","1","100","0","600","1900","0.3","true","1900","6067","10","1.9065884961153485","6027"
"96","200","200","0.6","2","1.1","false","0.001","Hierarchical","125","1","100","0","600","1900","0.3","true","1900","6210","9","1.6309956188768657","6035"
"100","200","200","0.6","2","1.1","false","0.001","Hierarchical","125","1","100","0","600","1900","0.3","true","1900","5830","5","1.1921990388673875","6047"
"98","200","200","0.6","2","1.1","false","0.001","Hierarchical","125","1","100","0","600","1900","0.3","true","1900","5908","9","1.9336205088147504","5777"
"92","200","200","0.6","2","1.1","false","0.001","Hierarchical","125","1","100","0","600","1900","0.3","true","1900","5997","12","1.8021197408156826","5980"
"104","200","200","0.6","2","1.1","false","0.001","BirthSelection","3","1","100","0","600","1900","0.3","true","1900","13186","43","3.205825743544792","6774"
"102","200","200","0.6","2","1.1","false","0.001","BirthSelection","3","1","100","0","600","1900","0.3","true","1900","13137","43","3.2203990295204648","7282"
"101","200","200","0.6","2","1.1","false","0.001","BirthSelection","3","1","100","0","600","1900","0.3","true","1900","13206","42","3.166875985293919","7323"
"106","200","200","0.6","2","1.1","false","0.001","BirthSelection","3","1","100","0","600","1900","0.3","true","1900","13123","50","3.28983483993964","7268"
"105","200","200","0.6","2","1.1","false","0.001","BirthSelection","3","1","100","0","600","1900","0.3","true","1900","13132","50","3.358002571020379","7349"
"103","200","200","0.6","2","1.1","false","0.001","BirthSelection","3","1","100","0","600","1900","0.3","true","1900","13119","46","3.272388852529182","7261"
"107","200","200","0.6","2","1.1","false","0.001","BirthSelection","3","1","100","0","600","1900","0.3","true","1900","13301","43","3.247502428140873","7274"
"109","200","200","0.6","2","1.1","false","0.001","BirthSelection","3","1","100","0","600","1900","0.3","true","1900","13279","42","3.0286311326478903","7311"
"110","200","200","0.6","2","1.1","false","0.001","BirthSelection","3","1","100","0","600","1900","0.3","true","1900","13273","51","3.4803533156468824","7229"
"108","200","200","0.6","2","1.1","false","0.001","BirthSelection","3","1","100","0","600","1900","0.3","true","1900","13188","38","3.079353447747425","7581"
"111","200","200","0.6","2","1.1","false","0.001","BirthSelection","9","1","100","0","600","1900","0.3","true","1900","12318","35","3.3191209101593575","12996"
"112","200","200","0.6","2","1.1","false","0.001","BirthSelection","9","1","100","0","600","1900","0.3","true","1900","12205","32","2.9799465671968486","13056"
"113","200","200","0.6","2","1.1","false","0.001","BirthSelection","9","1","100","0","600","1900","0.3","true","1900","12384","31","3.0066862378301535","13028"
"114","200","200","0.6","2","1.1","false","0.001","BirthSelection","9","1","100","0","600","1900","0.3","true","1900","12387","30","3.076267833135235","13039"
"151","200","200","0.6","2","1.2","false","0.001","NoSelection","3","1","100","0","600","1900","0.3","true","1900","6471","0","0","0"
"152","200","200","0.6","2","1.2","false","0.001","NoSelection","3","1","100","0","600","1900","0.3","true","1900","6416","0","0","0"
"153","200","200","0.6","2","1.2","false","0.001","NoSelection","3","1","100","0","600","1900","0.3","true","1900","6280","0","0","0"
"154","200","200","0.6","2","1.2","false","0.001","NoSelection","3","1","100","0","600","1900","0.3","true","1900","6212","0","0","0"
"155","200","200","0.6","2","1.2","false","0.001","NoSelection","3","1","100","0","600","1900","0.3","true","1900","6330","0","0","0"
"156","200","200","0.6","2","1.2","false","0.001","NoSelection","3","1","100","0","600","1900","0.3","true","1900","6258","0","0","0"
"157","200","200","0.6","2","1.2","false","0.001","NoSelection","3","1","100","0","600","1900","0.3","true","1900","6345","0","0","0"
"158","200","200","0.6","2","1.2","false","0.001","NoSelection","3","1","100","0","600","1900","0.3","true","1900","6349","0","0","0"
