"BehaviorSpace results (NetLogo 6.2.0)"
"MultipleContactNeutralMigrat.nlogo"
"NoHiBi_pf00_hpf3_dd1-3_lambda1.1-4"
"06/29/2021 18:41:12:282 -0300"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","199","0","199"
"[run number]","world-width","world-height","prob-frag","birth-rate-birds","birds-dispersal-distance","Video","migration-rate-birds","birds-behavior","habitat-patch-size","death-rate-birds","max-birds-species","initial-population","Deforestation-at-time","end-time","replacement-rate","[step]","birds-at-deforestation","calc-number-of-species","calc-shannon-diversity","count birds"
"2","99","99","0.6","1.1","1.1","false","0.001","NoSelection","3","1","100","0","0","1600","0.3","1600","0","15","2.464895789238615","54"
"5","99","99","0.6","1.1","1.1","false","0.001","NoSelection","3","1","100","0","0","1600","0.3","1600","0","10","2.2055983590263937","28"
"17","99","99","0.6","1.1","1.1","false","0.001","Hierarchical","3","1","100","0","0","1600","0.3","1600","0","7","1.7436108496485336","38"
"9","99","99","0.6","1.1","1.1","false","0.001","NoSelection","3","1","100","0","0","1600","0.3","1600","0","12","2.295061735321761","46"
"1","99","99","0.6","1.1","1.1","false","0.001","NoSelection","3","1","100","0","0","1600","0.3","1600","0","11","2.2054261197232865","34"
"6","99","99","0.6","1.1","1.1","false","0.001","NoSelection","3","1","100","0","0","1600","0.3","1600","0","18","2.7554991848950454","66"
"7","99","99","0.6","1.1","1.1","false","0.001","NoSelection","3","1","100","0","0","1600","0.3","1600","0","12","2.3738053345063888","36"
"3","99","99","0.6","1.1","1.1","false","0.001","NoSelection","3","1","100","0","0","1600","0.3","1600","0","15","2.4542622501267286","52"
"13","99","99","0.6","1.1","1.1","false","0.001","Hierarchical","3","1","100","0","0","1600","0.3","1600","0","15","2.5133794131233214","57"
"8","99","99","0.6","1.1","1.1","false","0.001","NoSelection","3","1","100","0","0","1600","0.3","1600","0","15","2.6319372499318843","45"
"11","99","99","0.6","1.1","1.1","false","0.001","Hierarchical","3","1","100","0","0","1600","0.3","1600","0","12","2.286745108958672","42"
"4","99","99","0.6","1.1","1.1","false","0.001","NoSelection","3","1","100","0","0","1600","0.3","1600","0","10","2.1735013040692968","38"
"20","99","99","0.6","1.1","1.1","false","0.001","Hierarchical","3","1","100","0","0","1600","0.3","1600","0","15","2.50569478892385","57"
"10","99","99","0.6","1.1","1.1","false","0.001","NoSelection","3","1","100","0","0","1600","0.3","1600","0","8","1.9251211907908181","26"
"12","99","99","0.6","1.1","1.1","false","0.001","Hierarchical","3","1","100","0","0","1600","0.3","1600","0","15","2.569898974469291","55"
"31","99","99","0.6","1.1","1.2","false","0.001","NoSelection","3","1","100","0","0","1600","0.3","1600","0","19","2.808586604585077","65"
"43","99","99","0.6","1.1","1.2","false","0.001","Hierarchical","3","1","100","0","0","1600","0.3","1600","0","11","2.2967450828502023","33"
"35","99","99","0.6","1.1","1.2","false","0.001","NoSelection","3","1","100","0","0","1600","0.3","1600","0","15","2.6307984060873726","60"
"39","99","99","0.6","1.1","1.2","false","0.001","NoSelection","3","1","100","0","0","1600","0.3","1600","0","16","2.6773183247823846","46"
"48","99","99","0.6","1.1","1.2","false","0.001","Hierarchical","3","1","100","0","0","1600","0.3","1600","0","10","2.091468070968026","42"
"42","99","99","0.6","1.1","1.2","false","0.001","Hierarchical","3","1","100","0","0","1600","0.3","1600","0","13","2.394976596837749","43"
"37","99","99","0.6","1.1","1.2","false","0.001","NoSelection","3","1","100","0","0","1600","0.3","1600","0","14","2.511308942089881","53"
"16","99","99","0.6","1.1","1.1","false","0.001","Hierarchical","3","1","100","0","0","1600","0.3","1600","0","6","1.7559975940882608","23"
"33","99","99","0.6","1.1","1.2","false","0.001","NoSelection","3","1","100","0","0","1600","0.3","1600","0","14","2.4926575233834805","51"
"14","99","99","0.6","1.1","1.1","false","0.001","Hierarchical","3","1","100","0","0","1600","0.3","1600","0","9","2.014619892150788","36"
"15","99","99","0.6","1.1","1.1","false","0.001","Hierarchical","3","1","100","0","0","1600","0.3","1600","0","12","2.3773483499157235","43"
"41","99","99","0.6","1.1","1.2","false","0.001","Hierarchical","3","1","100","0","0","1600","0.3","1600","0","13","2.3839466641985267","45"
