"BehaviorSpace results (NetLogo 6.2.0)"
"MultipleContactNeutralMigrat.nlogo"
"NoHiBi_pf00_hpf3_dd1-3_lambda1.7-4"
"05/15/2021 22:00:20:247 -0300"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","99","0","99"
"[run number]","prob-frag","birth-rate-birds","birds-dispersal-distance","Video","migration-rate-birds","birds-behavior","habitat-patch-size","death-rate-birds","max-birds-species","initial-population","Deforestation-at-time","end-time","replacement-rate","[step]","birds-at-deforestation","calc-number-of-species","calc-shannon-diversity","count birds"
"3","0.6","1.7","1.1","false","0.001","NoSelection","3","1","100","0","0","1600","0.3","1600","0","43","2.972690061080165","2017"
"6","0.6","1.7","1.1","false","0.001","Hierarchical","3","1","100","0","0","1600","0.3","1600","0","38","2.8625808823622774","1682"
"5","0.6","1.7","1.1","false","0.001","NoSelection","3","1","100","0","0","1600","0.3","1600","0","48","3.0925518157551823","2051"
"10","0.6","1.7","1.1","false","0.001","Hierarchical","3","1","100","0","0","1600","0.3","1600","0","38","2.7911996636347363","2026"
"4","0.6","1.7","1.1","false","0.001","NoSelection","3","1","100","0","0","1600","0.3","1600","0","42","2.5995192914142904","1864"
"1","0.6","1.7","1.1","false","0.001","NoSelection","3","1","100","0","0","1600","0.3","1600","0","38","3.064061989862608","1878"
"2","0.6","1.7","1.1","false","0.001","NoSelection","3","1","100","0","0","1600","0.3","1600","0","42","2.901360373385793","1974"
"7","0.6","1.7","1.1","false","0.001","Hierarchical","3","1","100","0","0","1600","0.3","1600","0","46","2.9290581794045205","1941"
"9","0.6","1.7","1.1","false","0.001","Hierarchical","3","1","100","0","0","1600","0.3","1600","0","40","2.999327819149367","1781"
"8","0.6","1.7","1.1","false","0.001","Hierarchical","3","1","100","0","0","1600","0.3","1600","0","40","2.6919807862090845","1987"
"17","0.6","1.7","1.2","false","0.001","NoSelection","3","1","100","0","0","1600","0.3","1600","0","46","3.0143490686058336","2269"
"22","0.6","1.7","1.2","false","0.001","Hierarchical","3","1","100","0","0","1600","0.3","1600","0","43","2.632698132298045","2549"
"19","0.6","1.7","1.2","false","0.001","NoSelection","3","1","100","0","0","1600","0.3","1600","0","34","2.678508627463854","2494"
"16","0.6","1.7","1.2","false","0.001","NoSelection","3","1","100","0","0","1600","0.3","1600","0","49","3.006646460924012","2462"
"18","0.6","1.7","1.2","false","0.001","NoSelection","3","1","100","0","0","1600","0.3","1600","0","51","2.979118518866866","2453"
"20","0.6","1.7","1.2","false","0.001","NoSelection","3","1","100","0","0","1600","0.3","1600","0","48","2.8295861380277363","2347"
