"BehaviorSpace results (NetLogo 6.2.0)"
"MultipleContactNeutralMigrat.nlogo"
"NoHiBi_pf06_hpf3-61_dd1-3_lambda2_Migrat"
"05/19/2021 18:53:01:799 -0300"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","99","0","99"
"[run number]","prob-frag","birth-rate-birds","birds-dispersal-distance","Video","migration-rate-birds","birds-behavior","habitat-patch-size","death-rate-birds","max-birds-species","initial-population","Deforestation-at-time","end-time","replacement-rate","Migration0-at-deforestation","[step]","birds-at-deforestation","calc-number-of-species","calc-shannon-diversity","count birds"
"45","0.6","2","1.1","false","0.001","Hierarchical","3","1","100","0","300","1600","0.3","false","1600","1298","8","1.986266517864739","19"
"5","0.6","2","1.1","false","0.001","NoSelection","3","1","100","0","300","1600","0.3","false","1600","1386","3","0.6001660731596457","11"
"2","0.6","2","1.1","false","0.001","NoSelection","3","1","100","0","300","1600","0.3","false","1600","1320","8","1.854630730924492","27"
"48","0.6","2","1.1","false","0.001","Hierarchical","3","1","100","0","300","1600","0.3","false","1600","1288","4","1.1988493129136213","12"
"7","0.6","2","1.1","false","0.001","NoSelection","3","1","100","0","300","1600","0.3","false","1600","1414","4","1.2490828438192965","26"
"43","0.6","2","1.1","false","0.001","Hierarchical","3","1","100","0","300","1600","0.3","false","1600","1371","10","2.0572278830267035","39"
"46","0.6","2","1.1","false","0.001","Hierarchical","3","1","100","0","300","1600","0.3","false","1600","1324","6","1.7170759801988817","16"
"9","0.6","2","1.1","false","0.001","NoSelection","3","1","100","0","300","1600","0.3","false","1600","1378","10","2.1245512240355877","36"
"47","0.6","2","1.1","false","0.001","Hierarchical","3","1","100","0","300","1600","0.3","false","1600","1444","9","1.9578372480719224","48"
"6","0.6","2","1.1","false","0.001","NoSelection","3","1","100","0","300","1600","0.3","false","1600","1323","7","1.8397895868412517","17"
"41","0.6","2","1.1","false","0.001","Hierarchical","3","1","100","0","300","1600","0.3","false","1600","1446","8","1.9905068825416274","46"
"10","0.6","2","1.1","false","0.001","NoSelection","3","1","100","0","300","1600","0.3","false","1600","1345","10","2.124203859475419","35"
"1","0.6","2","1.1","false","0.001","NoSelection","3","1","100","0","300","1600","0.3","false","1600","1311","5","1.5481559970055085","23"
"8","0.6","2","1.1","false","0.001","NoSelection","3","1","100","0","300","1600","0.3","false","1600","1335","6","1.6304325826288886","16"
"4","0.6","2","1.1","false","0.001","NoSelection","3","1","100","0","300","1600","0.3","false","1600","1419","12","2.337176698159764","39"
"44","0.6","2","1.1","false","0.001","Hierarchical","3","1","100","0","300","1600","0.3","false","1600","1336","7","1.8967653107042577","41"
"3","0.6","2","1.1","false","0.001","NoSelection","3","1","100","0","300","1600","0.3","false","1600","1383","13","2.394539401121091","51"
"42","0.6","2","1.1","false","0.001","Hierarchical","3","1","100","0","300","1600","0.3","false","1600","1383","5","1.5284657100610246","17"
"14","0.6","2","1.1","false","0.001","NoSelection","9","1","100","0","300","1600","0.3","false","1600","1270","20","2.5784624063462456","324"
"19","0.6","2","1.1","false","0.001","NoSelection","9","1","100","0","300","1600","0.3","false","1600","1337","21","2.5828308066208647","362"
"20","0.6","2","1.1","false","0.001","NoSelection","9","1","100","0","300","1600","0.3","false","1600","1448","24","2.6541963689575945","363"
