"BehaviorSpace results (NetLogo 6.2.0)"
"MultipleContactNeutralMigrat.nlogo"
"NoHiBi_pf06_hpf3-61_dd1-3_lambda2_NoMigrat"
"05/19/2021 20:47:04:882 -0300"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","99","0","99"
"[run number]","prob-frag","birth-rate-birds","birds-dispersal-distance","Video","migration-rate-birds","birds-behavior","habitat-patch-size","death-rate-birds","max-birds-species","initial-population","Deforestation-at-time","end-time","replacement-rate","Migration0-at-deforestation","[step]","birds-at-deforestation","calc-number-of-species","calc-shannon-diversity","count birds"
"1","0.6","2","1.1","false","0.001","NoSelection","3","1","100","0","300","1600","0.3","true","1600","1338","0","0","0"
"3","0.6","2","1.1","false","0.001","NoSelection","3","1","100","0","300","1600","0.3","true","1600","1320","0","0","0"
"45","0.6","2","1.1","false","0.001","Hierarchical","3","1","100","0","300","1600","0.3","true","1600","1390","0","0","0"
"10","0.6","2","1.1","false","0.001","NoSelection","3","1","100","0","300","1600","0.3","true","1600","1226","0","0","0"
"48","0.6","2","1.1","false","0.001","Hierarchical","3","1","100","0","300","1600","0.3","true","1600","1302","0","0","0"
"46","0.6","2","1.1","false","0.001","Hierarchical","3","1","100","0","300","1600","0.3","true","1600","1356","0","0","0"
"47","0.6","2","1.1","false","0.001","Hierarchical","3","1","100","0","300","1600","0.3","true","1600","1328","0","0","0"
"42","0.6","2","1.1","false","0.001","Hierarchical","3","1","100","0","300","1600","0.3","true","1600","1405","0","0","0"
"5","0.6","2","1.1","false","0.001","NoSelection","3","1","100","0","300","1600","0.3","true","1600","1423","0","0","0"
"9","0.6","2","1.1","false","0.001","NoSelection","3","1","100","0","300","1600","0.3","true","1600","1306","0","0","0"
"8","0.6","2","1.1","false","0.001","NoSelection","3","1","100","0","300","1600","0.3","true","1600","1411","0","0","0"
"43","0.6","2","1.1","false","0.001","Hierarchical","3","1","100","0","300","1600","0.3","true","1600","1329","0","0","0"
"44","0.6","2","1.1","false","0.001","Hierarchical","3","1","100","0","300","1600","0.3","true","1600","1406","0","0","0"
"7","0.6","2","1.1","false","0.001","NoSelection","3","1","100","0","300","1600","0.3","true","1600","1405","0","0","0"
"41","0.6","2","1.1","false","0.001","Hierarchical","3","1","100","0","300","1600","0.3","true","1600","1393","0","0","0"
"6","0.6","2","1.1","false","0.001","NoSelection","3","1","100","0","300","1600","0.3","true","1600","1361","0","0","0"
"2","0.6","2","1.1","false","0.001","NoSelection","3","1","100","0","300","1600","0.3","true","1600","1391","0","0","0"
"4","0.6","2","1.1","false","0.001","NoSelection","3","1","100","0","300","1600","0.3","true","1600","1437","0","0","0"
"18","0.6","2","1.1","false","0.001","NoSelection","9","1","100","0","300","1600","0.3","true","1600","1346","5","1.4333710671253745","96"
"11","0.6","2","1.1","false","0.001","NoSelection","9","1","100","0","300","1600","0.3","true","1600","1276","7","1.7934451703326717","199"
"15","0.6","2","1.1","false","0.001","NoSelection","9","1","100","0","300","1600","0.3","true","1600","1391","4","1.3133154879621138","87"
"19","0.6","2","1.1","false","0.001","NoSelection","9","1","100","0","300","1600","0.3","true","1600","1334","5","1.3834233569426966","124"
