"BehaviorSpace results (NetLogo 6.2.0)"
"MultipleContactNeutralMigrat.nlogo"
"NoSelection_pf06_hpf3-59_dd1-3_lambda2"
"05/19/2021 12:14:14:164 -0300"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","99","0","99"
"[run number]","prob-frag","birth-rate-birds","birds-dispersal-distance","Video","migration-rate-birds","birds-behavior","habitat-patch-size","death-rate-birds","max-birds-species","initial-population","Deforestation-at-time","end-time","replacement-rate","Migration0-at-deforestation","[step]","birds-at-deforestation","calc-number-of-species","calc-shannon-diversity","count birds"
"1","0.6","2","1.1","false","0.001","NoSelection","3","1","100","0","300","1600","0.3","true","1600","1326","0","0","0"
"3","0.6","2","1.1","false","0.001","NoSelection","3","1","100","0","300","1600","0.3","true","1600","1415","0","0","0"
"4","0.6","2","1.1","false","0.001","NoSelection","3","1","100","0","300","1600","0.3","true","1600","1416","0","0","0"
"5","0.6","2","1.1","false","0.001","NoSelection","3","1","100","0","300","1600","0.3","true","1600","1421","0","0","0"
"2","0.6","2","1.1","false","0.001","NoSelection","3","1","100","0","300","1600","0.3","true","1600","1476","0","0","0"
"23","0.6","2","1.2","false","0.001","NoSelection","3","1","100","0","300","1600","0.3","true","1600","1504","0","0","0"
"24","0.6","2","1.2","false","0.001","NoSelection","3","1","100","0","300","1600","0.3","true","1600","1479","0","0","0"
"25","0.6","2","1.2","false","0.001","NoSelection","3","1","100","0","300","1600","0.3","true","1600","1537","0","0","0"
"22","0.6","2","1.2","false","0.001","NoSelection","3","1","100","0","300","1600","0.3","true","1600","1455","0","0","0"
"21","0.6","2","1.2","false","0.001","NoSelection","3","1","100","0","300","1600","0.3","true","1600","1505","0","0","0"
"9","0.6","2","1.1","false","0.001","NoSelection","9","1","100","0","300","1600","0.3","true","1600","1343","7","1.8693093103048197","235"
"6","0.6","2","1.1","false","0.001","NoSelection","9","1","100","0","300","1600","0.3","true","1600","1346","10","2.193894219528162","257"
"8","0.6","2","1.1","false","0.001","NoSelection","9","1","100","0","300","1600","0.3","true","1600","1356","6","1.7256706279023326","231"
"7","0.6","2","1.1","false","0.001","NoSelection","9","1","100","0","300","1600","0.3","true","1600","1350","9","2.163288798187533","323"
"10","0.6","2","1.1","false","0.001","NoSelection","9","1","100","0","300","1600","0.3","true","1600","1385","7","1.7728165751094267","248"
"44","0.6","2","1.5","false","0.001","NoSelection","3","1","100","0","300","1600","0.3","true","1600","1668","0","0","0"
"45","0.6","2","1.5","false","0.001","NoSelection","3","1","100","0","300","1600","0.3","true","1600","1695","0","0","0"
"43","0.6","2","1.5","false","0.001","NoSelection","3","1","100","0","300","1600","0.3","true","1600","1646","0","0","0"
"42","0.6","2","1.5","false","0.001","NoSelection","3","1","100","0","300","1600","0.3","true","1600","1652","0","0","0"
"41","0.6","2","1.5","false","0.001","NoSelection","3","1","100","0","300","1600","0.3","true","1600","1676","0","0","0"
"29","0.6","2","1.2","false","0.001","NoSelection","9","1","100","0","300","1600","0.3","true","1600","1455","9","2.0595414928391733","472"
"27","0.6","2","1.2","false","0.001","NoSelection","9","1","100","0","300","1600","0.3","true","1600","1530","11","2.221524583693787","378"
"26","0.6","2","1.2","false","0.001","NoSelection","9","1","100","0","300","1600","0.3","true","1600","1499","8","1.943348135395248","330"
"30","0.6","2","1.2","false","0.001","NoSelection","9","1","100","0","300","1600","0.3","true","1600","1430","13","2.46835138298739","542"
"28","0.6","2","1.2","false","0.001","NoSelection","9","1","100","0","300","1600","0.3","true","1600","1556","12","2.316277659122712","625"
"14","0.6","2","1.1","false","0.001","NoSelection","29","1","100","0","300","1600","0.3","true","1600","1409","9","1.9088249994642643","1255"
"15","0.6","2","1.1","false","0.001","NoSelection","29","1","100","0","300","1600","0.3","true","1600","1357","10","1.9611958930667512","1515"
"13","0.6","2","1.1","false","0.001","NoSelection","29","1","100","0","300","1600","0.3","true","1600","1334","9","2.0818694227684267","1329"
"12","0.6","2","1.1","false","0.001","NoSelection","29","1","100","0","300","1600","0.3","true","1600","1219","9","1.9851044119981736","1408"
"11","0.6","2","1.1","false","0.001","NoSelection","29","1","100","0","300","1600","0.3","true","1600","1368","5","1.4720984424710117","1346"
"16","0.6","2","1.1","false","0.001","NoSelection","61","1","100","0","300","1600","0.3","true","1600","1297","7","1.5022441197967886","1471"
"17","0.6","2","1.1","false","0.001","NoSelection","61","1","100","0","300","1600","0.3","true","1600","1465","5","1.3729698106342452","1407"
"18","0.6","2","1.1","false","0.001","NoSelection","61","1","100","0","300","1600","0.3","true","1600","1335","4","0.9017246658780015","1487"
"20","0.6","2","1.1","false","0.001","NoSelection","61","1","100","0","300","1600","0.3","true","1600","1382","9","1.8130007775931853","1373"
"19","0.6","2","1.1","false","0.001","NoSelection","61","1","100","0","300","1600","0.3","true","1600","1367","6","1.6149430267333407","1410"
