[run number],birds-dispersal-distance,habitat-patch-size,birth-rate-birds,world-width,world-height,initial-population,max-birds-species,death-rate-birds,migration-rate-birds,Video,prob-frag,Deforestation-at-time,end-time,Migration0-at-deforestation,deforestation-type,birds-behavior,replacement-rate,random-seed,[step],birds-at-deforestation,calc-number-of-species,calc-shannon-diversity,count birds,mean-free-path,siminputrow
1,1.1,3,1.7,199,199,0,100,1,1e-4,FALSE,0.6,200,1500,FALSE,regular,NoSelection,0,567251157,1500,538,2,0.410116318288409,7,[1.257 1.268],1
1,1.2,3,1.7,199,199,0,100,1,1e-4,FALSE,0.6,200,1500,FALSE,regular,NoSelection,0,567251157,1500,1015,6,1.7562764023249793,22,[1.25 1.268],2
1,1.5,3,1.7,199,199,0,100,1,1e-4,FALSE,0.6,200,1500,FALSE,regular,NoSelection,0,567251157,1500,3462,2,0.6365141682948128,6,[1.262 1.264],3
1,2,3,1.7,199,199,0,100,1,1e-4,FALSE,0.6,200,1500,FALSE,regular,NoSelection,0,567251157,1500,5537,1,0,5,[1.24 1.279],4
1,3,3,1.7,199,199,0,100,1,1e-4,FALSE,0.6,200,1500,FALSE,regular,NoSelection,0,567251157,1500,5970,2,0.6931471805599453,12,[1.257 1.277],5
1,1.1,9,1.7,199,199,0,100,1,1e-4,FALSE,0.6,200,1500,FALSE,regular,NoSelection,0,567251157,1500,478,6,1.5340265284387788,30,[2.106 2.119],6
1,1.2,9,1.7,199,199,0,100,1,1e-4,FALSE,0.6,200,1500,FALSE,regular,NoSelection,0,567251157,1500,911,3,0.9251290835720822,13,[2.144 2.132],7
1,1.5,9,1.7,199,199,0,100,1,1e-4,FALSE,0.6,200,1500,FALSE,regular,NoSelection,0,567251157,1500,3101,13,2.2302090757847424,122,[2.182 2.118],8
1,2,9,1.7,199,199,0,100,1,1e-4,FALSE,0.6,200,1500,FALSE,regular,NoSelection,0,567251157,1500,5397,19,2.521873277332103,1376,[2.167 2.108],9
1,3,9,1.7,199,199,0,100,1,1e-4,FALSE,0.6,200,1500,FALSE,regular,NoSelection,0,567251157,1500,5572,13,2.046907950915353,2076,[2.194 2.115],10
1,1.1,29,1.7,199,199,0,100,1,1e-4,FALSE,0.6,200,1500,FALSE,regular,NoSelection,0,567251157,1500,440,13,2.102913495353675,628,[5.31 5.475],11
1,1.2,29,1.7,199,199,0,100,1,1e-4,FALSE,0.6,200,1500,FALSE,regular,NoSelection,0,567251157,1500,925,15,2.087995191747305,1062,[5.38 5.526],12
1,1.5,29,1.7,199,199,0,100,1,1e-4,FALSE,0.6,200,1500,FALSE,regular,NoSelection,0,567251157,1500,3220,19,2.28351287976161,4429,[5.425 5.369],13
1,2,29,1.7,199,199,0,100,1,1e-4,FALSE,0.6,200,1500,FALSE,regular,NoSelection,0,567251157,1500,5385,9,1.7172386252082132,4782,[5.396 5.488],14
1,3,29,1.7,199,199,0,100,1,1e-4,FALSE,0.6,200,1500,FALSE,regular,NoSelection,0,567251157,1500,5486,14,2.1744158890845275,4934,[5.433 5.424],15
1,1.1,61,1.7,199,199,0,100,1,1e-4,FALSE,0.6,200,1500,FALSE,regular,NoSelection,0,567251157,1500,397,12,1.818428800084103,1587,[10.459 10.424],16
