[run number],birds-dispersal-distance,habitat-patch-size,birth-rate-birds,world-width,world-height,initial-population,max-birds-species,death-rate-birds,migration-rate-birds,Video,prob-frag,Deforestation-at-time,end-time,Migration0-at-deforestation,deforestation-type,birds-behavior,replacement-rate,random-seed,[step],birds-at-deforestation,calc-number-of-species,calc-shannon-diversity,count birds,mean-free-path,find-cluster-sizes,siminputrow
1,1.1,3,1.7,199,199,0,100,1,1e-4,FALSE,0.6,200,1500,FALSE,regular,NoSelection,0,425575138,1500,211,5,1.5124511784664485,14,[1.257 1.275],[16 19 17 16 17 17 16 17 17 18 16 16 16 18 16 16 17 16 16 16 16 16 16 16 16 17 16 16 16 16 35 17 17 16 16 16 16 16 16 16 17 16 16 16 16 16 16 16 20 16 16 16 16 17 16 17 16 17 16 16 16 17 16 16 16 16 16 16 16 17 16 16 17 16 16 16 16 17 16 16 16 16 16 1 16 16 16 16 17 16 16 16 18 16 17 16 17 18 16 16 17 16 17 17 17 17 16 16 16 16 16 16 16 16 16 17 17 16 16 17 16 17 16 16 16 16 16 35 16 16 16 16 16 16 16 16 16 17 17 16 17 16 17 17 16 16 16 16 17 19 16 16 16 17 17 16 16 16 16 16 16 17 16 16 16 17 17 17 16 16 16 16 16 17 17 16 16 16 16 16 16 16 16 17 16 1 16 16 19 16 16 16 19 17 16 16 17 16 16 17 16 16 16 16 16 16 16 16 16 17 16 16 17 17 16 16 17 18 18 17 16 17 17 16 17 16 16 16 17 16 16 16 16 16 16 16 17 16 16 16 18 17 16 16 16 16 16 16 17 16 16 18 16 17 16 17 17 16 17 16 16 17 16 16 16 16 16 16 16 16 17 17 16 17 16 16 16 16 16 16 16 16 16 16 16 18 16 16 16 16 17 17 16 17 16 17 16 16 16 19 16 17 18 17 17 16 16 16 16 16 16 16 18 16 18 16 17 16 16 16 16 16 16 16 16 17 16 16 16 17 17 16 17 16 16 16 17 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 17 16 17 16 18 18 16 17 16 16 17 16 16 16 16 17 16 16 16 16 16 17 17 16 17 17 16 16 16 17 17 18 16 16 16 16 16 16 16 16 16 16 16 16 16 17 17 16 16 16 16 16 16 17 18 16 16 18 16 16 16 16 16 16 16 17 16 16 16 16 16 16 16 16 16 17 17 17 17 17 16 16 16 16 16 18 16 16 16 16 16 17 16 16 16 16 16 17 1 17 16 16 16 16 16 17 16 17 16 16 17 17 16 18 16 16 16 17 16 16 16 19 17 17 16 17 17 16 16 17 17 16 16 16 16 16 16 16 16 17 17 16 17 16 17 16 16 16 18 16 16 16 17 16 17 16 16 16 16 16 17 16 16 16 17 16 17 16 16 16 17 16 16 17 16 16 16 18 16 16 16 16 18 18 16 18 17 16 17 16 16 16 16 17 17 16 16 16 17 17 16 16 17 16 16 16 16 16 16 16 16 16 16 18 16 18 17 17 16 18 16 16 17 18 16 17 16 16 17 17 16 16 17 16 17 16 16 16 18 17 16 16 17 16 16 16 17 16 16 16 16 16 16 17 16 17 17 17 16 17 17 17 17 18 16 17 16 17 16 16 16 17 17 16 16 16 16 16 18 18 17 17 16 17 1 16 16 16 16 16 16 16 16 16 16 17 17 16 16 17 16 17 16 18 17 18 16 17 17 17 16 16 16 16 16 16 16 16 17 16 16 16 16 17 16 18 16 16 17 16 16 16 17 17 16 16 17 17 16 17 16 17 16 17 17 17 16 16 17 17 16 17 17 19 18 16 17 16 16 16 17 16 17 18 16 17 16 16 16 16 16 16 16 17 16 17 16 17 18 16 16 16 16 17 16 17 16 17 16 16 1 16 16 16 17 17 1 16 16 16 16 16 16 16 17 17 17 16 17 16 16 17 16 17 16 16 16 16 17 16 16 17 16 18 17 16 16 16 16 1 16 16 16 16 17 16 16 18 16 16 16 19 16 17 16 17 16 1 16 16 18 16 16 16 17 16 17 16 16 16 17 16 16 16 16 17 16 17 16 16 16 17 16 16 16 17 17 16 16 16 18 16 16 16 16 16 16 16 16 16 16 16 19 17 16 17 16 16 1 16 16 17 17 16 17 16 17 16 16 16 16 17 16 16 16 17 17 16 16 16 17 18 16 16 16 16 17 16 17 16 16 17 16 16 17 1 16 16 16 16 17 16 17 17 16 16 16 17 16 16 16 16 16 17 16 17 16 16 16 16 16 16 16 17 16 16 17 17 16 16 16 17 16 16 16 17 16 17 16 17 17 1 16 16 16 17 16 16 16 17 17 17 16 17 1 16 16 16 16 16 18 16 16 1 17 18 17 16 16 16 1 17 1 1 18 16 16 1 16 1 1 1 1 1 16 1 16 1 1 1 1 17 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],1
1,1.2,3,1.7,199,199,0,100,1,1e-4,FALSE,0.6,200,1500,FALSE,regular,NoSelection,0,425575138,1500,512,2,0.47413931305783735,11,[1.255 1.282],[17 17 17 17 17 17 16 16 17 16 16 16 16 16 18 17 17 16 16 16 16 17 16 16 17 16 16 18 18 17 16 16 16 16 16 16 16 17 19 16 16 16 16 16 18 16 17 16 17 17 16 17 16 16 16 1 17 16 17 16 16 17 16 17 16 16 17 17 16 16 16 16 16 16 16 17 16 16 16 17 16 16 17 16 17 16 17 16 17 16 17 16 16 16 16 16 16 16 17 16 16 17 17 17 16 16 17 18 16 16 19 18 16 16 18 16 16 17 16 16 17 16 16 16 16 16 16 17 17 16 16 16 17 16 17 16 17 16 18 16 16 17 17 16 17 16 17 16 17 16 17 16 16 17 17 17 17 17 17 17 17 17 16 17 19 16 17 16 17 19 16 17 16 17 16 17 16 17 17 16 16 17 16 16 16 17 16 18 17 16 16 16 17 17 17 16 16 16 16 16 16 16 16 16 16 16 17 17 16 16 17 16 16 16 17 16 16 16 17 16 16 36 35 17 16 18 16 17 17 16 16 17 17 16 16 17 34 16 16 16 16 18 17 16 16 16 16 17 17 16 16 16 17 16 16 16 16 17 16 16 16 16 17 16 16 16 16 17 17 16 17 17 16 16 16 17 16 18 16 16 16 16 16 17 18 16 17 16 16 16 16 16 35 16 17 16 17 16 16 16 17 16 16 16 16 17 17 17 17 17 16 17 17 16 16 16 17 16 16 17 17 16 16 16 16 16 16 17 17 17 17 17 16 16 16 17 16 16 17 16 16 16 16 16 16 18 16 16 1 1 16 16 16 17 17 17 16 16 16 16 16 17 16 16 16 17 16 16 17 16 16 16 16 17 16 16 16 18 16 16 17 16 17 18 16 16 16 17 16 16 16 16 16 17 16 16 17 17 17 16 18 16 17 16 17 16 17 16 16 17 1 18 16 17 16 16 16 16 18 16 16 16 17 18 16 16 16 18 16 16 16 16 16 17 16 16 16 16 18 16 1 16 16 16 16 16 16 18 17 16 17 16 1 16 17 16 16 16 17 16 16 20 16 17 16 17 16 16 17 17 16 16 17 16 17 17 16 16 17 16 16 18 17 16 16 16 17 17 16 16 17 17 16 16 17 17 16 17 16 16 16 16 17 16 17 16 18 16 16 16 16 16 16 17 16 17 16 16 17 18 16 17 17 16 16 17 17 16 16 16 16 16 16 18 16 16 16 17 16 16 16 16 16 16 16 16 16 17 16 16 16 16 16 17 16 16 17 16 16 16 17 16 16 16 16 16 17 16 16 17 17 17 16 16 16 17 17 16 16 16 16 16 17 16 16 16 16 17 16 17 16 16 16 17 17 16 17 16 16 16 16 17 17 17 17 16 16 17 16 16 16 17 16 16 16 17 17 16 16 16 16 16 16 16 16 16 17 16 16 16 17 16 16 16 16 16 16 16 17 16 16 17 17 18 16 16 16 16 16 16 16 16 16 17 18 17 18 17 16 16 16 17 16 16 17 16 16 16 16 17 16 16 16 16 16 17 16 17 16 16 16 16 16 17 16 16 17 17 16 16 16 16 16 16 16 17 16 1 17 16 17 16 20 16 16 18 16 17 16 16 16 16 16 16 18 16 17 16 16 16 16 16 16 17 16 17 16 18 16 17 16 16 16 17 17 17 16 16 16 16 16 17 19 16 16 17 16 16 16 16 17 17 16 16 16 18 18 16 17 16 35 16 16 18 16 17 18 17 16 16 16 16 16 16 16 17 17 17 16 16 16 16 16 16 18 16 16 16 16 16 16 16 16 17 18 17 16 16 16 16 18 16 16 16 16 17 16 16 16 16 16 18 16 16 16 16 16 16 16 16 17 16 16 16 16 16 16 16 16 17 16 16 16 17 16 17 16 16 16 18 16 16 16 16 1 16 16 16 16 16 17 16 16 16 16 1 16 16 16 17 16 17 16 16 16 16 16 18 16 16 16 16 16 16 16 17 16 18 17 16 17 16 16 16 16 16 17 16 17 16 18 16 16 16 1 16 16 16 17 16 16 16 16 16 16 16 16 16 17 1 16 16 1 16 1 16 16 16 17 16 16 16 16 16 17 16 16 16 17 16 16 16 1 16 16 18 1 16 16 17 34 16 17 16 17 16 1 16 16 16 16 16 17 1 17 16 16 1 1 16 16 16 16 1 16 16 16 16 16 16 1 1 2 1 16 1 16 16 16 1 16 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],2
1,1.5,3,1.7,199,199,0,100,1,1e-4,FALSE,0.6,200,1500,FALSE,regular,NoSelection,0,425575138,1500,3424,4,1.2980356797346742,17,[1.263 1.292],[16 16 17 17 16 16 16 16 16 16 16 16 16 16 18 17 16 16 16 17 16 17 17 17 17 16 16 16 16 16 17 16 16 16 16 18 16 16 17 16 16 16 18 16 16 16 16 17 16 16 16 16 17 17 16 16 16 16 16 16 17 16 17 16 16 16 16 16 16 17 16 16 16 16 16 16 17 16 17 16 17 16 17 16 16 16 17 16 16 16 16 16 16 17 18 16 16 17 16 16 17 17 16 17 16 17 16 16 17 18 16 16 16 17 16 16 16 16 16 16 16 17 16 16 16 17 16 16 16 16 16 17 16 17 16 16 17 16 18 16 17 16 16 18 16 16 16 17 17 17 16 16 16 16 17 16 17 17 16 17 17 16 16 17 34 17 17 16 17 16 17 16 17 16 17 16 16 17 17 16 16 16 16 18 17 16 16 16 16 17 16 17 16 16 16 16 1 17 17 16 17 17 16 18 16 16 2 17 17 17 17 16 16 16 16 16 16 16 17 17 16 17 17 16 16 16 17 16 16 16 16 18 17 16 16 16 16 17 17 16 16 17 16 16 16 16 16 16 17 16 16 16 16 16 18 17 17 16 16 16 16 16 16 18 16 16 17 17 16 16 16 16 16 16 17 16 17 17 18 16 17 17 17 16 16 16 16 16 16 18 16 16 16 18 16 17 16 16 17 17 16 18 16 16 16 16 16 17 16 16 16 18 17 16 16 16 16 16 16 16 16 16 16 16 1 17 17 17 16 16 16 16 16 16 16 17 16 16 1 16 16 18 17 1 18 16 17 16 17 17 17 16 17 17 16 16 16 16 17 19 16 16 16 16 19 16 16 16 16 16 17 16 18 16 16 17 16 17 16 17 16 17 16 16 17 16 16 16 17 17 16 16 17 16 16 16 16 16 16 35 17 16 16 17 16 16 16 16 17 16 16 17 16 17 16 16 17 17 16 16 16 16 16 16 16 17 16 17 17 16 16 17 16 17 16 16 16 16 17 17 16 16 16 17 16 17 16 17 16 16 16 16 16 16 16 16 16 17 16 16 16 16 16 16 16 18 16 16 16 17 37 17 16 16 17 16 16 16 16 18 17 17 16 16 16 16 16 16 17 16 16 16 16 17 16 16 16 17 18 16 17 17 17 17 16 17 16 16 16 16 16 18 17 17 16 17 16 17 16 16 16 16 17 17 17 16 17 16 17 16 16 16 16 16 16 16 18 16 18 16 16 34 16 16 1 16 1 16 16 17 16 16 16 16 17 17 16 17 16 16 16 18 16 16 16 16 17 16 16 16 17 16 16 16 16 16 17 17 16 18 17 16 16 16 17 16 16 17 17 16 16 16 16 16 17 16 17 17 16 16 16 17 17 17 16 16 17 16 16 16 16 16 17 16 16 17 16 16 16 18 16 16 1 16 16 16 16 16 17 16 16 18 18 1 17 16 16 16 16 17 16 17 16 16 17 17 17 16 16 16 16 17 16 16 17 16 16 16 16 16 16 17 16 16 17 17 16 16 16 16 16 17 16 16 17 18 16 16 17 16 16 16 16 16 16 16 16 35 16 16 16 17 16 16 17 16 16 17 16 16 16 16 16 16 16 16 16 17 16 16 16 16 16 16 16 16 16 16 16 18 17 16 16 16 1 17 17 16 17 16 16 16 17 16 16 17 16 16 17 16 16 16 16 16 16 16 17 16 1 16 16 16 16 17 18 16 18 16 16 16 16 16 16 18 17 16 17 16 16 16 16 16 18 16 16 17 16 19 16 16 17 16 17 16 16 17 16 16 16 18 16 16 16 16 1 17 16 17 16 16 16 16 16 16 16 16 16 17 16 16 16 16 16 16 16 16 16 16 16 16 16 17 17 17 16 16 17 16 1 17 16 17 17 16 16 16 16 16 17 16 17 16 17 16 16 16 16 1 16 17 16 17 17 16 17 16 16 16 16 16 17 16 16 16 17 16 17 16 16 16 16 16 16 1 16 16 16 17 17 16 17 16 17 16 16 17 16 16 16 16 16 16 17 16 17 17 18 17 16 16 17 16 17 17 16 16 17 16 18 16 16 17 16 17 17 16 16 16 16 1 1 16 16 17 17 16 16 16 17 17 16 16 16 16 17 1 16 16 17 1 17 17 17 16 17 1 16 16 1 1 16 16 19 17 1 17 16 16 16 17 16 17 1 17 16 17 17 16 1 16 16 16 1 17 17 16 16 1 16 17 16 1 1 1 1 17 1 1 1 1 1 16 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],3
1,2,3,1.7,199,199,0,100,1,1e-4,FALSE,0.6,200,1500,FALSE,regular,NoSelection,0,425575138,1500,5594,2,0.5982695885852573,7,[1.262 1.29],[16 17 16 16 16 16 16 19 16 16 34 18 16 16 16 19 16 18 16 16 17 16 16 16 18 17 16 16 16 16 17 16 17 18 16 16 16 18 17 18 17 16 17 16 16 16 16 16 16 16 16 16 16 16 16 16 17 16 16 16 16 16 16 16 16 16 17 17 16 16 16 16 16 17 17 17 16 16 16 17 17 16 16 17 17 16 16 16 16 16 20 16 16 18 16 16 16 16 16 17 16 16 16 17 17 17 17 16 17 17 16 16 16 16 16 19 16 16 16 16 16 16 16 18 17 16 17 17 17 16 17 16 16 16 16 16 16 17 16 16 17 17 17 16 16 16 16 17 17 16 16 16 17 16 16 16 16 16 16 16 16 16 16 16 16 17 17 17 16 16 16 16 16 16 18 16 16 16 16 16 16 16 16 1 16 17 17 16 16 17 17 17 16 16 17 16 17 17 17 16 16 17 16 16 34 17 16 16 16 16 17 17 17 16 18 16 17 17 17 17 17 17 16 16 16 16 16 16 16 16 16 16 17 16 16 16 16 16 18 16 17 16 16 16 17 16 16 16 16 17 16 16 16 16 17 19 16 16 16 16 17 16 16 16 16 16 16 17 16 17 18 16 17 16 16 16 17 18 16 16 16 16 16 17 16 17 17 16 16 16 17 16 16 16 18 16 17 16 16 16 17 16 18 16 18 17 17 16 16 17 16 16 18 16 18 16 16 17 16 17 17 16 17 16 17 16 16 16 16 16 16 17 16 16 16 17 16 16 16 16 16 17 16 16 16 17 16 17 16 16 16 17 16 16 17 16 16 16 16 16 17 16 16 18 16 17 16 16 16 16 16 16 16 16 16 16 16 17 17 17 17 16 16 16 17 17 16 17 16 16 16 16 16 16 16 16 16 16 16 18 16 16 34 16 16 16 16 16 16 17 16 16 16 16 16 17 16 19 16 16 16 17 16 17 16 16 16 17 17 35 16 16 16 16 17 16 1 17 16 16 16 17 16 16 16 16 17 17 16 17 16 17 16 17 16 17 16 16 16 16 1 18 16 16 16 16 16 16 18 17 16 16 17 17 16 16 16 16 16 16 17 17 16 16 16 18 18 16 17 17 16 16 16 16 17 16 16 16 16 16 17 16 18 16 16 16 17 16 16 16 17 16 16 16 19 17 16 17 18 16 16 16 17 16 17 16 17 16 17 17 16 16 16 16 18 16 16 16 16 16 16 17 17 16 16 17 16 16 16 16 18 16 16 17 17 18 16 17 16 16 16 17 16 16 16 17 17 16 16 16 16 17 17 16 18 16 16 17 17 16 16 16 16 16 17 16 16 16 16 16 16 17 17 16 16 18 16 16 16 16 16 17 16 16 16 16 17 17 16 16 16 18 16 16 16 17 16 17 16 16 16 16 16 16 16 16 17 17 16 17 17 16 16 17 17 16 16 17 16 16 16 17 17 18 16 17 16 16 16 16 16 16 16 17 16 16 16 16 16 17 17 16 2 16 17 16 16 16 17 16 17 16 18 17 16 16 17 17 16 16 16 19 16 17 16 16 16 16 16 16 16 1 17 16 16 16 16 16 17 1 16 16 18 17 17 17 17 16 16 17 16 16 16 16 16 16 17 16 17 16 16 16 16 17 16 16 17 17 16 16 16 16 16 17 17 16 16 16 16 16 16 16 18 17 16 16 16 18 16 16 17 17 17 16 16 16 16 16 16 16 16 16 17 16 16 16 16 16 1 16 16 17 16 16 16 16 19 16 16 16 16 17 17 1 16 17 17 17 16 16 17 18 16 16 18 17 16 17 16 17 16 16 18 16 16 16 16 1 16 16 16 17 16 16 17 16 16 17 17 16 17 17 16 17 16 16 17 17 16 16 16 16 16 17 16 17 16 16 16 17 16 16 16 16 16 16 17 1 16 16 19 17 17 16 16 17 16 16 16 16 17 16 17 18 16 17 16 18 17 16 16 16 16 17 17 16 16 17 16 16 16 16 16 16 17 17 16 16 16 16 16 17 1 16 16 16 16 17 16 17 16 18 16 16 16 16 16 17 17 16 17 17 17 17 16 17 16 16 16 16 16 16 17 16 16 17 16 16 16 16 16 1 16 19 16 16 16 16 17 17 16 1 17 1 16 16 17 16 16 16 17 1 1 17 16 16 16 16 16 16 1 17 16 16 16 1 16 1 16 16 1 1 1 1 18 16 16 1 1 1 1 16 1 1 16 17 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],4
1,3,3,1.7,199,199,0,100,1,1e-4,FALSE,0.6,200,1500,FALSE,regular,NoSelection,0,425575138,1500,5750,5,1.5124511784664485,14,[1.252 1.29],[16 17 16 16 16 16 16 16 16 19 16 16 16 16 16 16 16 16 16 17 16 16 16 16 17 16 16 16 16 18 16 18 16 16 19 17 16 17 17 16 1 16 16 16 16 17 16 17 16 16 17 16 17 17 16 16 17 16 16 16 17 17 17 16 16 16 18 17 16 17 16 18 16 18 16 18 17 17 16 16 16 16 16 17 17 17 17 16 16 17 17 16 16 17 16 16 16 17 16 16 16 17 17 17 16 18 16 16 16 16 17 16 16 17 17 16 16 16 16 16 16 17 16 16 17 16 16 18 17 17 16 16 16 17 16 16 16 16 16 16 16 17 16 16 17 16 16 16 16 16 16 16 16 17 1 17 18 16 16 16 16 16 16 16 16 16 16 16 16 1 18 17 16 16 16 16 16 16 16 16 16 16 18 16 18 17 16 16 17 17 16 17 16 16 16 17 16 17 16 16 16 17 17 17 16 17 16 16 16 17 17 16 16 16 17 17 16 16 16 16 17 16 18 16 16 17 16 18 16 17 16 17 16 16 16 17 16 16 16 16 17 16 17 16 16 16 16 16 16 16 16 16 17 16 16 16 16 16 17 16 16 16 17 16 16 16 16 17 17 16 16 16 16 16 18 16 16 16 17 17 16 16 17 16 16 17 18 16 16 17 16 16 17 17 16 16 16 16 16 16 16 16 16 16 17 18 16 17 16 17 17 17 16 18 17 16 16 17 16 16 16 16 19 17 16 16 16 16 16 16 17 16 17 16 16 16 16 16 17 16 17 16 2 17 16 16 18 16 16 16 17 17 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 18 16 17 16 17 16 16 16 17 16 16 17 16 17 16 16 17 17 17 16 16 16 16 16 16 16 16 16 16 18 16 17 16 17 16 16 16 17 16 16 16 17 18 16 16 16 16 16 16 16 17 16 16 17 16 16 16 16 16 16 16 16 16 16 17 18 17 16 17 17 16 16 16 17 16 16 17 16 16 17 16 17 17 16 16 17 17 17 17 17 17 17 17 16 18 16 17 16 16 17 16 17 17 16 16 16 16 17 17 16 16 16 16 17 17 16 17 16 17 16 17 16 17 16 16 16 16 16 16 16 16 16 16 18 16 16 16 17 16 17 16 16 16 16 16 16 16 16 16 16 17 18 17 16 18 17 16 16 17 16 18 17 17 16 17 16 16 16 16 16 16 16 16 17 16 19 16 18 16 16 17 17 16 16 16 17 17 17 18 16 16 16 16 16 16 16 16 17 16 16 17 17 16 17 18 16 16 16 16 16 16 17 16 16 16 16 16 17 16 18 16 17 17 18 17 16 35 16 17 17 17 16 17 17 16 17 17 16 16 16 16 16 17 16 17 17 16 16 16 17 16 18 16 17 16 16 17 16 16 16 16 1 16 17 16 16 18 16 20 17 17 16 16 16 16 17 17 16 16 16 16 16 16 16 17 16 1 16 16 16 17 18 16 16 16 16 1 16 16 17 17 16 16 16 16 16 16 17 16 16 17 16 16 17 16 19 17 16 19 17 17 18 16 16 16 16 17 17 17 16 16 16 16 17 17 17 16 17 16 16 16 16 18 16 17 17 16 16 16 16 16 16 16 17 17 1 17 16 17 16 16 16 16 17 16 17 17 17 18 16 16 17 16 16 16 16 16 17 18 17 17 18 16 17 16 16 17 16 17 17 16 16 16 16 16 16 17 17 16 16 16 16 16 19 17 16 16 16 16 16 16 16 17 19 17 16 16 17 16 16 16 16 17 16 16 16 17 16 16 16 16 16 17 16 16 17 16 16 16 16 17 17 16 16 16 16 17 16 1 17 17 16 16 17 16 16 16 16 16 16 16 17 16 16 16 16 16 18 17 16 17 17 16 16 16 17 16 17 16 16 16 16 16 16 17 16 16 17 17 17 16 18 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 17 19 16 17 16 16 16 16 16 16 17 16 16 16 16 16 16 16 16 18 16 16 17 17 16 16 16 17 16 16 16 16 16 16 18 16 16 17 16 16 17 17 17 17 16 16 16 1 17 16 16 16 17 16 1 16 16 16 16 17 16 16 16 16 16 16 16 16 16 16 16 16 17 16 16 1 16 16 16 17 16 1 1 16 1 16 16 16 1 1 16 16 17 18 17 1 16 16 16 16 1 1 16 1 1 16 16 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],5
1,1.1,9,1.7,199,199,0,100,1,1e-4,FALSE,0.6,200,1500,FALSE,regular,NoSelection,0,425575138,1500,173,4,1.3095258353040693,15,[2.24 2.293],[106 113 108 108 115 110 103 103 112 112 108 105 113 109 108 105 112 112 112 110 102 109 111 111 112 113 111 105 110 114 114 109 103 113 117 109 110 108 109 109 119 111 107 110 106 109 106 105 106 111 109 108 115 107 111 107 113 111 109 115 111 110 109 109 111 109 109 106 108 112 112 109 106 116 110 108 117 108 111 109 109 110 111 112 110 112 106 115 108 107 116 111 112 110 112 110 110 109 112 106 106 106 110 111 111 108 112 106 107 114 109 113 105 114 112 108 107 109 109 115 111 110 104 106 112 107 113 108 104 110 107 108 106 117 106 108 105 109 112 108 108 108 108 106 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],6
1,1.2,9,1.7,199,199,0,100,1,1e-4,FALSE,0.6,200,1500,FALSE,regular,NoSelection,0,425575138,1500,459,11,2.2425697551001886,68,[2.156 2.241],[109 107 115 109 106 109 113 108 109 108 109 112 107 111 108 103 113 106 104 112 108 111 110 105 110 112 113 108 114 106 109 110 105 113 108 112 111 112 109 110 112 108 110 112 114 108 113 105 111 110 108 110 116 109 105 1 114 107 108 107 103 109 115 110 112 109 107 112 105 108 110 109 107 106 118 115 108 107 109 115 111 110 111 105 112 110 110 114 113 110 104 112 110 106 110 107 109 117 109 116 111 110 113 110 112 112 111 109 107 108 107 109 109 109 112 109 108 107 109 1 109 108 106 104 110 103 113 112 116 108 106 112 111 116 107 108 104 104 111 109 106 108 107 106 106 108 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],7
1,1.5,9,1.7,199,199,0,100,1,1e-4,FALSE,0.6,200,1500,FALSE,regular,NoSelection,0,425575138,1500,3183,18,2.6425217499664293,490,[2.253 2.325],[114 104 115 116 106 106 113 112 105 110 115 110 110 109 107 106 108 105 110 112 110 111 109 108 117 108 110 110 108 114 107 110 113 112 110 109 106 110 109 105 106 113 110 108 116 108 107 113 110 108 109 107 108 104 109 113 107 106 112 113 105 108 111 110 104 112 109 110 110 109 107 114 107 115 112 107 112 110 113 112 108 109 107 105 108 112 112 107 108 109 115 111 109 110 113 112 113 106 111 111 106 108 110 113 106 114 107 105 103 114 110 112 111 114 109 107 112 105 109 105 110 109 113 110 105 106 111 111 105 112 107 113 105 114 107 115 1 111 111 1 107 110 105 1 113 109 109 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],8
1,2,9,1.7,199,199,0,100,1,1e-4,FALSE,0.6,200,1500,FALSE,regular,NoSelection,0,425575138,1500,5219,23,2.615689936421646,1847,[2.233 2.276],[109 107 104 110 111 109 111 111 107 109 114 112 112 110 110 108 110 106 108 110 108 111 108 110 107 113 113 110 113 110 107 109 107 109 109 116 105 110 107 111 110 109 109 115 109 111 114 109 111 112 111 106 103 112 108 114 110 115 109 112 111 110 106 106 113 115 111 117 110 110 106 111 106 110 112 105 111 111 108 1 112 107 103 105 109 108 109 109 110 104 112 107 110 110 110 103 112 114 107 105 114 108 114 1 111 106 110 107 106 112 108 115 113 109 110 104 110 105 108 109 103 1 112 111 104 111 108 108 110 112 109 109 114 110 105 111 117 107 109 103 104 112 106 112 109 107 115 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],9
1,3,9,1.7,199,199,0,100,1,1e-4,FALSE,0.6,200,1500,FALSE,regular,NoSelection,0,425575138,1500,5463,18,2.4538085925351196,2262,[2.241 2.274],[106 106 112 107 110 106 108 111 112 111 109 109 104 105 110 108 115 112 111 108 110 111 106 107 109 107 110 112 107 113 112 107 114 111 107 113 110 111 107 111 113 112 111 117 112 107 110 110 106 107 111 108 109 111 110 114 111 111 109 113 103 112 109 109 106 107 107 110 105 109 108 106 109 113 108 110 109 108 113 109 106 104 113 106 107 108 108 111 111 109 111 112 112 104 109 108 110 109 110 108 112 109 106 115 107 112 107 112 108 114 113 108 105 108 110 107 116 107 110 110 112 104 108 113 111 107 112 109 112 112 109 108 113 1 110 107 110 107 107 111 115 106 106 112 111 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],10
