[run number],birds-dispersal-distance,habitat-patch-size,birth-rate-birds,world-width,world-height,initial-population,max-birds-species,death-rate-birds,migration-rate-birds,Video,prob-frag,Deforestation-at-time,end-time,Migration0-at-deforestation,deforestation-type,birds-behavior,replacement-rate,random-seed,[step],birds-at-deforestation,calc-number-of-species,calc-shannon-diversity,count birds,mean-free-path,find-cluster-sizes,siminputrow
1,1.1,3,1.7,199,199,0,100,1,1e-4,FALSE,0.6,200,1500,FALSE,regular,BirthSelection,0.3,1842656099,1500,11290,39,3.484197575141588,753,[1.245 1.278],[17 16 17 16 17 16 17 16 16 16 17 16 16 16 17 17 16 16 16 16 16 16 16 17 17 16 16 17 17 16 16 16 16 16 16 16 17 16 16 16 16 17 16 16 16 18 16 16 16 16 16 16 16 17 17 16 16 17 16 16 17 17 16 16 17 17 16 17 16 16 17 17 17 18 16 16 18 16 16 17 16 16 17 16 16 16 16 16 16 16 17 16 16 17 16 17 16 16 16 16 16 18 16 16 18 17 16 16 16 16 17 16 17 17 17 18 17 16 16 16 17 17 17 16 16 17 17 16 16 16 16 16 35 17 1 16 17 16 17 16 16 17 17 16 16 16 16 16 17 16 16 17 17 16 17 16 17 16 16 16 16 16 16 16 17 16 17 16 16 16 17 16 16 16 16 16 16 16 17 16 17 16 16 16 16 17 17 16 17 16 17 16 17 16 16 16 17 16 16 16 17 16 35 16 17 16 16 16 16 17 16 17 16 16 16 17 16 17 16 16 17 16 16 17 1 16 17 16 17 18 16 18 16 16 16 17 17 16 16 16 16 16 16 16 16 16 17 16 17 16 17 16 16 17 16 17 16 17 16 18 17 16 16 16 18 16 17 18 17 17 17 17 16 17 16 18 16 17 16 16 17 17 1 16 16 16 17 16 16 17 16 16 16 16 17 16 16 16 16 16 17 16 16 16 16 16 16 16 16 16 16 17 16 17 17 16 16 17 1 16 17 17 16 16 17 17 17 16 17 16 18 17 17 16 16 16 16 18 16 17 16 16 16 16 17 16 16 17 16 16 16 16 16 16 16 16 18 17 16 16 16 18 17 16 16 16 17 17 17 16 17 16 16 16 17 16 16 16 16 16 16 16 17 17 17 17 16 16 18 16 18 16 17 16 16 16 16 16 16 17 16 16 16 16 17 17 17 16 18 17 16 16 16 16 18 16 16 16 18 16 16 17 1 17 16 16 16 18 16 16 18 17 16 16 17 16 16 16 16 16 16 16 16 16 16 16 16 17 16 17 16 16 16 18 16 17 17 16 16 16 17 16 16 16 16 16 16 16 16 17 18 16 16 16 16 16 16 17 17 16 16 16 16 16 16 16 16 16 16 17 16 16 16 16 16 16 16 16 17 16 16 18 16 16 16 16 18 16 17 16 17 18 16 17 16 16 16 17 16 16 16 16 16 16 17 16 16 16 18 18 16 17 16 16 16 17 16 18 16 18 16 16 16 17 18 17 18 16 16 17 16 16 16 17 17 16 16 16 16 17 17 17 16 16 16 16 16 16 16 16 16 16 17 16 16 1 17 16 17 16 17 16 18 16 16 16 16 1 17 18 16 17 17 16 17 16 16 17 17 17 16 16 16 17 16 16 16 17 16 16 17 16 16 17 16 16 16 17 16 17 16 16 16 16 18 16 19 16 17 17 17 1 16 17 16 16 18 19 17 1 17 16 16 16 16 16 18 17 16 16 16 16 16 16 17 16 18 16 16 16 16 16 16 16 16 16 16 16 17 16 16 17 17 16 17 17 16 16 17 16 16 16 16 16 16 16 16 17 16 16 16 18 16 16 16 18 17 16 17 16 16 17 16 17 16 16 16 16 16 16 16 16 16 17 16 16 17 16 16 17 16 16 18 17 17 16 16 17 16 17 17 16 16 16 16 16 16 16 16 17 16 16 16 16 17 16 16 17 16 17 16 16 17 1 17 16 16 18 16 16 16 16 16 16 16 16 17 16 16 17 17 16 16 17 17 17 17 17 17 16 16 18 16 17 16 17 16 16 16 17 17 18 16 17 17 16 16 16 16 17 16 18 16 16 17 17 16 17 16 16 16 17 16 16 16 16 16 16 17 17 16 16 16 18 18 17 16 16 16 16 17 16 17 16 16 17 17 16 17 17 1 17 16 16 17 16 16 16 16 16 16 17 16 16 17 16 16 16 16 17 16 16 17 16 16 16 17 17 16 16 16 17 16 16 16 16 17 16 17 17 16 16 16 16 16 16 17 16 16 16 17 17 16 16 16 16 16 16 16 16 17 16 17 16 16 16 16 16 17 16 17 17 1 16 16 17 16 17 1 16 1 16 16 16 16 16 17 16 17 16 16 16 16 17 17 17 16 16 16 16 17 16 17 16 17 16 1 16 16 16 17 1 16 16 16 16 16 16 17 16 17 16 1 16 1 16 1 17 1 16 16 16 1 17 1 16 16 1 1 18 1 16 1 16 1 17 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1],1
1,1.2,3,1.7,199,199,0,100,1,1e-4,FALSE,0.6,200,1500,FALSE,regular,BirthSelection,0.3,1842656099,1500,11515,45,2.957074729645036,3381,[1.242 1.277],[16 16 16 18 17 16 16 16 16 16 17 16 17 16 17 16 16 16 16 18 17 16 16 16 17 16 17 16 17 16 16 16 16 16 18 16 16 16 16 18 16 18 16 16 17 16 17 18 16 16 17 16 17 17 16 16 16 16 16 16 16 17 16 17 16 16 17 16 16 16 16 18 17 16 18 17 16 16 17 16 16 16 16 16 17 16 16 16 16 18 16 16 16 17 17 16 17 17 16 16 17 17 16 16 16 16 16 16 16 16 17 17 16 16 16 17 16 16 16 16 16 16 17 16 16 16 16 17 16 17 16 16 17 16 16 16 16 17 16 17 16 16 16 17 16 16 16 16 16 17 17 18 16 16 18 16 16 17 17 17 16 17 16 16 1 17 16 17 16 16 17 16 17 16 16 16 18 16 17 16 17 16 16 16 16 16 16 18 18 17 19 16 16 16 16 16 16 16 18 16 16 16 17 17 16 17 16 17 16 18 17 17 16 16 17 16 16 16 16 16 16 17 16 16 16 16 16 16 16 16 16 17 16 17 17 17 16 16 17 16 16 16 16 16 16 18 17 16 16 16 16 16 17 18 16 16 17 16 17 17 17 16 16 16 17 16 16 16 16 16 16 16 16 17 16 16 16 16 16 16 17 16 16 17 17 16 16 16 17 16 17 16 16 17 16 17 17 16 16 17 16 16 16 16 16 16 17 16 17 16 16 16 16 17 16 16 18 17 16 16 16 17 18 17 16 18 16 19 16 16 16 16 16 18 16 16 17 16 16 16 16 17 17 16 16 18 16 16 18 17 16 17 16 17 16 16 16 16 16 16 18 16 16 17 16 16 16 17 16 16 16 17 16 16 16 16 17 16 16 16 16 16 16 16 16 16 16 16 16 17 16 16 16 16 18 16 16 17 18 16 16 17 16 17 18 1 17 16 16 16 17 16 16 17 16 16 16 16 16 16 16 16 17 16 17 16 17 17 17 18 17 16 17 16 16 16 17 16 1 16 16 16 16 16 16 16 16 16 17 16 16 16 16 16 16 16 16 17 16 16 16 17 16 16 18 16 17 18 16 16 17 16 17 16 16 16 17 16 17 16 16 16 16 17 16 16 16 16 16 16 17 16 17 17 17 16 16 16 16 16 17 16 16 17 16 17 17 16 16 17 16 17 16 16 17 18 17 16 16 16 16 16 18 16 16 17 17 16 17 16 16 16 16 16 17 16 16 16 16 16 16 16 16 16 16 18 17 16 16 16 17 16 16 17 16 18 17 16 16 17 17 17 16 16 17 16 16 16 17 16 16 16 18 16 17 16 16 16 16 16 16 16 16 16 16 18 16 18 17 16 16 17 16 16 17 17 17 16 17 17 16 16 16 16 17 16 16 18 16 17 17 16 16 17 17 16 17 16 17 16 17 16 16 17 16 17 18 17 16 16 19 16 16 16 16 16 16 16 17 17 17 16 16 17 17 16 17 16 16 16 16 17 17 16 16 17 16 16 16 16 17 16 17 17 16 16 16 16 16 18 18 16 17 16 16 16 17 16 16 16 16 16 16 17 16 16 18 17 16 17 16 17 17 16 16 17 16 16 17 16 16 16 16 16 17 16 16 17 16 16 16 17 17 16 16 16 16 17 16 17 16 17 16 16 16 16 17 16 16 16 17 17 17 16 17 16 16 17 16 16 16 16 16 16 16 17 16 16 16 16 16 16 16 17 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 17 16 16 17 17 16 17 16 18 16 17 16 18 16 16 16 16 16 16 16 18 17 17 17 17 16 17 16 16 16 17 16 16 18 17 1 16 16 16 16 16 17 18 17 16 16 16 16 17 17 16 16 16 18 16 16 16 16 16 18 16 17 16 16 16 17 16 16 17 16 17 17 17 16 16 16 16 16 17 16 16 17 16 16 17 16 16 17 17 16 16 16 16 16 16 17 18 17 17 16 16 16 17 16 17 16 16 16 1 1 17 1 17 16 17 16 16 17 16 16 16 16 17 17 16 17 16 16 16 16 16 16 17 16 16 16 1 16 16 16 16 16 17 1 16 16 16 16 16 16 1 17 16 17 16 17 16 17 16 16 1 16 16 16 17 17 16 17 1 16 16 17 1 17 16 17 17 17 1 18 16 16 16 16 1 16 2 1 17 1 17 1 16 16 16 16 18 1 18 16 17 16 16 16 16 1 1 16 16 16 16 16 1 1 1 1 1 1 1 1 1 1 16 1 1 1 16 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],2
1,1.5,3,1.7,199,199,0,100,1,1e-4,FALSE,0.6,200,1500,FALSE,regular,BirthSelection,0.3,1842656099,1500,13022,26,2.7100247766631607,11614,[1.251 1.277],[17 16 16 16 18 16 16 16 17 16 18 17 17 18 16 16 17 16 16 17 16 16 16 16 17 16 17 16 16 16 16 16 18 18 16 19 16 16 16 16 18 35 16 17 16 16 16 16 16 16 16 16 16 16 16 17 16 19 17 17 17 17 16 17 16 16 16 17 16 16 16 16 16 17 16 17 17 16 16 17 16 16 16 16 17 17 18 18 16 17 16 17 16 16 16 17 17 16 18 16 17 16 16 16 17 17 16 16 18 16 18 16 18 17 17 16 16 16 16 17 17 16 16 16 17 16 16 17 17 16 16 16 17 16 18 16 17 16 16 16 17 16 16 17 16 16 16 17 16 16 16 17 16 16 17 17 17 16 18 16 16 17 17 16 16 17 16 17 16 17 16 17 16 16 18 17 16 17 17 18 16 16 16 16 16 16 16 17 16 16 17 16 16 17 16 16 16 16 16 16 16 16 17 16 16 17 17 17 18 16 16 17 16 16 17 17 16 16 16 17 17 17 16 17 17 16 17 17 16 17 16 16 16 16 17 16 16 16 18 16 16 16 16 16 16 16 17 16 16 18 16 16 16 16 16 17 17 16 16 16 16 16 18 16 16 17 16 16 16 16 16 16 16 16 16 17 16 20 17 16 17 17 16 16 16 16 16 16 17 16 16 16 17 17 16 16 17 16 16 17 16 16 16 16 16 16 17 16 16 16 16 16 16 16 16 16 16 16 18 17 16 16 16 16 16 16 16 16 18 16 16 16 16 16 17 17 18 16 18 16 16 17 16 17 18 16 16 16 17 16 16 16 16 16 18 16 16 16 16 18 16 17 17 16 16 16 17 16 16 16 16 18 17 17 16 16 17 16 16 16 17 16 19 16 16 16 17 18 18 17 16 17 16 17 16 18 16 17 16 16 16 16 17 16 17 16 16 16 17 17 16 17 16 16 16 16 18 16 16 16 1 17 16 16 16 16 16 16 16 16 17 16 16 16 16 16 1 16 16 16 17 16 16 16 17 16 16 16 16 16 18 16 16 16 17 16 16 17 16 16 16 16 16 16 17 16 16 16 16 16 16 16 16 17 16 17 16 16 16 16 16 16 17 17 16 16 16 17 17 16 16 16 16 17 16 17 18 16 16 16 16 16 16 17 16 17 16 16 16 17 16 16 16 17 16 16 16 16 17 16 19 17 16 16 16 16 16 16 17 16 17 16 16 16 16 16 16 17 16 16 17 16 16 16 17 16 16 16 16 16 16 16 19 16 16 16 17 16 17 17 16 16 17 16 16 17 16 17 18 16 16 16 16 16 17 17 17 16 17 17 16 16 16 17 16 17 17 16 16 17 16 17 16 16 16 17 16 16 16 16 18 17 17 16 16 16 17 16 16 16 17 16 17 16 16 1 17 16 17 16 16 18 18 16 1 16 16 16 16 16 16 16 16 16 16 16 17 17 16 17 16 16 16 16 17 16 16 18 17 18 16 17 16 16 16 16 17 16 17 16 16 16 16 17 17 16 17 16 17 16 16 19 16 16 16 16 17 18 17 16 16 16 16 16 16 16 16 16 16 17 17 17 16 16 16 16 16 17 17 17 16 16 16 16 16 16 17 16 17 16 17 16 17 17 16 16 16 16 16 16 17 16 16 16 17 18 16 16 1 16 16 17 16 16 16 16 16 16 16 16 16 16 17 18 17 16 17 16 16 16 17 16 17 16 16 16 16 16 17 16 16 16 16 16 16 16 16 16 16 16 16 18 16 16 16 16 16 17 17 17 16 17 16 16 17 16 16 16 16 17 16 16 16 17 17 34 16 17 16 17 16 16 16 16 17 17 17 16 16 16 17 16 16 16 16 17 16 16 16 16 16 16 16 16 16 16 16 16 17 16 16 17 16 16 16 18 18 17 16 19 16 16 1 16 16 17 16 16 16 16 16 16 16 1 16 16 16 18 17 16 17 17 17 16 16 17 17 16 1 16 16 17 16 16 16 16 16 16 16 16 17 16 16 16 16 16 16 17 16 16 16 18 17 1 17 16 16 17 16 16 16 17 16 1 17 16 18 16 16 16 16 16 16 16 17 16 17 16 16 18 17 17 1 16 16 16 16 17 16 17 17 16 16 16 17 16 16 1 16 17 16 16 16 16 16 17 17 19 16 16 16 17 1 1 18 16 16 16 16 16 1 17 18 16 16 16 17 16 17 16 1 16 2 1 1 16 1 16 1 1 16 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],3
1,2,3,1.7,199,199,0,100,1,1e-4,FALSE,0.6,200,1500,FALSE,regular,BirthSelection,0.3,1842656099,1500,13490,15,2.251024760271874,12400,[1.255 1.276],[16 16 16 16 16 17 17 17 17 16 17 16 16 16 16 17 16 18 17 16 16 16 17 16 16 18 19 16 16 17 16 16 16 17 17 16 17 16 16 17 16 16 17 16 16 16 17 17 17 18 17 18 16 16 16 16 16 16 17 16 18 16 16 16 17 17 16 16 17 17 16 16 16 16 16 18 16 16 16 16 16 16 18 16 16 16 18 16 16 18 16 16 16 17 16 16 18 16 16 16 17 17 17 17 16 16 17 16 17 16 16 16 17 17 17 16 18 16 16 16 18 16 17 16 16 16 16 16 18 16 16 17 17 16 18 16 17 16 16 16 18 16 17 17 17 16 16 16 16 16 16 16 16 16 16 16 16 16 17 16 16 16 16 17 16 16 17 16 17 17 18 16 16 16 17 16 16 17 16 17 16 16 17 16 16 16 16 16 16 17 16 16 16 1 16 17 17 16 16 17 16 16 16 16 16 16 16 18 18 16 17 16 16 16 16 16 17 16 16 16 16 17 18 17 17 17 17 16 18 16 17 16 16 16 17 16 17 16 16 18 16 16 17 17 16 17 16 16 16 16 16 16 19 16 17 18 17 16 16 16 16 16 17 16 16 16 16 17 16 16 16 16 17 16 16 16 16 16 17 16 19 16 16 16 16 16 18 16 16 16 18 17 16 17 16 16 16 17 16 18 16 16 16 16 16 16 16 16 17 16 16 16 16 17 16 16 16 16 17 16 16 16 17 16 16 17 16 17 16 16 16 16 16 17 17 18 17 16 16 16 16 16 17 16 17 16 16 16 17 17 16 16 16 16 16 16 16 16 16 17 17 17 16 17 16 16 16 16 16 18 16 16 17 16 1 16 16 16 16 17 16 16 16 16 16 16 16 16 16 16 18 16 16 16 17 16 17 16 16 16 17 16 17 17 17 16 16 16 16 16 18 16 17 17 16 16 16 17 16 17 16 16 16 18 16 16 16 17 16 17 17 16 16 16 16 17 17 16 16 17 16 16 16 17 16 16 16 16 17 16 20 17 18 17 16 35 16 16 16 17 16 17 16 17 16 16 17 17 17 16 17 16 17 16 17 17 16 16 16 16 16 17 16 16 16 16 16 16 16 17 16 16 17 16 16 17 16 16 16 16 17 16 1 16 18 17 16 16 17 16 16 16 16 17 17 17 17 17 17 17 16 17 16 18 16 16 16 16 16 16 16 16 16 16 16 17 16 16 16 16 16 16 16 17 16 17 16 17 16 17 16 17 16 17 17 17 17 16 16 18 18 17 16 16 16 16 17 16 16 16 16 16 17 16 16 16 16 16 17 16 16 16 17 16 16 17 16 16 16 17 16 16 16 16 17 16 18 17 16 20 16 17 16 16 17 17 17 16 16 16 16 19 16 16 17 16 19 16 16 17 16 16 16 16 16 16 16 16 16 16 17 16 16 16 16 17 16 17 17 16 16 16 16 16 16 1 16 17 17 17 16 16 16 18 16 17 16 17 17 17 17 16 16 17 16 16 17 16 17 17 17 16 16 16 16 16 16 17 16 17 16 17 16 17 16 16 16 16 16 16 16 16 16 17 16 19 16 16 17 16 16 16 16 16 16 17 16 1 17 17 16 17 17 17 16 16 16 16 17 16 16 16 17 16 16 16 16 16 16 16 17 17 16 17 16 17 17 17 17 16 16 17 16 16 16 16 17 17 17 17 16 16 16 16 16 16 17 16 16 16 16 16 16 17 16 16 16 16 17 16 17 17 16 16 17 16 18 17 16 16 16 16 16 16 17 16 16 16 16 17 16 17 17 16 16 16 16 17 16 17 16 16 16 16 16 16 18 16 17 17 16 16 16 16 16 16 17 16 16 16 16 16 17 16 16 17 16 16 16 18 16 16 18 16 18 18 16 16 17 16 17 16 16 17 16 16 16 17 16 16 17 16 16 16 16 17 16 16 16 17 17 16 16 16 16 17 17 16 16 16 16 16 18 17 17 16 16 1 16 16 1 17 16 16 16 16 16 17 16 16 17 16 16 16 16 17 17 16 17 16 17 16 16 16 16 16 17 17 16 16 16 16 16 17 17 16 16 16 16 16 17 16 16 16 16 16 17 16 16 17 16 16 16 17 16 1 17 1 16 16 16 18 16 17 1 1 16 16 16 17 17 16 17 16 1 16 16 16 1 1 17 16 17 16 1 16 16 16 16 16 17 16 1 1 1 16 1 1 1 1 1 1 1 1 16 1 1 1 1 16 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],4
1,3,3,1.7,199,199,0,100,1,1e-4,FALSE,0.6,200,1500,FALSE,regular,BirthSelection,0.3,1842656099,1500,13840,12,2.2470684166051207,13021,[1.268 1.283],[19 16 16 18 16 17 17 16 17 16 16 16 17 16 16 16 17 16 16 16 17 16 16 16 18 16 16 16 16 16 16 16 16 16 16 17 16 17 16 16 16 16 17 16 16 16 16 18 16 17 17 16 17 18 17 16 1 16 16 18 16 16 16 16 16 17 16 17 16 18 17 17 17 17 17 17 17 16 16 16 17 17 16 16 17 16 16 16 17 16 16 16 16 16 16 18 16 16 17 16 16 17 17 16 16 16 16 16 18 17 16 17 16 16 16 16 16 16 16 16 16 16 16 16 16 17 16 16 16 16 17 16 17 16 16 16 16 16 16 19 16 18 18 17 17 16 17 17 18 16 16 16 16 16 16 16 17 16 17 19 17 16 16 16 16 18 16 16 16 18 16 16 16 16 16 16 17 17 17 17 17 17 16 16 16 16 16 16 17 16 16 16 16 16 16 16 16 17 17 34 18 17 16 17 16 16 16 16 16 16 17 16 16 16 16 16 16 16 17 17 16 16 17 16 17 16 16 16 16 16 17 16 16 17 16 17 16 17 17 16 16 16 16 16 16 16 16 17 17 16 16 19 16 16 17 16 16 17 16 18 16 17 16 16 1 17 16 16 16 16 16 17 16 16 16 16 16 17 17 16 16 17 16 17 16 17 17 16 16 16 17 17 16 17 16 16 16 16 18 17 16 17 16 16 16 16 16 16 16 16 17 16 17 19 16 16 16 16 16 17 16 16 16 17 16 16 16 16 17 16 16 16 16 17 16 16 16 18 16 16 16 16 16 16 17 16 17 16 16 16 16 16 16 17 16 17 16 16 17 16 17 16 16 1 16 16 18 17 17 18 16 17 16 16 16 16 17 17 17 16 16 17 16 16 16 17 16 16 17 17 17 17 16 16 17 16 17 16 17 16 19 16 16 16 17 16 16 16 17 16 18 16 17 16 17 17 17 17 16 17 17 17 16 16 16 16 17 17 17 16 17 16 16 16 16 16 17 17 16 16 16 17 16 16 17 16 18 16 16 17 16 16 16 17 17 16 16 17 17 16 16 17 17 18 17 16 16 16 17 17 18 17 17 16 17 16 16 17 17 17 17 18 16 16 16 18 16 16 17 17 17 16 17 17 16 16 16 16 16 17 16 16 19 16 16 17 16 17 16 16 17 16 17 17 17 17 1 16 16 16 16 16 16 17 16 17 17 17 16 16 17 16 16 16 16 16 16 16 16 17 16 17 17 16 16 16 16 16 17 16 16 16 16 16 17 16 16 17 16 16 17 16 16 16 16 16 16 16 16 16 16 17 17 16 16 16 17 18 16 17 16 16 17 16 16 16 18 16 16 16 16 16 16 16 16 16 16 16 16 17 16 16 16 16 16 17 16 16 16 16 17 16 17 16 16 17 17 16 16 16 18 17 16 16 17 16 19 16 18 16 16 16 16 17 16 16 16 16 16 18 16 16 16 16 16 17 16 16 16 17 17 16 17 17 16 16 16 16 16 17 16 16 16 16 16 16 16 16 17 17 16 16 16 16 16 16 17 17 16 17 16 16 16 16 17 16 18 17 16 16 16 1 1 16 17 16 16 17 16 16 17 16 16 16 16 16 17 17 16 16 16 16 16 16 16 17 17 16 16 16 16 17 18 16 17 16 16 17 17 16 16 16 16 17 16 18 16 17 16 16 18 16 16 16 16 17 16 17 16 18 16 16 16 16 16 16 16 17 16 16 16 16 18 18 16 16 17 16 17 16 16 17 16 16 17 16 16 16 16 16 16 17 16 16 16 16 16 16 16 17 16 16 16 17 16 16 17 18 16 16 16 16 16 16 16 17 16 16 18 16 17 16 16 16 18 19 16 16 1 16 16 16 17 16 16 16 16 17 16 16 16 17 16 16 16 16 16 16 17 17 16 16 17 16 16 16 16 16 16 16 16 16 17 1 16 17 17 16 18 17 16 17 16 16 17 16 16 17 17 17 16 17 17 17 16 16 16 16 16 16 1 16 16 17 17 16 16 17 17 16 16 16 16 16 16 16 16 17 16 17 16 16 16 17 16 16 17 16 16 17 16 16 16 16 17 16 1 16 16 16 1 16 16 17 16 16 16 16 16 16 17 1 16 1 16 16 17 16 18 16 16 16 16 1 17 16 16 16 16 18 1 16 17 16 17 17 16 17 16 16 1 16 16 1 16 17 16 17 16 16 1 17 1 1 16 1 1 1 16 17 1 1 16 1 1 16 1 16 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],5
1,1.1,9,1.7,199,199,0,100,1,1e-4,FALSE,0.6,200,1500,FALSE,regular,BirthSelection,0.3,1842656099,1500,10603,26,2.8825213262787694,11167,[2.203 2.31],[108 110 106 113 111 107 104 112 102 112 107 105 1 108 108 109 112 107 113 109 112 110 110 110 113 107 105 114 104 110 115 105 110 110 112 112 107 109 111 115 112 112 108 111 107 114 115 109 109 113 111 112 112 109 111 110 109 112 111 106 113 113 113 107 113 113 107 111 110 111 109 108 111 108 109 106 110 108 110 107 113 113 107 111 113 107 109 103 106 112 103 113 113 109 111 108 110 113 110 109 104 114 106 110 108 109 110 111 113 109 109 104 114 110 108 108 103 111 110 111 116 109 111 105 106 108 111 113 106 115 110 112 105 110 109 105 112 106 104 107 110 110 106 106 1 111 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],6
1,1.2,9,1.7,199,199,0,100,1,1e-4,FALSE,0.6,200,1500,FALSE,regular,BirthSelection,0.3,1842656099,1500,10867,21,2.428489768942624,11719,[2.228 2.253],[109 107 111 104 111 114 109 107 107 110 108 113 107 107 109 115 108 109 111 116 113 105 109 111 114 108 112 113 110 111 116 108 108 109 106 112 108 110 113 109 111 107 109 107 103 108 106 110 105 113 105 109 109 105 109 108 106 109 113 103 109 108 111 111 110 112 111 106 114 108 115 110 115 108 107 110 104 107 108 1 110 111 114 114 109 107 109 108 107 105 113 106 109 109 112 106 109 111 115 110 110 109 113 110 108 117 111 110 115 110 105 110 107 105 108 1 112 109 109 108 104 113 105 116 111 107 107 109 103 113 109 108 1 113 106 105 112 108 1 109 113 109 114 1 105 107 107 112 1 1 109 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],7
1,1.5,9,1.7,199,199,0,100,1,1e-4,FALSE,0.6,200,1500,FALSE,regular,BirthSelection,0.3,1842656099,1500,12107,17,2.3506063015624137,12723,[2.24 2.258],[108 109 104 104 111 107 109 110 107 104 110 111 116 110 108 117 113 106 110 111 111 113 107 109 107 106 111 114 115 109 108 112 111 116 115 107 113 117 1 115 113 113 112 105 116 105 108 111 110 106 105 109 107 118 108 105 110 112 108 107 106 113 108 114 107 104 112 110 109 111 108 114 113 109 111 108 111 107 105 107 103 108 110 111 109 107 105 110 115 108 105 108 111 108 120 106 105 112 106 110 108 106 110 111 111 110 110 105 104 107 111 109 112 109 113 107 108 112 108 110 108 112 107 106 111 107 104 114 108 109 113 106 111 104 111 107 107 112 115 112 110 109 108 111 1 110 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],8
1,2,9,1.7,199,199,0,100,1,1e-4,FALSE,0.6,200,1500,FALSE,regular,BirthSelection,0.3,1842656099,1500,12635,17,2.2804003713324343,13413,[2.152 2.237],[107 107 113 108 112 108 112 112 111 110 111 111 107 111 112 107 112 113 107 110 112 110 114 111 107 105 112 112 112 108 111 112 109 107 107 107 111 113 109 109 110 110 104 104 108 107 114 114 107 109 112 114 111 105 108 110 112 108 106 105 109 104 112 111 109 108 109 110 109 110 106 108 110 113 105 109 108 106 108 110 108 107 111 110 111 112 105 111 106 110 114 109 107 111 105 113 113 115 107 113 108 110 113 107 114 1 107 110 110 111 107 116 108 110 107 110 109 108 107 112 115 113 105 112 110 108 109 115 106 109 112 111 116 110 104 111 110 113 110 103 109 107 112 107 105 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],9
1,3,9,1.7,199,199,0,100,1,1e-4,FALSE,0.6,200,1500,FALSE,regular,BirthSelection,0.3,1842656099,1500,12940,11,1.8746229297090191,13799,[2.231 2.266],[109 108 112 112 107 105 113 108 108 110 107 106 111 111 112 110 103 113 112 108 111 107 104 113 114 105 108 107 109 108 109 111 110 110 115 113 107 113 108 108 113 109 111 107 109 114 111 112 115 106 109 109 117 109 108 110 107 106 107 108 107 108 112 107 107 108 111 114 109 111 112 107 113 109 116 116 107 108 107 109 111 113 112 106 108 111 107 106 108 111 110 107 108 111 109 106 112 108 110 113 107 107 106 110 106 110 112 103 111 108 109 108 111 109 110 109 112 113 106 106 109 113 108 108 114 109 110 107 112 114 111 108 112 111 111 1 111 107 105 108 1 108 109 109 111 1 106 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],10
